record_id,citation_key,title,authors,year,publication_status,venue_or_source,publisher,doi,arxiv_id,official_url,selected_source_id,selected_source_record_id,selection_basis,metadata_status
FMS0090,fms0090,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large Language Models,Mengyao Zhao; Kaixuan Li; Lyuye Zhang; Wenjing Dang; Chenggong Ding; Sen Chen; Zheli Liu,2025,preprint,arXiv,,,2510.10148,https://arxiv.org/abs/2510.10148,arxiv,2510.10148,formal metadata preferred; otherwise best available public metadata,complete
FMS0100,fms0100,ACFIX: Guiding LLMs with Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts,Lyuye Zhang; Kaixuan Li; Kairan Sun; Daoyuan Wu; Ye Liu; Haoye Tian; Yang Liu,2024,preprint,arXiv,,,2403.06838,https://arxiv.org/abs/2403.06838,arxiv,2403.06838,formal metadata preferred; otherwise best available public metadata,complete
FMS0105,fms0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,Zhiyuan Wei; Jing Sun; Zijian Zhang; Zhe Hou; Zixiao Zhao,2025,preprint,arXiv,,,2505.15242,https://arxiv.org/abs/2505.15242,arxiv,2505.15242,formal metadata preferred; otherwise best available public metadata,complete
FMS0109,fms0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,Zhiyuan Wei; Jing Sun; Yuqiang Sun; Ye Liu; Daoyuan Wu; Zijian Zhang; Xianhao Zhang; Meng Li; Yang Liu; Chunmiao Li; Mingchao Wan; Jin Dong; Liehuang Zhu,2025,journal,IEEE Transactions on Software Engineering,Institute of Electrical and Electronics Engineers (IEEE),10.1109/tse.2025.3597319,,https://doi.org/10.1109/tse.2025.3597319,ieee_crossref,10.1109/tse.2025.3597319,formal metadata preferred; otherwise best available public metadata,complete
FMS0120,fms0120,AEGIS: From Clues to Verdicts -- Graph-Guided Deep Vulnerability Reasoning via Dialectics and Meta-Auditing,Sen Fang; Weiyuan Ding; Zhezhen Cao; Zhou Yang; Bowen Xu,2026,preprint,arXiv,,,2603.20637,https://arxiv.org/abs/2603.20637,arxiv,2603.20637,formal metadata preferred; otherwise best available public metadata,complete
FMS0134,fms0134,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,Zhengyao Liu; Yunlong Ma; Jingxuan Xu; Junchen Ai; Xiang Gao; Hailong Sun; Abhik Roychoudhury,2025,preprint,arXiv,,,2504.07634,https://arxiv.org/abs/2504.07634,arxiv,2504.07634,formal metadata preferred; otherwise best available public metadata,complete
FMS0152,fms0152,Agentic Vulnerability Reasoning on COTS Binaries,Hwiwon Lee; Jongseong Kim; Lingming Zhang,2026,preprint,arXiv,,,2605.05000,https://arxiv.org/abs/2605.05000,arxiv,2605.05000,formal metadata preferred; otherwise best available public metadata,complete
FMS0206,fms0206,Antiproof: Synthesizing Vulnerability Detectors and Proofs of Exploitability,Alon Shakevsky; Corban Villa; Ion Stoica; Raluca Ada Popa,2026,preprint,arXiv (Cornell University),Cornell University,,2607.12316,https://arxiv.org/abs/2607.12316,openalex,https://openalex.org/W7169473280,formal metadata preferred; otherwise best available public metadata,complete
FMS0212,fms0212,APT-Agent: Automated Penetration Testing using Large Language Models,William Guanting Li; Alsharif Abuadbba; Kristen Moore; Dan Dongseong Kim,2026,preprint,arXiv,,,2605.24949,https://arxiv.org/abs/2605.24949,arxiv,2605.24949,formal metadata preferred; otherwise best available public metadata,complete
FMS0214,fms0214,ARACNE: An LLM-Based Autonomous Shell Pentesting Agent,Tomas Nieponice; Veronica Valeros; Sebastian Garcia,2025,preprint,arXiv,,,2502.18528,https://arxiv.org/abs/2502.18528,arxiv,2502.18528,formal metadata preferred; otherwise best available public metadata,complete
FMS0219,fms0219,Are Frontier LLMs Ready for Cybersecurity? Evidence for Vertical Foundation Models from Dual-Mode Vulnerability Benchmarks,Vivek Dahiya; Sunny Nehra; Vipul Dholariya; Bhavik Shangari; Chandra Khatri,2026,preprint,arXiv,,,2605.23243,https://arxiv.org/abs/2605.23243,arxiv,2605.23243,formal metadata preferred; otherwise best available public metadata,complete
FMS0226,fms0226,Artificial Intelligence as the New Hacker: Developing Agents for Offensive Security,Leroy Jacob Valencia,2024,preprint,arXiv,,,2406.07561,https://arxiv.org/abs/2406.07561,arxiv,2406.07561,formal metadata preferred; otherwise best available public metadata,complete
FMS0239,fms0239,"ATLANTIS: AI-driven Threat Localization, Analysis, and Triage Intelligence System",Taesoo Kim; HyungSeok Han; Soyeon Park; Dae R. Jeong; Dohyeok Kim; Dongkwan Kim; Eunsoo Kim; Jiho Kim; Joshua Wang; Kangsu Kim; Sangwoo Ji; Woosun Song; Hanqing Zhao; Andrew Chin; Gyejin Lee; Kevin Stevens; Mansour Alharthi; Yizhuo Zhai; Cen Zhang; Joonun Jang; Yeongjin Jang; Ammar Askar; Dongju Kim; Fabian Fleischer; Jeongin Cho; Junsik Kim; Kyungjoon Ko; Insu Yun; Sangdon Park; Dowoo Baik; Haein Lee; Hyeon Heo; Minjae Gwon; Minjae Lee; Minwoo Baek; Seunggi Min; Wonyoung Kim; Yonghwi Jin; Younggi Park; Yunjae Choi; Jinho Jung; Gwanhyun Lee; Junyoung Jang; Kyuheon Kim; Yeonghyeon Cha; Youngjoon Kim,2025,preprint,arXiv,,,2509.14589,https://arxiv.org/abs/2509.14589,arxiv,2509.14589,formal metadata preferred; otherwise best available public metadata,complete
FMS0254,fms0254,Automated Penetration Testing with LLM Agents and Classical Planning,Lingzhi Wang; Xinyi Shi; Ziyu Li; Yi Jiang; Shiyu Tan; Yuhao Jiang; Junjie Cheng; Wenyuan Chen; Xiangmin Shen; Zhenyuan LI; Yan Chen,2025,preprint,arXiv,,,2512.11143,https://arxiv.org/abs/2512.11143,arxiv,2512.11143,formal metadata preferred; otherwise best available public metadata,complete
FMS0257,fms0257,Automated Vulnerability Validation and Verification: A Large Language Model Approach,Alireza Lotfi; Charalampos Katsis; Elisa Bertino,2025,preprint,arXiv,,,2509.24037,https://arxiv.org/abs/2509.24037,arxiv,2509.24037,formal metadata preferred; otherwise best available public metadata,complete
FMS0258,fms0258,"Automatic, Expressive, and Scalable Fuzzing with Stitching",Harrison Green; Fraser Brown; Claire Le Goues,2026,preprint,arXiv,,,2602.18689,https://arxiv.org/abs/2602.18689,arxiv,2602.18689,formal metadata preferred; otherwise best available public metadata,complete
FMS0267,fms0267,AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities,Minjae Seo; Wonwoo Choi; Myoungsung You; Seungwon Shin,2025,preprint,arXiv,,,2505.04195,https://arxiv.org/abs/2505.04195,arxiv,2505.04195,formal metadata preferred; otherwise best available public metadata,complete
FMS0269,fms0269,AutoPenBench: Benchmarking Generative Agents for Penetration Testing,Luca Gioacchini; Marco Mellia; Idilio Drago; Alexander Delsanto; Giuseppe Siracusano; Roberto Bifulco,2024,preprint,arXiv,,,2410.03225,https://arxiv.org/abs/2410.03225,arxiv,2410.03225,formal metadata preferred; otherwise best available public metadata,complete
FMS0270,fms0270,AutoPentest: Enhancing Vulnerability Management With Autonomous LLM Agents,Julius Henke,2025,preprint,arXiv,,,2505.10321,https://arxiv.org/abs/2505.10321,arxiv,2505.10321,formal metadata preferred; otherwise best available public metadata,complete
FMS0271,fms0271,AutoPentester: An LLM Agent-based Framework for Automated Pentesting,Yasod Ginige; Akila Niroshan; Sajal Jain; Suranga Seneviratne,2025,preprint,arXiv,,,2510.05605,https://arxiv.org/abs/2510.05605,arxiv,2510.05605,formal metadata preferred; otherwise best available public metadata,complete
FMS0272,fms0272,AutoPT: How Far Are We from the End2End Automated Web Penetration Testing?,Benlong Wu; Guoqiang Chen; Kejiang Chen; Xiuwei Shang; Jiapeng Han; Yanru He; Weiming Zhang; Nenghai Yu,2024,preprint,arXiv,,,2411.01236,https://arxiv.org/abs/2411.01236,arxiv,2411.01236,formal metadata preferred; otherwise best available public metadata,complete
FMS0281,fms0281,AWE: Adaptive Agents for Dynamic Web Penetration Testing,Akshat Singh Jaswal; Ashish Baghel,2026,preprint,arXiv,,10.14722/last-x.2026.23037,2603.00960,https://arxiv.org/abs/2603.00960,arxiv,2603.00960,formal metadata preferred; otherwise best available public metadata,complete
FMS0284,fms0284,BACFuzz: Exposing the Silence on Broken Access Control Vulnerabilities in Web Applications,I Putu Arya Dharmaadi; Mohannad Alhanahnah; Van-Thuan Pham; Fadi Mohsen; Fatih Turkmen,2025,preprint,arXiv,,,2507.15984,https://arxiv.org/abs/2507.15984,arxiv,2507.15984,formal metadata preferred; otherwise best available public metadata,complete
FMS0288,fms0288,Baselines Before Architecture: Evaluating Coding Agents for Autonomous Penetration Testing,Ananda Dhakal; Krish Neupane; Aarjan Chaudhary,2026,preprint,arXiv,,,2607.13085,https://arxiv.org/abs/2607.13085,arxiv,2607.13085,formal metadata preferred; otherwise best available public metadata,complete
FMS0297,fms0297,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories,Alperen Yildiz; Sin G. Teo; Yiling Lou; Yebo Feng; Chong Wang; Dinil M. Divakaran,2025,preprint,arXiv,,,2503.03586,https://arxiv.org/abs/2503.03586,arxiv,2503.03586,formal metadata preferred; otherwise best available public metadata,complete
FMS0347,fms0347,Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities,Qiyuan Fan; Zhi Li; Junjie Li; XiaoFeng Wang; Bin Yuan; Deqing Zou,2026,preprint,arXiv,,,2607.12723,https://arxiv.org/abs/2607.12723,arxiv,2607.12723,formal metadata preferred; otherwise best available public metadata,complete
FMS0362,fms0362,Can LLMs Patch Security Issues?,Kamel Alrashedy; Abdullah Aljasser; Pradyumna Tambwekar; Matthew Gombolay,2023,preprint,arXiv,,,2312.00024,https://arxiv.org/abs/2312.00024,arxiv,2312.00024,formal metadata preferred; otherwise best available public metadata,complete
