field,label,n,first_positive,second_positive,raw_agreement,cohen_kappa
lifecycle,candidate analysis,86,61,77,0.767442,0.304770
lifecycle,execution observation,86,71,69,0.837209,0.462979
lifecycle,patch validation,86,15,14,0.895349,0.626808
lifecycle,path and input exploration,86,50,59,0.848837,0.678181
lifecycle,reporting and audit,86,33,67,0.534884,0.176640
lifecycle,reproduction and validation,86,41,27,0.581395,0.148046
capability,context aggregation / rule extraction,86,75,86,0.872093,0.000000
capability,failure reuse / strategy update,86,68,43,0.686047,0.372093
capability,feedback interpretation / loop adjustment,86,84,76,0.883721,0.133065
capability,governance / human gates / disclosure control,86,5,11,0.860465,0.184834
capability,long-horizon state management,86,53,42,0.802326,0.606778
capability,tool routing / strategy routing,86,73,78,0.825581,0.192741
capability,validation organization / evidence packaging,86,54,77,0.569767,-0.078644
