matrix_id,record_id,canonical_study_id,system_alias,title,analytical_role,coding_round,lifecycle_coverage,system_shape,agentic_capabilities,strongest_evidence_output,external_traceability,claim_boundary,claim_boundary_original,coding_status,reliability_scope,official_url
C01,CP014,CS_CP014,UniFuzz,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,target_software_study,initial_frozen_round,path and input exploration;execution observation,feedback-driven fuzzing agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,runtime safety signal,no external trace reported,Claims should stay with coverage and detection evidence.,不能声称UniFuzz在所有漏洞类型上优于CrossFuzz；不能把覆盖率提升等同真实漏洞全面提升。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",urn:isbn:979-8-3315-6687-6
C02,CP015,CS_CP015,ReForge,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,target_software_study,initial_frozen_round,reproduction and validation;reporting and audit,PoC/PoV validation agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,no external trace reported,Public artifacts describe crash-to-exploit generation and validation material.,不能声称其发现所有漏洞或生成真实攻击链；不能直接采信168x速度提升而不说明实验设置。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",urn:isbn:979-8-3315-5397-5
C03,CP025,CS_CP025,Multi-Agent Collaborative Smart Contract Fuzzing,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,target_software_study,initial_frozen_round,path and input exploration;execution observation,feedback-driven fuzzing agent;multi-agent orchestration overlay,long-horizon state management,runtime safety signal,no external trace reported,Coverage and vulnerability-signal feedback support exploration progress.,不能把预印本结果作为稳定事实；不能声称coverage越高必然漏洞更多，论文自身也强调这一点。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2511.12164
C04,CP061,CS_CP061,FuzzingBrain,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,target_software_study,initial_frozen_round,path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,long-horizon pentest and CRS agent;iterative optimization overlay,feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,reproducible validation,no external trace reported,PoV and patch-validation workflow supports auditable CRS-style evidence.,不能把团队自报的AIxCC结果当作独立可复现实验结论；不能等同一般场景下自动修复可靠。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2509.07225
C05,CP066,CS_CP066,Mut4All,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,target_software_study,initial_frozen_round,path and input exploration;execution observation,feedback-driven fuzzing agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,runtime safety signal,no external trace reported,Compiler crashes and hangs support bug-triggering evidence.,不能声称其发现了96个安全漏洞或CVE；不能把编译器bug直接等同于漏洞挖掘成功。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2507.19275
C06,CP068,CS_CP068,LLAMA,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,target_software_study,initial_frozen_round,path and input exploration;execution observation,feedback-driven fuzzing agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,runtime safety signal,no external trace reported,Known-vulnerability detection and behavior signals support runtime evaluation.,不能把132/148已知漏洞检测写成新漏洞发现；真实部署合约114 bug instances需注明是论文报告而非独立复现。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.1109/TIFS.2026.3666859
C07,CP071,CS_CP071,ProtocolGuard,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,target_software_study,initial_frozen_round,candidate analysis;execution observation;reproduction and validation,candidate-analysis system;PoC/PoV validation agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,author-reported external clue,Assertion failures and directed fuzzing connect candidate bugs to PoC-style tests.,不能把ProtocolGuard写成通用自动渗透Agent；不能忽略它针对非合规逻辑错误而非内存安全crash。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.14722/ndss.2026.240521
C08,CP072,CS_CP072,BSFuzzer,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,target_software_study,initial_frozen_round,path and input exploration;execution observation,feedback-driven fuzzing agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,runtime safety signal,author-reported external clue,Device-side observations and LLM-guided semantic fuzzing support runtime bug evidence.,不能声称完全自动且零人工；不能把LLM验证结果等同于无source-limited的最终漏洞确认。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.14722/ndss.2026.240094
C09,CP102,CS_CP102,RFCAUDIT,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,target_software_study,initial_frozen_round,candidate analysis,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing,candidate judgment,author-reported external clue,Confirmed or fixed reports are treated as aligned external audit traces when public material supports that link.,不能声称RFCAUDIT动态触发所有漏洞；不能把confirmed/fixed之外的报告都当最终真漏洞。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://ieeexplore.ieee.org/abstract/document/11334718
C10,CP075,CS_CP075,VulAgent,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,target_software_study,initial_frozen_round,candidate analysis,candidate-analysis system,role discussion / textual reflection;context aggregation / rule extraction;tool routing / strategy routing,candidate judgment,no external trace reported,Supports filtered vulnerability reports and hypotheses rather than runtime confirmation.,不能声称VulAgent已完成真实漏洞挖掘或exploit验证。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2509.11523
