discovery_id,title,eligibility_exact,shape_exact,evidence_exact,trace_exact,lifecycle_exact,lifecycle_jaccard,capability_exact,capability_jaccard,first_shape,second_shape,first_evidence,second_evidence,first_trace,second_trace,first_lifecycle,second_lifecycle,first_capabilities,second_capabilities,has_any_label_disagreement
FMS0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,true,true,true,true,true,1.000000,false,0.800000,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;reporting and audit,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,true,true,true,true,true,1.000000,false,0.600000,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;reporting and audit,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS0134,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,true,true,true,true,false,0.666667,false,0.833333,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;patch validation;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,true,true,true,false,false,0.800000,false,0.833333,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,author-reported external clue,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS0212,APT-Agent: Automated Penetration Testing using Large Language Models,true,true,true,false,false,0.600000,false,0.714286,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,no external trace reported,execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS0214,ARACNE: An LLM-Based Autonomous Shell Pentesting Agent,true,true,true,true,false,0.750000,false,0.500000,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS0226,Artificial Intelligence as the New Hacker: Developing Agents for Offensive Security,true,true,true,true,false,0.750000,false,0.714286,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS0254,Automated Penetration Testing with LLM Agents and Classical Planning,true,true,true,true,false,0.400000,false,0.833333,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS0257,Automated Vulnerability Validation and Verification: A Large Language Model Approach,true,true,true,true,false,0.400000,false,0.600000,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,true
FMS0267,AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities,true,true,false,true,false,0.666667,false,0.500000,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;patch validation,candidate analysis;patch validation;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
