matrix_id,record_id,canonical_study_id,system_alias,title,analytical_role,coding_round,lifecycle_coverage,strongest_evidence_output,external_traceability,claim_boundary,claim_boundary_original,coding_status,reliability_scope,official_url,primary_system_shape,overlay_tags,cross_stage_capabilities,harmonization_status,legacy_notes
FMS0090,FMS0090,CS_FMS0090,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large Language Models,target_software_study,integrated_multisource_search_through_2026-07-30,path and input exploration;execution observation;reproduction and validation,reproducible validation,benchmark ground truth / public material,"The material supports executable PoC generation for versioned, publicly disclosed web vulnerabilities under the study's validators. It does not establish open-world discovery of previously unknown vulnerabilities.",,complete_independent_second_coder_review,complete independent second-coder review; first- and second-coder labels are preserved separately,https://arxiv.org/abs/2510.10148,"reproduction-, validation-, and repair-centered agent",,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,descriptive first-coder assignment; independent second-coder labels preserved,The target vulnerabilities are supplied by public disclosure records rather than discovered by the evaluated system.
FMS0100,FMS0100,CS_FMS0100,ACFIX,ACFIX: Guiding LLMs with Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts,target_software_study,integrated_multisource_search_through_2026-07-30,candidate analysis;execution observation;patch validation,reproducible validation,benchmark ground truth / public material,"The material supports access-control patch generation checked by compilation, validator review, and exploit-script execution on the reported 118-case benchmark. It does not establish that every generated repair is independently maintained or externally confirmed.",,complete_independent_second_coder_review,complete independent second-coder review; first- and second-coder labels are preserved separately,https://arxiv.org/abs/2403.06838,"reproduction-, validation-, and repair-centered agent",,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,descriptive first-coder assignment; independent second-coder labels preserved,The external CVE and incident records provide benchmark provenance rather than system-originated discovery.
FMS0105,FMS0105,CS_FMS0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,target_software_study,integrated_multisource_search_through_2026-07-30,candidate analysis;reporting and audit,candidate judgment,benchmark ground truth / public material,Supports benchmark-scoped smart-contract vulnerability judgments under the reported audit plan; does not establish independently reproducible triggers for the additional CVE findings.,,complete_independent_second_coder_review,complete independent second-coder review; first- and second-coder labels are preserved separately,https://arxiv.org/abs/2505.15242,candidate-analysis system,,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management,descriptive first-coder assignment; independent second-coder labels preserved,
FMS0109,FMS0109,CS_FMS0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,target_software_study,integrated_multisource_search_through_2026-07-30,candidate analysis;reporting and audit,candidate judgment,benchmark ground truth / public material,Supports vulnerability classification on the reported smart-contract dataset; stronger discovery claims require item-level executable validation or aligned external records.,,complete_independent_second_coder_review,complete independent second-coder review; first- and second-coder labels are preserved separately,https://doi.org/10.1109/tse.2025.3597319,candidate-analysis system,,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management,descriptive first-coder assignment; independent second-coder labels preserved,
FMS0120,FMS0120,CS_FMS0120,AEGIS,AEGIS: From Clues to Verdicts -- Graph-Guided Deep Vulnerability Reasoning via Dialectics and Meta-Auditing,target_software_study,integrated_multisource_search_through_2026-07-30,candidate analysis;reporting and audit,candidate judgment,benchmark ground truth / public material,The material supports repository-grounded vulnerability judgments on PrimeVul after graph slicing and agent review. It does not provide target execution or a replayable trigger for each judgment.,,complete_independent_second_coder_review,complete independent second-coder review; first- and second-coder labels are preserved separately,https://arxiv.org/abs/2603.20637,candidate-analysis system,,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,descriptive first-coder assignment; independent second-coder labels preserved,"The audit agent checks claims against retrieved traces, not against runtime exploit behavior."
FMS0134,FMS0134,CS_FMS0134,Agent That Debugs,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,target_software_study,integrated_multisource_search_through_2026-07-30,candidate analysis;execution observation;reproduction and validation;patch validation,reproducible validation,benchmark ground truth / public material,"Supports repair success for the reported projects where the PoC, crash state, and post-patch execution agree; it does not establish general repair effectiveness beyond those environments.",,complete_independent_second_coder_review,complete independent second-coder review; first- and second-coder labels are preserved separately,https://arxiv.org/abs/2504.07634,"reproduction-, validation-, and repair-centered agent",,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,descriptive first-coder assignment; independent second-coder labels preserved,
FMS0152,FMS0152,CS_FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,Agentic Vulnerability Reasoning on COTS Binaries,target_software_study,integrated_multisource_search_through_2026-07-30,candidate analysis;path and input exploration;execution observation;reproduction and validation,reproducible validation,benchmark ground truth / public material,Supports debugger-verified PoC crashes for the evaluated COTS binaries and bug classes; broader binary vulnerability discovery requires additional targets and externally aligned findings.,,complete_independent_second_coder_review,complete independent second-coder review; first- and second-coder labels are preserved separately,https://arxiv.org/abs/2605.05000,"reproduction-, validation-, and repair-centered agent",,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,descriptive first-coder assignment; independent second-coder labels preserved,
FMS0206,FMS0206,CS_FMS0206,Antiproof,Antiproof: Synthesizing Vulnerability Detectors and Proofs of Exploitability,target_software_study,integrated_multisource_search_through_2026-07-30,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,reproducible validation,author-reported external clue,The material supports executable PoV and proof-of-exploitability validation under the reported target configurations and deterministic oracles. The reported zero-day and CVE outcomes require public item-level alignment before they support externally traceable discovery claims.,,complete_independent_second_coder_review,complete independent second-coder review; first- and second-coder labels are preserved separately,https://arxiv.org/abs/2607.12316,"reproduction-, validation-, and repair-centered agent",,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update;governance / human gates / disclosure control,descriptive first-coder assignment; independent second-coder labels preserved,"Twelve CVE assignments are reported in aggregate, without public item-level links for the disclosed findings in the reviewed paper."
FMS0212,FMS0212,CS_FMS0212,APT-Agent,APT-Agent: Automated Penetration Testing using Large Language Models,target_software_study,integrated_multisource_search_through_2026-07-30,path and input exploration;execution observation;reproduction and validation;reporting and audit,controlled task completion,benchmark ground truth / public material,Supports end-to-end completion on the reported Metasploitable services; it does not by itself establish open-world discovery or independently confirmed vulnerabilities.,,complete_independent_second_coder_review,complete independent second-coder review; first- and second-coder labels are preserved separately,https://arxiv.org/abs/2605.24949,long-horizon pentest and CRS agent,,tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management;failure reuse / strategy update;validation organization / evidence packaging,descriptive first-coder assignment; independent second-coder labels preserved,
FMS0214,FMS0214,CS_FMS0214,ARACNE,ARACNE: An LLM-Based Autonomous Shell Pentesting Agent,target_software_study,integrated_multisource_search_through_2026-07-30,path and input exploration;execution observation;reporting and audit,controlled task completion,benchmark ground truth / public material,Supports autonomous shell-task completion in the reported defender and Bandit settings; stronger vulnerability claims require target-specific validation artifacts.,,complete_independent_second_coder_review,complete independent second-coder review; first- and second-coder labels are preserved separately,https://arxiv.org/abs/2502.18528,long-horizon pentest and CRS agent,,tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management;failure reuse / strategy update,descriptive first-coder assignment; independent second-coder labels preserved,
