core_id,record_id,system_alias,task_category,a_level,a_level_reason,e_level,e_level_reason,evidence_object,external_evidence_profile,artifact_available,version_reported,environment_reported,external_confirmation_reported,note
C01,CP014,UniFuzz,second_coder_to_code,A3,包含Code Analysis Agent、Input Generation Agent、Feedback Agent，分别负责分析、策略生成和执行反馈/种群演化。,E2,智能合约漏洞检测、专家验证、ground-truth漏洞、覆盖率。; 不能声称UniFuzz在所有漏洞类型上优于CrossFuzz；不能把覆盖率提升等同真实漏洞全面提升。,系统输出,NA,论文称提供open-source implementation；public metadata status recorded; ,NA,SoliAudit 348个智能合约；Etherscan 503个生产合约。,中高：包含Etherscan生产合约，但漏洞确认依赖专家验证和工具报告。,不能声称UniFuzz在所有漏洞类型上优于CrossFuzz；不能把覆盖率提升等同真实漏洞全面提升。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C02,CP015,ReForge,second_coder_to_code,A3,包含AI-ExploitGen和AI-Analyzer两个LLM驱动组件，并通过MCP服务器协调候选exploit生成、验证、反馈和报告。,E3,crash reproduction、Python PoC、exploit replay、漏洞报告。; 不能声称其发现所有漏洞或生成真实攻击链；不能直接采信168x速度提升而不说明实验设置。,系统输出,NA,论文给出GitHub：https://github.com/Sohan245/ReForge；public metadata status recorded; ,NA,C/C++目标，包括CVE-2019-13288 XPDF、buffer overflow、command injection、reverse shell等。,中：含CVE和自构造C/C++目标；评估规模较小。,不能声称其发现所有漏洞或生成真实攻击链；不能直接采信168x速度提升而不说明实验设置。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C03,CP025,Multi-Agent Collaborative Smart Contract Fuzzing,second_coder_to_code,A4,多Agent团队按RCC分解任务，从全局和局部视角生成与修正transaction sequences。,E2,智能合约漏洞触发交易序列、runtime signals、DApp漏洞位置和严重度。; 不能把预印本结果作为稳定事实；不能声称coverage越高必然漏洞更多，论文自身也强调这一点。,系统输出,NA,public metadata status recorded; ,NA,真实智能合约、DApp项目、与Oyente/Mythril/sFuzz/ConFuzzius/Smartian/MuFuzz比较。,中高：包含真实合约和DApp项目；但为预印本，结果需复核。,不能把预印本结果作为稳定事实；不能声称coverage越高必然漏洞更多，论文自身也强调这一点。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C04,CP061,FuzzingBrain,second_coder_to_code,A3 + A4 + A5,系统以CRS协调器和多个Worker服务组织任务，包含23种LLM策略、PoV生成与补丁生成。,E3,PoV、sanitizer触发、补丁验证、未知漏洞报告。; 不能把团队自报的AIxCC结果当作独立可复现实验结论；不能等同一般场景下自动修复可靠。,系统输出,NA,论文给出GitHub仓库：github.com/o2lab/afc-crs-all-you-need-is-a-fuzzing-brain；public metadata status recorded; ,NA,DARPA AIxCC任务与真实开源C/Java项目；具体任务集需复核。,中高：AIxCC真实开源项目与竞赛环境，但论文为团队报告。,不能把团队自报的AIxCC结果当作独立可复现实验结论；不能等同一般场景下自动修复可靠。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C05,CP066,Mut4All,Fuzzing/bug discovery；安全漏洞相关性待复核,A3,系统由三个专门LLM agent组成，分别负责从bug报告抽取mutation idea、合成mutator实现，并依据单元测试反馈修正mutator。,E2,compiler crash/hang、differential bug、confirmed/fixed bug；是否CVE或安全漏洞需复核。; 不能声称其发现了96个安全漏洞或CVE；不能把编译器bug直接等同于漏洞挖掘成功。,系统输出,NA,论文给出artifact：https://github.com/sososopy/Mut4All-Artifacts；public metadata status recorded; ,NA,1000个bug报告：500 Rust与500 C++；编译器目标包括rustc、gccrs、GCC、Clang。,高：生产级编译器和真实bug报告；但安全漏洞属性中等偏弱。,不能声称其发现了96个安全漏洞或CVE；不能把编译器bug直接等同于漏洞挖掘成功。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C06,CP068,LLAMA,智能合约fuzzing与漏洞检测,A3,LLAMA使用层次化prompt生成上下文感知多交易seed，并在coverage stagnation时异步调用LLM进行semantic reseeding。,E2,已知漏洞检测；真实部署合约bug instance；案例为repeated withdrawal vulnerability。; 不能把132/148已知漏洞检测写成新漏洞发现；真实部署合约114 bug instances需注明是论文报告而非独立复现。,系统输出,NA,public metadata status recorded; 全文未在摘录中看到明确公开artifact声明。,NA,多组智能合约benchmark；Dataset 4含真实部署合约抽样100个。,中高：含真实部署合约抽样，但主要指标仍包含benchmark已知漏洞。,不能把132/148已知漏洞检测写成新漏洞发现；真实部署合约114 bug instances需注明是论文报告而非独立复现。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C07,CP071,ProtocolGuard,second_coder_to_code,A3,LLM参与规则相关变量识别、切片标准生成、不一致检测、assertion生成和测试输入脚本生成；更像工具增强式agent流程。,E3,协议非合规bug、assertion failure、PoC测试用例、开发者确认/修复。; 不能把ProtocolGuard写成通用自动渗透Agent；不能忽略它针对非合规逻辑错误而非内存安全crash。,系统输出,E4a,论文给出Zenodo和GitHub：https://github.com/songxpu/ProtocolGuard；public metadata status recorded; ,NA,11个真实协议实现，覆盖6类网络协议；附加artifact包含规则抽取、切片和动态验证组件。,很高：真实协议实现、156个previously unknown bugs、70个确认、17个修复。,不能把ProtocolGuard写成通用自动渗透Agent；不能忽略它针对非合规逻辑错误而非内存安全crash。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C08,CP072,BSFuzzer,BLE协议逻辑漏洞检测与验证,A3,LLM agent解析规范中的文本、图和上下文以抽取状态机与包语义，并用于验证实际响应是否偏离预期行为。,E2,真实设备bug、previously unknown bugs、CVE、bug bounty、memory corruption/state/inconsistency bugs。; 不能声称完全自动且零人工；不能把LLM验证结果等同于无source-limited的最终漏洞确认。,系统输出,E4a,论文声明公开：BSFuzzer is publicly available at GitHub；specific URL not assigned in public metadata; public metadata status recorded; ,NA,19个真实BLE设备：9个SoC模块和10部智能手机。,高：真实BLE设备、CVE和厂商bug bounty。,不能声称完全自动且零人工；不能把LLM验证结果等同于无source-limited的最终漏洞确认。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C09,CP102,RFCAUDIT,second_coder_to_code,A2,包含indexing agent和detection agent；detection agent执行localize、detect、retrieve、validate等步骤，并使用self-critique降低幻觉。,E0,RFC非合规功能bug、开发者确认/修复、真实协议实现缺陷。; 不能声称RFCAUDIT动态触发所有漏洞；不能把confirmed/fixed之外的报告都当最终真漏洞。,模型判断,E4a,论文给出artifact：https://github.com/zmw12306/RFCAudit；public metadata status recorded; ,NA,6个真实网络协议实现；附加评估aws-c-http和Linux TCP/IP stack。,很高：FRRouting、aws-c-http、Linux TCP/IP等真实代码库与开发者确认。,不能声称RFCAUDIT动态触发所有漏洞；不能把confirmed/fixed之外的报告都当最终真漏洞。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C10,CP075,VulAgent,软件漏洞检测、敏感代码定位、漏洞假设验证。,A1 + A2,多视角专门agent协作，后续用假设条件和触发路径做验证。,E0,prediction/检测报告；没有PoC或真实CVE发现作为主要证据。; 不能声称VulAgent已完成真实漏洞挖掘或exploit验证。,模型判断,NA,public metadata status recorded; 当前全文未确认artifact链接。,NA,PrimeVul、SVEN。,中：公开数据集与项目上下文，非真实环境漏洞挖掘闭环。,不能声称VulAgent已完成真实漏洞挖掘或exploit验证。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C11,CP076,MALF,second_coder_to_code,A4,多Agent分别负责协议分析、种子生成、变异、反馈分析和实时优化，并结合RAG和QLoRA提升协议一致性。,E2,已知CVE重发现、zero-day、CNVD确认、PLC DoS/模块停机/明文未验证协议问题。; 不能把三处zero-day写成已全部公开确认；只能明确一处声称CNVD确认，其他标待复核。,系统输出,E4a,论文称Data available on request；public metadata status recorded; ,NA,Modbus/TCP、S7Comm、Ethernet/IP；真实电厂工控攻防靶场；三轮24小时fuzzing。,高但需严核：声称真实PLC和CNVD-2024-16009；数据按需提供，复现性不明。,不能把三处zero-day写成已全部公开确认；只能明确一处声称CNVD确认，其他标待复核。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C12,CP077,NeTestLLM,second_coder_to_code,A4,包含高层协议理解Agent、低层建模Agent、生成Agent、任务专用子Agent、fault corrector、summarizer、orchestrator等。,E2,历史bug覆盖、协议测试用例、运行日志与artifact验证；不是新漏洞发现为主。; 不能写成发现了41个新漏洞；41是历史FRRouting bug覆盖。,系统输出,NA,public metadata status recorded; ,NA,OSPF、RIP、BGP；4632个测试用例；FRRouting历史bug覆盖；专家用户研究。,中高：生产环境部署数月，真实协议和FRRouting历史bug；但预印本且缺少新漏洞确认。,不能写成发现了41个新漏洞；41是历史FRRouting bug覆盖。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C13,CP078,PBFuzz,PoV generation、directed fuzzing、漏洞复现/验证。,A3 + A4 + A5,agent执行代码分析、计划、工具编排、自我反思、记忆管理和反馈驱动修正。,E3,PoV、sanitizer/trigger pattern、benchmark CVE触发。; 不要声称其发现真实新漏洞；应表述为PoV生成和已知漏洞触发。,系统输出,NA,public metadata status recorded; 全文含workflow和prompt模板。,NA,Magma benchmark。,中高：Magma真实漏洞benchmark，但不是新漏洞披露。,不要声称其发现真实新漏洞；应表述为PoV生成和已知漏洞触发。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C14,CP080,Co-RedTeam,second_coder_to_code,A4,明确包含orchestrator、Analysis/Critique、Planner/Execution/Evaluation等多Agent角色，并使用长期记忆和迭代推理。,E1,benchmark中的exploit/执行成功/漏洞发现证据；真实世界外推需谨慎。; 不能声称该系统已被同行评审证明优于所有渗透测试Agent；不能把benchmark成功等同真实攻防全自动化。,任务完成,NA,public metadata status recorded; ,NA,报告使用CyBench、BountyBench、CyberGym。,使用真实环境benchmark，但仍以基准测试任务为主。,不能声称该系统已被同行评审证明优于所有渗透测试Agent；不能把benchmark成功等同真实攻防全自动化。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C15,CP081,Real-world Pentest Agent Study,second_coder_to_code,A4,讨论规划、状态管理、任务难度估计、攻击树搜索、记忆和工具层，是Agent能力设计论文。,E1,CTF/靶机攻破、主机控制、攻击路径完成；不等同零日漏洞挖掘。; 不能把靶场成功率写成真实企业网络渗透能力；不能忽视预印本状态。,任务完成,NA,public metadata status recorded; ,NA,报告使用CTF、HackTheBox/VulnHub、GOAD等环境；具体配置需复核。,包含贴近真实的靶场与AD环境，但仍是受控评估。,不能把靶场成功率写成真实企业网络渗透能力；不能忽视预印本状态。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
