matrix_id,record_id,system_alias,field,author_harmonized_label,coder2_final_label,row_jaccard,material_checked,coder2_decision_note,coder2_uncertainty_note,adjudication_status,adjudicated_label,adjudication_note
C01,CP014,UniFuzz,lifecycle_coverage,candidate analysis;path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation;reporting and audit,0.750,"Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).",UniFuzz: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C02,CP015,ReForge,lifecycle_coverage,execution observation;reproduction and validation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion).","ReForge: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
C03,CP025,Multi-Agent Collaborative Smart Contract Fuzzing,lifecycle_coverage,path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation,0.667,"Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion).",Multi-Agent Collaborative Smart Contract Fuzzing: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C04,CP061,FuzzingBrain,lifecycle_coverage,path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,0.833,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",FuzzingBrain: observable workflow supports long-horizon pentest and CRS agent; strongest output is reproducible validation; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C05,CP066,Mut4All,lifecycle_coverage,path and input exploration;execution observation,path and input exploration;execution observation;reproduction and validation;reporting and audit,0.500,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",Mut4All: observable workflow supports feedback-driven fuzzing agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C07,CP071,ProtocolGuard,lifecycle_coverage,candidate analysis;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix).","ProtocolGuard: observable workflow supports candidate-analysis system; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: candidate-analysis is primary because rule extraction, slicing, and inconsistency localization organize the contribution; dynamic verification is the downstream confirmation stage rather than the primary system role.",,not_planned,,
C08,CP072,BSFuzzer,lifecycle_coverage,candidate analysis;path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",BSFuzzer: observable workflow supports feedback-driven fuzzing agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C09,CP102,RFCAUDIT,lifecycle_coverage,candidate analysis,candidate analysis;reporting and audit,0.500,"Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).",RFCAUDIT: observable workflow supports candidate-analysis system; strongest output is candidate judgment; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C10,CP075,VulAgent,lifecycle_coverage,candidate analysis,candidate analysis;reporting and audit,0.500,"Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).",VulAgent: observable workflow supports candidate-analysis system; strongest output is candidate judgment; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C11,CP076,MALF,lifecycle_coverage,path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.400,"Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13).",MALF: observable workflow supports feedback-driven fuzzing agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
