"matrix_id","system_alias","principal_output","synthesis_stratum"
"C01","UniFuzz","runtime safety signal","core_target_67"
"C02","ReForge","reproducible validation","core_target_67"
"C03","Multi-Agent Collaborative Smart Contract Fuzzing","runtime safety signal","core_target_67"
"C04","FuzzingBrain","reproducible validation","core_target_67"
"C05","Mut4All","runtime safety signal","core_target_67"
"C06","LLAMA","runtime safety signal","core_target_67"
"C07","ProtocolGuard","reproducible validation","core_target_67"
"C08","BSFuzzer","candidate judgment","core_target_67"
"C09","RFCAUDIT","candidate judgment","core_target_67"
"C10","VulAgent","candidate judgment","core_target_67"
"C11","MALF","runtime safety signal","core_target_67"
"C12","NeTestLLM","candidate judgment","core_target_67"
"C13","PBFuzz","reproducible validation","core_target_67"
"C14","Co-RedTeam","controlled task completion","core_target_67"
"C15","Real-world Pentest Agent Study","controlled task completion","core_target_67"
"C16","LLMVD.js","reproducible validation","core_target_67"
"C17","Multi-Agent Harnesses","candidate judgment","core_target_67"
"C18","PentestAgent","controlled task completion","core_target_67"
"C19","LIVA","candidate judgment","core_target_67"
"C20","FirmAgent","reproducible validation","core_target_67"
"C21","PANGOLIN","candidate judgment","core_target_67"
"C22","TransferFuzz-Pro","reproducible validation","core_target_67"
"C23","Cybench","controlled task completion","core_target_67"
"C24","BountyBench","candidate judgment","core_target_67"
"C25","SEC-bench","reproducible validation","core_target_67"
"C26","CyberGym","reproducible validation","core_target_67"
"C28","FuzzingBrain V2","runtime safety signal","core_target_67"
"C29","DrillAgent","reproducible validation","core_target_67"
"C30","OSS-CRS","reproducible validation","core_target_67"
"C31","GONDAR","reproducible validation","core_target_67"
"U01","RAVEN","controlled task completion","core_target_67"
"U02","Revelio","reproducible validation","core_target_67"
"U03","OpenAnt","reproducible validation","core_target_67"
"U04","Code-Augur","runtime safety signal","core_target_67"
"U05","Transferable Self-Evolving Playbooks for Agentic Security Auditing","candidate judgment","core_target_67"
"U06","DIG","reproducible validation","core_target_67"
"U07","NeuroLog","reproducible validation","core_target_67"
"U08","EvoRepair","reproducible validation","core_target_67"
"U09","Quality-Assured Fuzz Harness Generation via the Four Principles Framework","reproducible validation","core_target_67"
"U10","ContraFix","reproducible validation","core_target_67"
"U11","MemRepair","reproducible validation","core_target_67"
"U12","Veritas","reproducible validation","core_target_67"
"U13","FuzzAgent","runtime safety signal","core_target_67"
"U14","Agentic Fuzzing","externally traceable material","core_target_67"
"U15","Root-Cause-Driven Automated Vulnerability Repair","reproducible validation","core_target_67"
"U16","Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex","reproducible validation","core_target_67"
"U17","FunFuzz","reproducible validation","core_target_67"
"U18","APIOT","controlled task completion","core_target_67"
"U21","Symbolic Execution Meets Multi-LLM Orchestration","controlled task completion","core_target_67"
"U22","Automation-Exploit","controlled task completion","core_target_67"
"U23","Towards Optimal Agentic Architectures for Offensive Security Tasks","controlled task completion","core_target_67"
"U25","V2E","reproducible validation","core_target_67"
"U26","COBALT-TLA","candidate judgment","core_target_67"
"U27","Argus","candidate judgment","core_target_67"
"U28","PoC-Adapt","reproducible validation","core_target_67"
"U29","Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco","reproducible validation","core_target_67"
"U31","Fuzzing with Agents? Generators Are All You Need","controlled task completion","core_target_67"
"U32","STRIATUM-CTF","controlled task completion","core_target_67"
"U33","VulnAgent-R2","runtime safety signal","core_target_67"
"U34","Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing","runtime safety signal","core_target_67"
"U35","vEcho","candidate judgment","core_target_67"
"U36","FuzzySQL","reproducible validation","core_target_67"
"U37","QRS","externally traceable material","core_target_67"
"U38","A Dual-Loop Agent Framework for Automated Vulnerability Reproduction","reproducible validation","core_target_67"
"U39","Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnera","controlled task completion","core_target_67"
"U40","VulnResolver","reproducible validation","core_target_67"
"U41","Multi-Agent Taint Specification Extraction for Vulnerability Detection","candidate judgment","core_target_67"
