core_id,record_id,system_alias,title,publication_status,boundary_role,materials_to_review,coder2_strongest_evidence_output,coder2_decision_reason,coder2_uncertainty_note
C01,CP014,UniFuzz,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP014 / title: UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,论文报告在 SoliAudit 与 Etherscan 数据集上进行 fuzzing 评估，依据覆盖率、检测准确率和专家确认的漏洞结果形成运行期安全信号。,未检查到可公开逐项复现的 PoC/issue 链，Etherscan 部分依赖论文所述专家确认。
C02,CP015,ReForge,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP015 / title: ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,ReForge 从 AFL++ crash 输入出发生成并验证 Python PoC exploit，论文称 GitHub artifact 包含 Docker、demo、crash 输入和对应报告材料。,未实际运行 artifact；判定依据为论文/公开 artifact 对复现实验材料的描述。
C03,CP025,Multi-Agent Collaborative Smart Contract Fuzzing,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP025 / title: Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,SmartFuzz/多智能体合约 fuzzing 通过 EVM 执行器、test oracles、runtime errors 和 vulnerability signals 反馈触发攻击交易序列。,未检查到逐项公开 replay artifact；源码链接在正文抽取中不完整，故保守停留在运行时信号。
C04,CP061,FuzzingBrain,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP061 / title: All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,FuzzingBrain 面向 AIxCC CRS 生成 PoV 触发 sanitizer error，并生成通过构建、功能测试和 PoV 回归的补丁；系统和 leaderboard 公开。,零日发现未逐项外部追踪；本标签主要依据 PoV/patch validation 工作流。
C05,CP066,Mut4All,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP066 / title: Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,externally traceable material,Mut4All 使用 crash/hang oracle 与差分测试发现编译器 bug，公开 artifact，并报告多项 bug 已被开发者确认或修复。,未逐个核验外部 issue/修复链接；未记录任何触发 testcase 或敏感输入。
C06,CP068,LLAMA,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP068 / title: LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,LLAMA 报告智能合约 fuzzing 覆盖率和已知漏洞检测结果，基于多反馈 runtime fuzzing 与行为信号。,未发现公开 replay/PoC 或外部确认链；仅按论文全文支持的运行时检测信号编码。
C07,CP071,ProtocolGuard,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP071 / title: ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,ProtocolGuard 将协议不一致转为 assertion failures，并用 directed fuzzing 动态验证潜在 bug、生成 PoC test cases。,开发者确认未逐项外部追踪；未写入任何 PoC 细节。
C08,CP072,BSFuzzer,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP072 / title: BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,externally traceable material,BSFuzzer 在真实 BLE 设备上发现问题，论文报告 9 个 CVE 和两个厂商 bug bounty 确认。,未逐个打开 CVE 或 bounty 页面；公开论文只提供汇总性外部追踪信息。
C09,CP074,RFCAUDIT,RFCAUDIT: AI agent for auditing protocol implementations against RFC specifications,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP074 / title: RFCAUDIT: AI agent for auditing protocol implementations against RFC specifications. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,externally traceable material,RFCAUDIT 检测 RFC/实现不一致 bug，论文报告 47 个 bug 中 20 个已由开发者确认或修复，并给出修复示例。,未逐个核验开发者记录；其主要输出仍是规范一致性 bug 报告。
C10,CP075,VulAgent,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,arXiv preprint,standard_core_entry,Review the public paper and any public artifact or project materials for record CP075 / title: VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,candidate judgment,VulAgent 输出经多智能体 hypothesis validation 过滤的漏洞报告，证据主要是候选报告、触发条件和程序上下文推理。,虽释放报告/提示/系统逻辑，但未看到运行时 PoC、外部确认或复现链；按候选判断保守编码。
C11,CP076,MALF,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP076 / title: MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,externally traceable material,MALF 报告工业协议 fuzzing 的异常触发和三项零日，其中一项已被 CNVD 确认/登记。,CNVD 记录未逐项核验；工业靶场材料限制了公开复现性。
C12,CP077,NeTestLLM,NeTestLLM: automated network protocol testing with LLM agents,arXiv preprint,standard_core_entry,Review the public paper and any public artifact or project materials for record CP077 / title: NeTestLLM: automated network protocol testing with LLM agents. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,controlled task completion,NeTestLLM 自动生成协议测试用例和可执行 artifacts，覆盖历史 FRRouting bug，并在生产测试场景中使用，主要支撑有界测试任务完成。,其目标偏网络协议测试自动化，不是逐项目标软件漏洞复现；未检查每个历史 bug 的 replay。
C13,CP078,PBFuzz,PBFuzz: agentic directed fuzzing for PoV generation,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP078 / title: PBFuzz: agentic directed fuzzing for PoV generation. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,PBFuzz 的核心输出是 PoV input，论文在 Magma 等 benchmark 上报告触发 57 个漏洞并用运行反馈验证。,未逐个检查生成的 PoV 文件；判定依据为公开论文中的 benchmark validation 描述。
C14,CP080,Co-RedTeam,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP080 / title: Co-RedTeam: orchestrated security discovery and exploitation with LLM agents. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,controlled task completion,Co-RedTeam 在 CyBench、BountyBench、CyberGym 等有界安全 benchmark 上报告发现/利用成功率，证据主线是任务完成。,未看到独立外部漏洞追踪或公开复现链；不因多 agent 编排提高标签。
C15,CP081,Real-world Pentest Agent Study,What makes a good LLM agent for real-world penetration testing?,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP081 / title: What makes a good LLM agent for real-world penetration testing?. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,controlled task completion,PentestGPT V2 在 CTF benchmark 与 GOAD 环境中报告任务完成率和主机 compromise 数，属于受控渗透测试任务成功。,未检查公开 exploit 链；证据限于 benchmark/靶场任务边界。
C16,CP082,LLMVD.js,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP082 / title: Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,LLMVD.js 生成 PoC exploits 并通过轻量 execution oracles 验证，在公开 benchmark 和新近 npm 包上报告 validated exploits。,未记录 exploit 内容，也未核验外部 advisory；按公开材料中的 PoC/执行验证编码。
C17,CP083,Multi-Agent Harnesses,Synthesizing multi-agent harnesses for vulnerability discovery,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP083 / title: Synthesizing multi-agent harnesses for vulnerability discovery. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,externally traceable material,AgentFlow/多智能体 harnesses 报告发现 Google Chrome 零日，并列出具体 CVE ID，包括 critical sandbox escape。,未打开 CVE 页面逐项核验；标签依据论文公开的外部 CVE 追踪材料。
C18,CP084,PentestAgent,PentestAgent: incorporating LLM agents to automated penetration testing,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP084 / title: PentestAgent: incorporating LLM agents to automated penetration testing. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,controlled task completion,PentestAgent 在 VulHub 与 HackTheBox/CTF 构成的 benchmark 上完成情报收集、漏洞分析和利用任务，公开框架与数据集。,证据主线是 benchmark 完成和效率，不是公开的逐项漏洞复现链。
C19,CP085,LIVA,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP085 / title: LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,externally traceable material,LIVA 报告 64 个未知 IoT 漏洞，其中 39 个获得 CVE/CNVD，且公开代码、数据集和文档。,未逐个核验 CVE/CNVD；闭源 firmware 也限制完全复现。
