disagreement_id,record_id,cohort,title,field,field_type,coder_x_label,coder_y_label,evidence_status,evidence_location_lead,evidence_excerpt_lead,evidence_summary,codebook_rule,human_final_label,brief_reason,evidence_location_verified,unresolved,reviewer_initials,review_date,row_status
C01__lifecycle,C01,released_67,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,lifecycle coverage,multi-label,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit,source-linked lead,"urn:isbn:979-8-3315-6687-6 | Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results). | excerpt pages 1","[p.1] Moreover, existing methods rely on fixed rule-based strategies without leveraging external security knowledge from audit reports. [p.1] UniFuzz employs Large Language Models (LLMs) for deep semantic analysis and targeted test input generation, guided by insights from real-world audit reports and coordinated through specialized agents.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis;path and input exploration;execution observation,The cited source supports the selected label candidate analysis;path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"urn:isbn:979-8-3315-6687-6 | Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results). | excerpt pages 1",no,,2026-08-12,ready
C01__capability,C01,released_67,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,cross-stage capability,multi-label,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging,source-linked lead,"urn:isbn:979-8-3315-6687-6 | Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results). | excerpt pages 6, 1","[p.6] UniFuzz integrates three key innovations: multi-layer semantic analysis combining static, dataflow, and LLM-based under- standing; RAG-enhanced parameter generation leveraging au- dit knowledge; and collaborative multi-agent coordination with adaptive strategy selection. [p.1] Moreover, existing methods rely on fixed rule-based strategies without leveraging external security knowledge from audit reports.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,"The cited source supports the selected label context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","urn:isbn:979-8-3315-6687-6 | Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results). | excerpt pages 6, 1",no,,2026-08-12,ready
C02__lifecycle,C02,released_67,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,lifecycle coverage,multi-label,execution observation;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,source-linked lead,"urn:isbn:979-8-3315-5397-5 | Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion). | excerpt pages 1","[p.1] Automated fuzzers like AFL++ leverage coverage-guided mu- tation to efficiently explore code paths and uncover previously unknown vulnerabilities. [p.1] ReForge consists of three core components linked by a lightweight MCP server: (1) AFL++, which fuzzes the target binary and produces crash–triggering inputs; (2) AI-ExploitGen, an LLM-driven agent that ingests each crash file plus the instrumented binary via the MCP, then itera- tively generates and refines Python PoC exploits; and (3) AI-Analyzer, a second LLM-driven agent that analyzes suc- cessful exploits, classifies the underlying vulnerability, and emits a human-readable report.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",execution observation;reproduction and validation;reporting and audit,The cited source supports the selected label execution observation;reproduction and validation;reporting and audit; only observable workflow actions or outputs were retained.,"urn:isbn:979-8-3315-5397-5 | Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion). | excerpt pages 1",no,,2026-08-12,ready
C02__capability,C02,released_67,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,cross-stage capability,multi-label,feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging,source-linked lead,"urn:isbn:979-8-3315-5397-5 | Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion). | excerpt pages 1","[p.1] Some examples of these tools are presented as follows. [p.1] These tools either op- erate at a higher protocol layer, require manual intervention to triage crashes, or are constrained to specific domains (e.g. blockchain, Java libraries, heap contexts).",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,"The cited source supports the selected label tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","urn:isbn:979-8-3315-5397-5 | Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion). | excerpt pages 1",no,,2026-08-12,ready
C02__external_traceability,C02,released_67,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,external traceability,single-label,no external trace reported,benchmark ground truth / public material,source-linked lead,"urn:isbn:979-8-3315-5397-5 | Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion). | excerpt pages 4, 1","[p.4] The binaries included both well-known vulnerabilities from public CVEs and custom vulnerable programs that we created for controlled study. [p.1] All code, data, and models required to reproduce our experiments are publicly avail- able on GitHub at https://github.com/Sohan245/ReForge.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Code separately from principal output. Only item-level alignment between a concrete system result and a specific public external record qualifies as publicly aligned external trace.,no external trace reported,The cited source supports the selected label no external trace reported under the codebook's item-level public-record alignment criterion.,"urn:isbn:979-8-3315-5397-5 | Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion). | excerpt pages 4, 1",no,,2026-08-12,ready
C03__lifecycle,C03,released_67,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,lifecycle coverage,multi-label,execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration,source-linked lead,"https://arxiv.org/abs/2511.12164 | Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion). | excerpt pages 5, 11","[p.5] DraftingPhasesSubtasks Global Reflection Reflection with feedback from backend Refine TxS with feedbackCollaborative Chain Testing Contracts Testing with Backend Executing TxS with EVM VulnerabilityDetectorPre-Analysis &Generate init TxS Local Reflection Function Check Argument Check Reflection with feedback from SeedPool Sender Check Amount Check EVM VD TxSeqDrafter TxSeqRefiner FunChecker ArugChecker SNDChecker AMTChecker 𝑇!""!# 𝑇!""!#𝑇$% Vul. [p.11] Related Work Smart Contract Vulnerability Detection.The detection of smart contract vulnerabilities can be roughly divided into dynamic analysis and static analysis, depending on whether the programs need to be executed.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",path and input exploration;execution observation,The cited source supports the selected label path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2511.12164 | Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion). | excerpt pages 5, 11",no,,2026-08-12,ready
C03__capability,C03,released_67,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,cross-stage capability,multi-label,long-horizon state management,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,source-linked lead,"https://arxiv.org/abs/2511.12164 | Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion). | excerpt pages 7, 6","[p.7] As a result, in each iteration of the reflection loop,SmartFuzzrefines the transaction sequence based on environmental feedback, ensuring that both the global structure and the local elements are validated and progres- sively optimized to increase the likelihood of triggering vulnerabilities. [p.6] reflection loop, where the agent iteratively refines its output based on feedback from different step.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,long-horizon state management,"The cited source supports the selected label long-horizon state management; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://arxiv.org/abs/2511.12164 | Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion). | excerpt pages 7, 6",no,,2026-08-12,ready
C04__lifecycle,C04,released_67,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,lifecycle coverage,multi-label,execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,source-linked lead,"https://arxiv.org/abs/2509.07225 | Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation). | excerpt pages 7","[p.7] All You Need Is A Fuzzing Brain: An LLM-Powered System for Automated Vulnerability Detection and Patching AIxCC, 2025, Figure 2: Task Distribution & Strategy Running Table 3: Delta-Scan POV Generation Strategies Comparison Strategy Input Analysis Generation Method Core Characteristics xs0_delta Commit diff analysis Single input per iteration Basic strategy, iterative LLM refinement as0_delta Commit diff analysis Multi-input generation Advanced strategy with 5 inputs per try Table 4: Full-Scan POV Generation Strategies Comparison Strategy Function Discovery Ranking Method Core Characteristics xs0_c_full Call graph analysis LLM ranking Basic function filtering with simple LLM ranking xs0_java_",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,The cited source supports the selected label path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2509.07225 | Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation). | excerpt pages 7",no,,2026-08-12,ready
C04__capability,C04,released_67,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,cross-stage capability,multi-label,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,source-linked lead,"https://arxiv.org/abs/2509.07225 | Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation). | excerpt pages 8, 10","[p.8] Except for XPatch, all patching strategies follow the same work- flow, illustrated in Figure 4: (1)Target Function Identification: Identify vulnerable func- tions using strategy-specific heuristics. (2) Metadata Extraction: Retrieve the complete function source code and surrounding context. (3) Patch Generation: Use LLMs to produce a revised version of the function body. [p.10] Context Retrieval.The strategy also supports dynamic context retrieval, enabling the LLM to request additional source code when needed: ""If you need the source code of any other function, please return the file paths and function names in the following JSON format:"" This feature supports comprehensive reasoning over complex vul- nerabilities that span multiple functions or require broader program context.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,"The cited source supports the selected label feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://arxiv.org/abs/2509.07225 | Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation). | excerpt pages 8, 10",no,,2026-08-12,ready
C05__lifecycle,C05,released_67,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,lifecycle coverage,multi-label,execution observation;path and input exploration,execution observation;path and input exploration;reporting and audit;reproduction and validation,source-linked lead,"https://arxiv.org/abs/2507.19275 | Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion). | excerpt pages 1","[p.1] This pipeline analyzes 1000 bug reports (500 each for Rust and C++), and synthesizes 319 and 403 mutators for them. [p.1] In this work, we present Mut4All, a fully automated, cross-language framework that synthesizes mutation operators by leveraging LLM agents and compiler-specific insights extracted from bug reports on open-source compiler repositories.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",path and input exploration;execution observation,The cited source supports the selected label path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2507.19275 | Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion). | excerpt pages 1",no,,2026-08-12,ready
