record_id,matrix_id,title,field,coder_x_label,coder_y_label,final_label,resolution_type,brief_reason,evidence_location,unresolved,reviewer_initials,review_date,disagreement_id
C01,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,lifecycle coverage,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit,candidate analysis;path and input exploration;execution observation,coder_x_selected,The cited source supports the selected label candidate analysis;path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"urn:isbn:979-8-3315-6687-6 | Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results). | excerpt pages 1",no,TR,2026-08-12,C01__lifecycle
C01,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,cross-stage capability,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,coder_x_selected,"The cited source supports the selected label context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","urn:isbn:979-8-3315-6687-6 | Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results). | excerpt pages 6, 1",no,TR,2026-08-12,C01__capability
C01,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,primary system shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,feedback-driven fuzzing agent,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C01,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,principal reported evidence output,runtime safety signal,runtime safety signal,runtime safety signal,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C01,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,external traceability,no external trace reported,no external trace reported,no external trace reported,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C02,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,lifecycle coverage,execution observation;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,execution observation;reproduction and validation;reporting and audit,coder_x_selected,The cited source supports the selected label execution observation;reproduction and validation;reporting and audit; only observable workflow actions or outputs were retained.,"urn:isbn:979-8-3315-5397-5 | Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion). | excerpt pages 1",no,TR,2026-08-12,C02__lifecycle
C02,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,cross-stage capability,feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,coder_x_selected,"The cited source supports the selected label tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","urn:isbn:979-8-3315-5397-5 | Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion). | excerpt pages 1",no,TR,2026-08-12,C02__capability
C02,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,primary system shape,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C02,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,principal reported evidence output,reproducible validation,reproducible validation,reproducible validation,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C02,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,external traceability,no external trace reported,benchmark ground truth / public material,no external trace reported,coder_x_selected,The cited source supports the selected label no external trace reported under the codebook's item-level public-record alignment criterion.,"urn:isbn:979-8-3315-5397-5 | Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion). | excerpt pages 4, 1",no,TR,2026-08-12,C02__external_traceability
