"discovery_id","first_decision","second_decision","consensus_decision","sample_role","calibration_excluded"
"FMS1181","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0571","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0506","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0355","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1384","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1392","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0415","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0604","RETAIN","EXCLUDE","RETAIN","formal_random_screening_sample","true"
"FMS0042","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0981","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1083","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0049","RETAIN","EXCLUDE","RETAIN","formal_random_screening_sample","true"
"FMS0495","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1112","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1087","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS1043","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1410","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0368","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1167","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0442","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1515","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1128","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0291","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0321","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0206","RETAIN","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1206","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0559","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1232","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0354","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1369","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0531","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1142","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1434","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1487","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0356","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0237","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0558","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS1000","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0572","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0318","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0045","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0644","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0461","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0328","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1628","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0470","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1521","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1624","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1329","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1470","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1163","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0635","EXCLUDE","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0098","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1550","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1006","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1264","EXCLUDE","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0066","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0190","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1123","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0578","RETAIN","EXCLUDE","RETAIN","formal_random_screening_sample","true"
"FMS0568","RETAIN","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1180","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0046","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0432","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1567","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
