cohort,denominator,dimension,label,count,share
retained_pre_final_67,67,primary_system_shape,candidate-analysis system,12,0.179
retained_pre_final_67,67,primary_system_shape,feedback-driven fuzzing agent,17,0.254
retained_pre_final_67,67,primary_system_shape,long-horizon pentest and CRS agent,13,0.194
retained_pre_final_67,67,primary_system_shape,"reproduction-, validation-, and repair-centered agent",25,0.373
retained_pre_final_67,67,principal_reported_evidence_output,candidate judgment,13,0.194
retained_pre_final_67,67,principal_reported_evidence_output,controlled task completion,12,0.179
retained_pre_final_67,67,principal_reported_evidence_output,externally traceable material,3,0.045
retained_pre_final_67,67,principal_reported_evidence_output,reproducible validation,29,0.433
retained_pre_final_67,67,principal_reported_evidence_output,runtime safety signal,10,0.149
retained_pre_final_67,67,cross_stage_capability,context aggregation / rule extraction,37,0.552
retained_pre_final_67,67,cross_stage_capability,failure reuse / strategy update,8,0.119
retained_pre_final_67,67,cross_stage_capability,feedback interpretation / loop adjustment,37,0.552
retained_pre_final_67,67,cross_stage_capability,governance / human gates / disclosure control,1,0.015
retained_pre_final_67,67,cross_stage_capability,long-horizon state management,8,0.119
retained_pre_final_67,67,cross_stage_capability,no qualifying label observed,15,0.224
retained_pre_final_67,67,cross_stage_capability,tool routing / strategy routing,24,0.358
retained_pre_final_67,67,cross_stage_capability,validation organization / evidence packaging,27,0.403
new_multisource_132,132,primary_system_shape,candidate-analysis system,29,0.220
new_multisource_132,132,primary_system_shape,feedback-driven fuzzing agent,16,0.121
new_multisource_132,132,primary_system_shape,long-horizon pentest and CRS agent,42,0.318
new_multisource_132,132,primary_system_shape,"reproduction-, validation-, and repair-centered agent",45,0.341
new_multisource_132,132,principal_reported_evidence_output,candidate judgment,38,0.288
new_multisource_132,132,principal_reported_evidence_output,controlled task completion,44,0.333
new_multisource_132,132,principal_reported_evidence_output,externally traceable material,1,0.008
new_multisource_132,132,principal_reported_evidence_output,reproducible validation,40,0.303
new_multisource_132,132,principal_reported_evidence_output,runtime safety signal,9,0.068
new_multisource_132,132,cross_stage_capability,context aggregation / rule extraction,60,0.455
new_multisource_132,132,cross_stage_capability,failure reuse / strategy update,19,0.144
new_multisource_132,132,cross_stage_capability,feedback interpretation / loop adjustment,55,0.417
new_multisource_132,132,cross_stage_capability,governance / human gates / disclosure control,8,0.061
new_multisource_132,132,cross_stage_capability,long-horizon state management,33,0.250
new_multisource_132,132,cross_stage_capability,no qualifying label observed,50,0.379
new_multisource_132,132,cross_stage_capability,tool routing / strategy routing,35,0.265
new_multisource_132,132,cross_stage_capability,validation organization / evidence packaging,42,0.318
