field_key,field,field_type,allowed_label
lifecycle,lifecycle coverage,multi-label,candidate analysis
lifecycle,lifecycle coverage,multi-label,path and input exploration
lifecycle,lifecycle coverage,multi-label,execution observation
lifecycle,lifecycle coverage,multi-label,reproduction and validation
lifecycle,lifecycle coverage,multi-label,patch validation
lifecycle,lifecycle coverage,multi-label,reporting and audit
lifecycle,lifecycle coverage,multi-label,no qualifying label observed
capability,cross-stage capability,multi-label,context aggregation / rule extraction
capability,cross-stage capability,multi-label,tool routing / strategy routing
capability,cross-stage capability,multi-label,feedback interpretation / loop adjustment
capability,cross-stage capability,multi-label,validation organization / evidence packaging
capability,cross-stage capability,multi-label,long-horizon state management
capability,cross-stage capability,multi-label,failure reuse / strategy update
capability,cross-stage capability,multi-label,governance / human gates / disclosure control
capability,cross-stage capability,multi-label,no qualifying label observed
primary_shape,primary system shape,single-label,candidate-analysis system
primary_shape,primary system shape,single-label,feedback-driven fuzzing agent
primary_shape,primary system shape,single-label,"reproduction-, validation-, and repair-centered agent"
primary_shape,primary system shape,single-label,long-horizon pentest and CRS agent
principal_evidence,principal reported evidence output,single-label,candidate judgment
principal_evidence,principal reported evidence output,single-label,controlled task completion
principal_evidence,principal reported evidence output,single-label,runtime safety signal
principal_evidence,principal reported evidence output,single-label,reproducible validation
principal_evidence,principal reported evidence output,single-label,externally traceable material
external_traceability,external traceability,single-label,no external trace reported
external_traceability,external traceability,single-label,author-reported external clue
external_traceability,external traceability,single-label,benchmark ground truth / public material
external_traceability,external traceability,single-label,publicly aligned external trace
