record_id,matrix_id,title,field,coder_x_label,coder_y_label,final_label,resolution_type,brief_reason,evidence_location,unresolved,reviewer_initials,review_date,disagreement_id
C01,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,lifecycle coverage,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit,candidate analysis,third_party_external_rereview,"candidate analysis: p.1“niFuzz: A Unified Fuzzing Framework for Smart Contract Vulnerability Detection with LLMs and Audit Reports Le Quoc Ngo ∗†, Tran Tien Nhat ∗†, Nguyen Huu Quyen ∗†‡, Van-Hau Pham ∗†, Phan The Duy∗†‡ ∗Information Security Laboratory, University of Information Technology, Ho Chi Minh City, Vietnam †Vietnam National University, Ho Chi Minh City, Vietnam ‡VNU-HCM Information Security Center, Ho”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",p.1; papers/A085.txt,no,OY,2026-08-24,C01__lifecycle
C01,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,cross-stage capability,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction,third_party_external_rereview,"context aggregation / rule extraction: p.1“We introduce UniFuzz, a unified framework that integrates multilayer static and semantic analysis, Retrieval-Augmented Generation (RAG) leveraging audit-driven knowledge, and orchestrated multi-agent collaboration.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",p.1; papers/A085.txt,no,OY,2026-08-24,C01__capability
C01,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,primary system shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,feedback-driven fuzzing agent,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C01,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,principal reported evidence output,runtime safety signal,runtime safety signal,runtime safety signal,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C01,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,external traceability,no external trace reported,no external trace reported,no external trace reported,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C02,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,lifecycle coverage,execution observation;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis; execution observation; reporting and audit,third_party_external_rereview,"candidate analysis: p.10“R ELATED W ORK exploit triggers, relies on pre-existing vulnerability databases, Recent advances in vulnerability detection and a”；execution observation: p.8“[4] introduced GREBE, a tool aimed at identi- coordinates between AI-ExploitGen and AI-Analyzer to fying and assessing the exploitation potential of Linux ker- refine exploits based on live execution logs. nel vulnerabilities via symbolic reasoning and kernel-specific 3) Human-readable vulnerability reports.”；reporting and audit: p.4“for a self-sufficient system that ingests raw crash inputs from fuzzers and produces verified, ready-to-run exploits paired I.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",p.4；p.8；p.10; papers/A177.txt,no,OY,2026-08-24,C02__lifecycle
C02,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,cross-stage capability,feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging,feedback interpretation / loop adjustment,third_party_external_rereview,"feedback interpretation / loop adjustment: p.5“Fuzzing this feedback loop—capturing execution logs, returning them is an automated software-testing technique that feeds programs to AI-ExploitGen for refinement.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",p.5; papers/A177.txt,no,OY,2026-08-24,C02__capability
C02,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,primary system shape,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C02,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,principal reported evidence output,reproducible validation,reproducible validation,reproducible validation,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C02,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,external traceability,no external trace reported,benchmark ground truth / public material,no external trace reported,third_party_external_rereview,论文相关事实为“2025 IEEE International Conference on Future Machine Learning and Data Science (FMLDS) 2025 IEEE International Conference on Future Machine Learning and Data Science (FMLDS) | 979-8-3315-5397-5/25/$31.00 ©2025 IEEE | DOI: 10.1109/FMLDS67896.2025.00022 ReForge: A Customizable AI-Driven Framework for End-to-End Exploit Generation and Analysis Sohan Simha Prabh”。本地论文未给出具体系统结果到公开记录、公开 PoC/trigger/replay 或公开 benchmark ground truth 的可定位对齐。,"p.1, Abstract/Introduction; papers/A177.txt",no,OY,2026-08-24,C02__external_traceability
