matrix_id,pub__record_id,pub__system_alias,pub__analytical_role,pub__coding_round,pub__year,pub__publication_status_standardized,pub__strongest_evidence_output,pub__primary_system_shape,pub__cross_stage_capabilities,pub__external_traceability,prim__system,prim__primitive_tags,prim__named_tools,prim__source_location,prim__extraction_note,domain__system,domain__title,domain__target_domain,domain__primary_system_shape,domain__principal_reported_evidence_output,domain__publication_year,domain__source_location,domain__extraction_basis,domain__extraction_scope,artifact__system,artifact__principal_reported_evidence_output,artifact__public_implementation_located,artifact__environment_or_build_instructions,artifact__trigger_replay_poc_pov_artifact,artifact__execution_trace_or_log,artifact__patch_artifact,artifact__source_location,artifact__evidence_note,artifact__audit_scope,artifact__trigger_replay_evidence_scope,task__study_title,task__principal_reported_evidence_output,task__target_domain,task__controlled_task_only_excluded,task__decision_reason,task__domain_source_location,overlap__system,overlap__training_data_overlap_control,overlap__source_location,overlap__evidence_note,overlap__audit_scope
C01,CP014,UniFuzz,target_software_study,initial_frozen_round,2025,conference,runtime safety signal,feedback-driven fuzzing agent,context aggregation / rule extraction,no external trace reported,UniFuzz,static_taint_specification;fuzzing_input_harness;runtime_oracle,Slither;EVM execution;vulnerability oracles,"Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",UniFuzz,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,smart contract and blockchain,feedback-driven fuzzing agent,runtime safety signal,2025,"Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,UniFuzz,runtime safety signal,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).",论文称提供open-source implementation；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,runtime safety signal,smart contract and blockchain,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).",UniFuzz,not located,Locally reviewed public full text,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C02,CP015,ReForge,target_software_study,initial_frozen_round,2025,conference,reproducible validation,"reproduction-, validation-, and repair-centered agent",feedback interpretation / loop adjustment,no external trace reported,ReForge,fuzzing_input_harness;runtime_oracle;replay_poc_pov,AFL++;Python PoC execution,"Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",ReForge,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion).",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,ReForge,reproducible validation,located,located,located,not located,not located,"Reviewed full text, p. 1",https://github.com/Sohan245/ReForge.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,strict_system_generated_public_item,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion).",ReForge,not located,Locally reviewed public full text,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C03,CP025,Multi-Agent Collaborative Smart Contract Fuzzing,target_software_study,initial_frozen_round,2025,journal,runtime safety signal,feedback-driven fuzzing agent,context aggregation / rule extraction; failure reuse / strategy update,no external trace reported,Multi-Agent Collaborative Smart Contract Fuzzing,fuzzing_input_harness;runtime_oracle,EVM execution;testing oracle,"Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",Multi-Agent Collaborative Smart Contract Fuzzing,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,smart contract and blockchain,feedback-driven fuzzing agent,runtime safety signal,2025,"Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion).",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Multi-Agent Collaborative Smart Contract Fuzzing,runtime safety signal,located,not located,not located,located,not located,"Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion).",public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,runtime safety signal,smart contract and blockchain,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion).",Multi-Agent Collaborative Smart Contract Fuzzing,not located,Locally reviewed public full text,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C04,CP061,FuzzingBrain,target_software_study,initial_frozen_round,2025,preprint,reproducible validation,long-horizon pentest and CRS agent,feedback interpretation / loop adjustment,no external trace reported,FuzzingBrain,fuzzing_input_harness;runtime_oracle;replay_poc_pov;patch_build_test,libFuzzer;Jazzer;sanitizers;PoV and patch validation,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",FuzzingBrain,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,"repository, package, or source code",long-horizon pentest and CRS agent,reproducible validation,2025,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,FuzzingBrain,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",论文给出GitHub仓库：github.com/o2lab/afc-crs-all-you-need-is-a-fuzzing-brain；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",FuzzingBrain,not located,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C05,CP066,Mut4All,target_software_study,initial_frozen_round,2025,journal,runtime safety signal,feedback-driven fuzzing agent,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,author-reported external clue,Mut4All,fuzzing_input_harness;runtime_oracle;patch_build_test,compiler execution;unit-test feedback,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",Mut4All,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,"native binary, compiler, or operating system",feedback-driven fuzzing agent,runtime safety signal,2025,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Mut4All,runtime safety signal,located,not located,not located,not located,not located,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",论文给出artifact：https://github.com/sososopy/Mut4All-Artifacts；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,runtime safety signal,"native binary, compiler, or operating system",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",Mut4All,not located,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C06,CP068,LLAMA,target_software_study,initial_frozen_round,2026,journal,runtime safety signal,feedback-driven fuzzing agent,no qualifying label observed,no external trace reported,LLAMA,fuzzing_input_harness;symbolic_constraint;runtime_oracle,smart-contract fuzzer;selective symbolic execution;bug oracles,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",LLAMA,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,smart contract and blockchain,feedback-driven fuzzing agent,runtime safety signal,2026,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,LLAMA,runtime safety signal,located,not located,not located,not located,not located,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).",public metadata status recorded; 全文未在摘录中看到明确公开artifact声明。,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,runtime safety signal,smart contract and blockchain,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).",LLAMA,not located,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C07,CP071,ProtocolGuard,target_software_study,initial_frozen_round,2026,preprint,reproducible validation,candidate-analysis system,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,author-reported external clue,ProtocolGuard,static_taint_specification;runtime_oracle,RFC rule extraction;static analysis;dynamic assertions,"Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",ProtocolGuard,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,protocol and networked service,candidate-analysis system,reproducible validation,2026,"Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix).",Matched target-domain cue using pattern: protocol|\brfc\b|network|routing|dns|tcp|udp|5g|wi-?fi|modbus|mqtt,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,ProtocolGuard,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix).",论文给出Zenodo和GitHub：https://github.com/songxpu/ProtocolGuard；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,reviewed_candidate_excluded,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,reproducible validation,protocol and networked service,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix).",ProtocolGuard,not located,Locally reviewed public full text,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C08,CP072,BSFuzzer,target_software_study,initial_frozen_round,2025,preprint,candidate judgment,feedback-driven fuzzing agent,context aggregation / rule extraction,author-reported external clue,BSFuzzer,static_taint_specification;fuzzing_input_harness;runtime_oracle,specification extraction;BLE test execution;stateful oracle,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",BSFuzzer,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,"firmware, embedded, IoT, or OT",feedback-driven fuzzing agent,candidate judgment,2025,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",Matched target-domain cue using pattern: firmware|embedded|internet of things|\biot\b|industrial control|\bics\b|\bot\b|plc|bluetooth|\bble\b|rtos,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,BSFuzzer,candidate judgment,located,not located,not located,not located,not located,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",论文声明公开：BSFuzzer is publicly available at GitHub；specific URL not assigned in public metadata; public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,candidate judgment,"firmware, embedded, IoT, or OT",no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",BSFuzzer,not located,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C09,CP102,RFCAUDIT,target_software_study,initial_frozen_round,2025,conference,candidate judgment,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing,author-reported external clue,RFCAUDIT,static_taint_specification,RFC retrieval;static code analysis,"Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",RFCAUDIT,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,protocol and networked service,candidate-analysis system,candidate judgment,2025,"Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).",Matched target-domain cue using pattern: protocol|\brfc\b|network|routing|dns|tcp|udp|5g|wi-?fi|modbus|mqtt,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,RFCAUDIT,candidate judgment,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).",论文给出artifact：https://github.com/zmw12306/RFCAudit；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,candidate judgment,protocol and networked service,no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).",RFCAUDIT,not located,"Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C10,CP075,VulAgent,target_software_study,initial_frozen_round,2025,preprint,candidate judgment,candidate-analysis system,context aggregation / rule extraction,benchmark ground truth / public material,VulAgent,static_taint_specification,code analysis and hypothesis validation,"Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",VulAgent,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,mixed or general software targets,candidate-analysis system,candidate judgment,2025,"Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,VulAgent,candidate judgment,located,not located,not located,not located,not located,"Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).",public metadata status recorded; 当前全文未确认artifact链接。,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,candidate judgment,mixed or general software targets,no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).",VulAgent,not located,"Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
