record_id,canonical_title,system_alias,publication_status,venue,official_url,arxiv_id,doi,last_verified_date,note,citation_key,new__present,new__citation_key,new__title,new__authors,new__year,new__publication_status,new__venue_or_source,new__publisher,new__doi,new__arxiv_id,new__official_url,new__selected_source_id,new__selected_source_record_id,new__selection_basis,new__metadata_status
CP001,Leveraging intra- and inter-references in vulnerability detection using multi-agent collaboration based on LLMs,NA,verified_by_zotero,journalArticle,https://link.springer.com/article/10.1007/s10586-025-05721-2,NA,10.1007/s10586-025-05721-2,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=LeveragingIntraInterreferences2025; risk=publisher_landing_recorded; zotero_url=https://link.springer.com/10.1007/s10586-025-05721-2,,no,,,,,,,,,,,,,,
CP002,Addressing data leakage and imbalance for robust fine-tuning of pre-trained code language models in program repair and vulnerability detection,NA,project_or_benchmark_page_from_local_metadata,thesis,https://www.proquest.com/openview/7dfbd6a7d0eed2abea90a8ce491b8286/1?pq-origsite=gscholar&cbl=18750&diss=y,NA,NA,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date,,no,,,,,,,,,,,,,,
CP003,ParaVul: a parallel large language model and retrieval-augmented framework for smart contract vulnerability detection,NA,preprint_or_arxiv_from_local_metadata,preprint,https://arxiv.org/abs/2510.17919,2510.17919,10.48550/ARXIV.2510.17919,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_arxiv_doi; key=ParaVulParallelLarge2025; risk=arxiv_doi_check_version; zotero_url=https://arxiv.org/abs/2510.17919,,no,,,,,,,,,,,,,,
CP004,CQLLM: A Framework for Generating CodeQL Security Vulnerability Detection Code Based on Large Language Model,NA,verified_by_zotero,journalArticle,https://www.mdpi.com/2076-3417/16/1/517,NA,10.3390/app16010517,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=CQLLMFrameworkGenerating2025; risk=publisher_landing_recorded; zotero_url=https://www.mdpi.com/2076-3417/16/1/517,,no,,,,,,,,,,,,,,
CP005,LLM assisted dual-view awareness framework for smart contract vulnerability detection,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3503-9302-6,NA,10.1109/ISSRE66568.2025.00022,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=LLMAssistedDualView2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11229499/,,no,,,,,,,,,,,,,,
CP006,Solidity meets LLMs: a transformer-based approach to smart contract vulnerability detection,NA,verified_by_zotero,bookSection,urn:isbn:978-3-032-15631-0%20978-3-032-15632-7,NA,10.1007/978-3-032-15632-7_17,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=SolidityMeetsLLMs2025; risk=publisher_landing_recorded; zotero_url=https://link.springer.com/chapter/10.1007/978-3-032-15632-7_17,,no,,,,,,,,,,,,,,
CP007,Statistical Implausibility Detection: A Framework for Identifying Evaluation Inconsistencies in Large Language Model Security Assessment,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-6501-5,NA,10.1109/UEMCON67449.2025.11267712,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=StatisticalImplausibilityDetection2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11267712/,,no,,,,,,,,,,,,,,
CP008,FLAMES: fine-tuning LLMs to synthesize invariants for smart contract security,NA,preprint_or_arxiv_from_local_metadata,preprint,https://arxiv.org/abs/2510.21401,2510.21401,10.48550/ARXIV.2510.21401,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_arxiv_doi; key=FLAMESFinetuningLLMs2025; risk=arxiv_doi_check_version; zotero_url=https://arxiv.org/abs/2510.21401,,no,,,,,,,,,,,,,,
CP009,LocVul: line-level vulnerability localization based on a sequence-to-sequence approach,NA,verified_by_zotero,journalArticle,https://www.sciencedirect.com/science/article/pii/S0950584925002794,NA,10.1016/j.infsof.2025.107940,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=LocVulLinelevelVulnerability2026; risk=publisher_landing_recorded; zotero_url=https://linkinghub.elsevier.com/retrieve/pii/S0950584925002794,,no,,,,,,,,,,,,,,
CP010,A dual perspective review on large language models and code verification,NA,published_or_indexed_from_local_metadata,journalArticle,https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2025.1655469/full,NA,10.3389/fcomp.2025.1655469,2026-05-30,bib_match=dolcetti2025codeVerificationReview; metadata_source=local_bibtex; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=DualPerspectiveReview2025; risk=publisher_landing_recorded|differs_from_url_doi_candidate; zotero_url=https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2025.1655469/full,,no,,,,,,,,,,,,,,
CP011,Vulnerability assessment of LLM-generated smart contracts in ethereum,NA,verified_by_official_source,conferencePaper,https://ceur-ws.org/Vol-4075/paper1.pdf,NA,NA,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; publication_status_source: official URL/DOI metadata recorded,,no,,,,,,,,,,,,,,
