record_id,field,row_status,task_id,case_id,third_party_task_id,third_party_case_id,third_party_row_type,third_party_final_label,third_party_verified_evidence_locator,third_party_brief_reason,third_party_confidence,third_party_unresolved,third_party_reviewer_initials,third_party_review_date,reviewer_initials,review_date,qc_hidden_reference_label,qc_matches_hidden_reference
U27,cross-stage capability,qc_agreement,R2-004,A188,R2-004,A188,qc_agreement,context aggregation / rule extraction; validation organization / evidence packaging,"p.4-5, Sec. 3.2.1; p.6, Sec. 3.2.2; papers/A188.pdf",Argus 先解析项目依赖和源码中的实际用法，再把依赖信息传给后续分析；RAG 将 NVD、OSV、GHSA、Snyk 等结果整理成含描述、严重性、受影响版本和 CVE ID 的结构化对象。Re3 的 Review 阶段随后核查候选数据流，最后把 data-flow results、verification outcomes 和 structured vulnerability report 导出供专家审查。这里存在“依赖/检索信息 -> 后续分析与证据打包”的明确链条，故只选两个对应标签。,high,no,OY,2026-08-24,OY,2026-08-24,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,False
FMS0362,principal reported evidence output,qc_agreement,R2-005,A192,R2-005,A192,qc_agreement,controlled task completion,"p.1, Abstract and Fig. 1; p.6-7, Sec. 5 and Table 2; p.8, Table 3; papers/A192.pdf",FDSP 以 Bandit 反馈驱动生成、测试、方案生成和代码细化；实验在 LLMSecEval、SecurityEval 和 PythonSecurityEval 上报告各方法剩余漏洞比例，Table 3 进一步比较单方案、单迭代与完整 FDSP。论文主要呈现的是受控数据集上的修复/细化任务完成表现，而不是逐项公开漏洞记录或公开 PoC 对齐材料。,high,no,OY,2026-08-24,OY,2026-08-24,reproducible validation,False
U27,principal reported evidence output,qc_agreement,R2-020,A188,R2-020,A188,qc_agreement,candidate judgment,p.7; papers/A188.pdf,"p.7 报告“As shown in Table 2, Argus achieves a con- sistently higher number of sinks compared with all baselines, and a significantly higher number of detected vulnerabilities, indicating substantial progress from traditional SAST tools and LLM- assisted analysis to LLM-centered automatic and # Vuln./# Sinks Bare Argus Extra with RAG PublicCMS 5/7 1/1 JeecgBoot 3/9 0/0 Ruoyi 3/3 0/0 JSPWiki 5/7 0/0 DataGear 3/10 3/1 Yudao-Cloud 0/0 0/0”。主要结果是检测、分类或定位候选的判断指标。",high,no,OY,2026-08-24,OY,2026-08-24,candidate judgment,True
FMS0533,principal reported evidence output,qc_agreement,R2-032,A193,R2-032,A193,qc_agreement,candidate judgment,p.13; papers/A193.pdf,"p.13 报告“Third, the final decision stage introduces a conservative bias that may reduce recall for subtle vulnerabilities. Finally, the framework focuses on commit-level detection and does not address fine-grained tasks such as vulnerability localization or patch generation.”。主要结果是检测、分类或定位候选的判断指标。",high,no,OY,2026-08-24,OY,2026-08-24,candidate judgment,True
U41,external traceability,qc_agreement,R2-037,A190,R2-037,A190,qc_agreement,author-reported external clue,p.2; papers/A190.pdf,论文相关事实为“We have reported these vulnerabilities to the respective package maintainers.”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。,medium,no,OY,2026-08-24,OY,2026-08-24,author-reported external clue,True
FMS0885,principal reported evidence output,qc_agreement,R2-069,A194,R2-069,A194,qc_agreement,candidate judgment,p.6; papers/A194.pdf,"p.6 报告“With GPT-4o,VulTrial pushes the P-C even further to 81 (12×higher than LineVul), with recall reaching 0.60. Although this comes at the cost of a higher FPR (0.52), the trade-off results in vastly more correct pairwise classifications and a significantly higher yield of true vulnerabilities.”。主要结果是检测、分类或定位候选的判断指标。",high,no,OY,2026-08-24,OY,2026-08-24,candidate judgment,True
FMS1316,lifecycle coverage,qc_agreement,R2-093,A198,R2-093,A198,qc_agreement,path and input exploration; execution observation; reproduction and validation,p.2；p.3；p.5; papers/A198.pdf,"path and input exploration: p.2“Iterative queries against this tool enable the agent to resolve indirect calls (C1) and extract crash pre- conditions (C2) that static analysis misses, and to emit a structured report on convergence.”；execution observation: p.3“3.2 C2: Crash Preconditions Defeat Blind Mutation Even when the fuzzer successfully reaches a sink, triggering the crash may require satisfying a conjunction of precise input-level conditions that coverage-based feedback cannot distinguish from ordinary reachability.”；reproduction and validation: p.5“buf = alloc(MAXSIZE);...} [f2] ngx_http_range_parse: {if (range->rev) ...} Target Preparation Analysis Agent Seed Gen Agent search(“ngx_http_range_parse) → returns function body search(“file->rev”) → returns caller + types Analysis Report Sink: ngx_sendfile_r Call trace: harness → sink Path justification Crash preconditions Seed Strategy req = (b”GET /HTTP/1.1\r\n” b”Host: localhost\r\n””。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,OY,2026-08-24,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,False
FMS0533,external traceability,qc_agreement,R2-107,A193,R2-107,A193,qc_agreement,author-reported external clue,p.12; papers/A193.pdf,"论文相关事实为“To evaluate the generalization ability ofVIC-RAGENTunder realistic con- ditions, we conduct experiments on a set of commits associated with recently disclosed vulnerabilities. The evaluation dataset consist of 20 commits collected from 11 CVEs, including 11 VICs and 9 VFCs.”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。",medium,no,OY,2026-08-24,OY,2026-08-24,benchmark ground truth / public material,False
FMS1573,external traceability,qc_agreement,R2-124,A199,R2-124,A199,qc_agreement,author-reported external clue,p.9; papers/A199.pdf,"论文相关事实为“•Vulnerable MCP Server Dataset.This dataset comprises 130 MCP servers withknowntaint-style vulnerabilities, aggregated from two sources: (1) 67 0day vulnerable servers originally discovered by VIPER-MCP during large-scale scanning, all of which have been assigned CVE IDs and pinned at the exact vulnerable commit; and (2) 63 servers whose vulnerabilities correspond to publicly disclosed CVEs from 2025–2026, collected from the NV”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。",medium,no,OY,2026-08-24,OY,2026-08-24,author-reported external clue,True
FMS1316,principal reported evidence output,qc_agreement,R2-125,A198,R2-125,A198,qc_agreement,runtime safety signal,"p.7, Sec. 6.1; p.9, Sec. 6.2.1; papers/A198.pdf",SeedSmith 的评价以 downstream fuzzer 的 crash counts 和 time-to-crash 为主要比较指标；p.7 明确说明 RQ1 比较 crash counts/time-to-crash，p.9 报告 23 个 Magma bugs 中触发的 crash 数量及 ARVO 上的触发数量。主要结果是运行时崩溃信号，而不是把论文中的种子生成流程本身当作逐项 PoC 公开材料。,high,no,OY,2026-08-24,OY,2026-08-24,reproducible validation,False
