field,label,n_jointly_included,first_positive,second_positive,raw_agreement,cohen_kappa
lifecycle,candidate analysis,132,102,122,0.818182,0.323077
lifecycle,execution observation,132,101,98,0.886364,0.694067
lifecycle,patch validation,132,34,32,0.924242,0.798042
lifecycle,path and input exploration,132,70,87,0.840909,0.675562
lifecycle,reporting and audit,132,54,95,0.628788,0.312500
lifecycle,reproduction and validation,132,60,51,0.674242,0.334740
capability,context aggregation / rule extraction,132,113,130,0.871212,0.167656
capability,failure reuse / strategy update,132,79,56,0.765152,0.543914
capability,feedback interpretation / loop adjustment,132,128,119,0.916667,0.321495
capability,governance / human gates / disclosure control,132,14,22,0.878788,0.489362
capability,long-horizon state management,132,95,76,0.795455,0.561731
capability,tool routing / strategy routing,132,106,113,0.871212,0.546850
capability,validation organization / evidence packaging,132,92,120,0.681818,0.060976
