matrix_id,system,principal_reported_evidence_output,public_implementation_located,environment_or_build_instructions,trigger_replay_poc_pov_artifact,execution_trace_or_log,patch_artifact,source_location,evidence_note,audit_scope
C01,UniFuzz,runtime safety signal,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).",论文称提供open-source implementation；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C02,ReForge,reproducible validation,located,located,located,not located,not located,"Reviewed full text, p. 1",https://github.com/Sohan245/ReForge.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C03,Multi-Agent Collaborative Smart Contract Fuzzing,runtime safety signal,located,not located,not located,located,not located,"Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion).",public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C04,FuzzingBrain,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",论文给出GitHub仓库：github.com/o2lab/afc-crs-all-you-need-is-a-fuzzing-brain；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C05,Mut4All,runtime safety signal,located,not located,not located,not located,not located,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",论文给出artifact：https://github.com/sososopy/Mut4All-Artifacts；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C06,LLAMA,runtime safety signal,located,not located,not located,not located,not located,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).",public metadata status recorded; 全文未在摘录中看到明确公开artifact声明。,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C07,ProtocolGuard,reproducible validation,located,not located,located,not located,not located,"Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix).",论文给出Zenodo和GitHub：https://github.com/songxpu/ProtocolGuard；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C08,BSFuzzer,candidate judgment,located,not located,not located,not located,not located,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",论文声明公开：BSFuzzer is publicly available at GitHub；specific URL not assigned in public metadata; public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C09,RFCAUDIT,candidate judgment,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).",论文给出artifact：https://github.com/zmw12306/RFCAudit；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C10,VulAgent,candidate judgment,located,not located,not located,not located,not located,"Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).",public metadata status recorded; 当前全文未确认artifact链接。,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
