record_id,citation_key,title,material_type,primary_synthesis_role,secondary_synthesis_roles,rq_contribution,manuscript_section_use,extracted_contribution,reason_not_study_level_coded,public_material_basis,reviewer_note
FMS0048,FMS0048,A Preliminary Study on Using Large Language Models in Software Pentesting,preprint,mechanism_context,evaluation_agenda,RQ2_context;evaluation_agenda,"Sections 2, 4, 5, and 7 as applicable","A Preliminary Study on Using Large Language Models in Software Pentesting: Large language models (LLM) are perceived to offer promising potentials for automating security tasks, such as those found in security operation centers (SOCs).","The study contributes an adjacent mechanism, benchmark, evaluation, or one-way LLM-assisted analysis, but does not establish the observable Agentic workflow control required for study-level coding.",https://arxiv.org/abs/2401.17459,Full-text record-level thematic extraction; retained for contextual synthesis and not prevalence estimation.
FMS0049,FMS0049,A Prompt-Based Framework for Loop Vulnerability Detection Using Local LLMs,preprint,lower_level_primitive,evaluation_agenda,RQ1;RQ2_context,"Sections 2, 4, 5, and 7 as applicable",A Prompt-Based Framework for Loop Vulnerability Detection Using Local LLMs: Loop vulnerabilities are one major risky construct in software development.,The contribution is prompt-based vulnerability detection; the reviewed workflow does not show an LLM decision changing a later security-tool or execution action.,https://arxiv.org/abs/2601.15352,Full-text record-level thematic extraction; retained for contextual synthesis and not prevalence estimation.
FMS0143,FMS0143,Agentic AI for Autonomous Defense in Software Supply Chain Security: Beyond Provenance to Vulnerability Mitigation,preprint,mechanism_context,evaluation_agenda,RQ2_context;evaluation_agenda,"Sections 2, 4, 5, and 7 as applicable","Agentic AI for Autonomous Defense in Software Supply Chain Security: Beyond Provenance to Vulnerability Mitigation: The software supply chain attacks are becoming more and more focused on trusted development and delivery procedures, so the conventional post-build integrity mechanisms cannot be used anymore.","The study contributes an adjacent mechanism, benchmark, evaluation, or one-way LLM-assisted analysis, but does not establish the observable Agentic workflow control required for study-level coding.",https://arxiv.org/abs/2512.23480,Full-text record-level thematic extraction; retained for contextual synthesis and not prevalence estimation.
FMS0205,FMS0205,Antaeus: Hunting Repository-Level Logic Vulnerabilities via Context-Grounded LLM Reasoning,preprint,mechanism_context,evaluation_agenda,RQ2_context;evaluation_agenda,"Sections 2, 4, 5, and 7 as applicable",Antaeus: Hunting Repository-Level Logic Vulnerabilities via Context-Grounded LLM Reasoning: LLM-based vulnerability detectors have shown promising results in identifying memory-safety bugs and vulnerability classes whose violations can often be expressed through established security properties.,"Repository-scale prioritization and comparative validation are relevant, but the available description does not establish adaptive tool or execution control by the LLM.",https://arxiv.org/abs/2607.01138,Full-text record-level thematic extraction; retained for contextual synthesis and not prevalence estimation.
FMS0209,FMS0209,APPATCH: Automated Adaptive Prompting Large Language Models for Real-World Software Vulnerability Patching,preprint,adjacent_validation_repair,evaluation_agenda,RQ2_context;evaluation_agenda,"Sections 2, 4, 5, and 7 as applicable","APPATCH: Automated Adaptive Prompting Large Language Models for Real-World Software Vulnerability Patching: Timely and effective vulnerability patching is essential for cybersecurity defense, for which various approaches have been proposed yet still struggle to generate valid and correct patches for real-world vulnerabilities.","APPATCH stages semantic slicing, exemplar selection, patch generation, and ensemble LLM validation, but follows a fixed orchestration without execution feedback changing a later tool-mediated action.",https://arxiv.org/abs/2408.13597,Full-text record-level thematic extraction; retained for contextual synthesis and not prevalence estimation.
FMS0233,FMS0233,Assertain: Automated Security Assertion Generation Using Large Language Models,preprint,mechanism_context,evaluation_agenda,RQ2_context;evaluation_agenda,"Sections 2, 4, 5, and 7 as applicable",Assertain: Automated Security Assertion Generation Using Large Language Models: The increasing complexity of modern system-on-chip designs amplifies hardware security risks and makes manual security property specification a major bottleneck in formal property verification.,"Assertain iterates LLM generation and self-reflection over RTL context, but the evaluated workflow does not feed formal-tool execution results back into a later LLM-controlled action.",https://arxiv.org/abs/2604.01583,Full-text record-level thematic extraction; retained for contextual synthesis and not prevalence estimation.
FMS0274,FMS0274,AutoSafeCoder: A Multi-Agent Framework for Securing LLM Code Generation through Static Analysis and Fuzz Testing,preprint,adjacent_fuzzing_testing,evaluation_agenda,RQ1;RQ2_context,"Sections 2, 4, 5, and 7 as applicable",AutoSafeCoder: A Multi-Agent Framework for Securing LLM Code Generation through Static Analysis and Fuzz Testing: Recent advancements in automatic code generation using large language models (LLMs) have brought us closer to fully automated secure software development.,"The study contributes an adjacent mechanism, benchmark, evaluation, or one-way LLM-assisted analysis, but does not establish the observable Agentic workflow control required for study-level coding.",https://arxiv.org/abs/2409.10737,Full-text record-level thematic extraction; retained for contextual synthesis and not prevalence estimation.
FMS0279,FMS0279,AutoVulnPHP: LLM-Powered Two-Stage PHP Vulnerability Detection and Automated Localization,preprint,lower_level_primitive,evaluation_agenda,RQ1;RQ2_context,"Sections 2, 4, 5, and 7 as applicable","AutoVulnPHP: LLM-Powered Two-Stage PHP Vulnerability Detection and Automated Localization: PHP's dominance in web development is undermined by security challenges: static analysis lacks semantic depth, causing high false positives; dynamic analysis is computationally expensive; and automated vulnerability localization suffers from coarse granularity and imprecise context.",The two-stage detector and LLM localization pipeline provides adjacent candidate-analysis evidence but does not establish an Agentic tool-feedback loop.,https://arxiv.org/abs/2601.06177,Full-text record-level thematic extraction; retained for contextual synthesis and not prevalence estimation.
FMS0280,FMS0280,"AVIATOR: Towards AI-Agentic Vulnerability Injection Workflow for High-Fidelity, Large-Scale Code Security Dataset",preprint,evaluation_context,evaluation_agenda,RQ2_context;evaluation_agenda,"Sections 2, 4, 5, and 7 as applicable","AVIATOR: Towards AI-Agentic Vulnerability Injection Workflow for High-Fidelity, Large-Scale Code Security Dataset: The increasing complexity of software systems and the sophistication of cyber-attacks have underscored the need for reliable automated software vulnerability detection.","The study contributes an adjacent mechanism, benchmark, evaluation, or one-way LLM-assisted analysis, but does not establish the observable Agentic workflow control required for study-level coding.",https://arxiv.org/abs/2508.20866,Full-text record-level thematic extraction; retained for contextual synthesis and not prevalence estimation.
FMS0307,FMS0307,Beyond Imprecise Distance Metrics: Trace-Guided Directed Greybox Fuzzing via LLM-Predicted Call Stacks,preprint,adjacent_fuzzing_testing,evaluation_agenda,RQ1;RQ2_context,"Sections 2, 4, 5, and 7 as applicable",Beyond Imprecise Distance Metrics: Trace-Guided Directed Greybox Fuzzing via LLM-Predicted Call Stacks: Directed greybox fuzzing (DGF) aims to efficiently trigger bugs at specific target locations by prioritizing seeds whose execution paths are more likely to reach the targets.,The LLM predicts target call stacks before directed fuzzing; runtime feedback remains inside the fuzzer and does not return to an LLM-controlled decision.,https://arxiv.org/abs/2510.23101,Full-text record-level thematic extraction; retained for contextual synthesis and not prevalence estimation.
