field,label,n,first_coder_count,second_coder_substitution_count,difference
lifecycle,candidate analysis,199,150,184,34
lifecycle,execution observation,199,157,157,0
lifecycle,patch validation,199,46,45,-1
lifecycle,path and input exploration,199,116,142,26
lifecycle,reporting and audit,199,78,152,74
lifecycle,reproduction and validation,199,96,102,6
capability,context aggregation / rule extraction,199,164,190,26
capability,failure reuse / strategy update,199,94,81,-13
capability,feedback interpretation / loop adjustment,199,186,179,-7
capability,governance / human gates / disclosure control,199,18,27,9
capability,long-horizon state management,199,125,103,-22
capability,tool routing / strategy routing,199,150,173,23
capability,validation organization / evidence packaging,199,147,180,33
primary_shape,candidate-analysis system,199,46,41,-5
primary_shape,feedback-driven fuzzing agent,199,34,36,2
primary_shape,long-horizon pentest and CRS agent,199,57,59,2
primary_shape,"reproduction-, validation-, and repair-centered agent",199,62,63,1
principal_evidence,candidate judgment,199,34,35,1
principal_evidence,controlled task completion,199,55,55,0
principal_evidence,externally traceable material,199,6,18,12
principal_evidence,reproducible validation,199,83,78,-5
principal_evidence,runtime safety signal,199,21,13,-8
external_traceability,author-reported external clue,199,33,26,-7
external_traceability,benchmark ground truth / public material,199,140,131,-9
external_traceability,no external trace reported,199,19,23,4
external_traceability,publicly aligned external trace,199,7,19,12
