matrix_id,system,title,target_domain,primary_system_shape,principal_reported_evidence_output,publication_year,source_location,extraction_basis,extraction_scope
C01,UniFuzz,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,smart contract and blockchain,feedback-driven fuzzing agent,runtime safety signal,2025,"Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C02,ReForge,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion).",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C03,Multi-Agent Collaborative Smart Contract Fuzzing,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,smart contract and blockchain,feedback-driven fuzzing agent,runtime safety signal,2025,"Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion).",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C04,FuzzingBrain,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,"repository, package, or source code",long-horizon pentest and CRS agent,reproducible validation,2025,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C05,Mut4All,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,"native binary, compiler, or operating system",feedback-driven fuzzing agent,runtime safety signal,2025,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C06,LLAMA,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,smart contract and blockchain,feedback-driven fuzzing agent,runtime safety signal,2026,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C07,ProtocolGuard,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,protocol and networked service,candidate-analysis system,reproducible validation,2026,"Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix).",Matched target-domain cue using pattern: protocol|\brfc\b|network|routing|dns|tcp|udp|5g|wi-?fi|modbus|mqtt,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C08,BSFuzzer,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,"firmware, embedded, IoT, or OT",feedback-driven fuzzing agent,candidate judgment,2025,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",Matched target-domain cue using pattern: firmware|embedded|internet of things|\biot\b|industrial control|\bics\b|\bot\b|plc|bluetooth|\bble\b|rtos,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C09,RFCAUDIT,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,protocol and networked service,candidate-analysis system,candidate judgment,2025,"Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).",Matched target-domain cue using pattern: protocol|\brfc\b|network|routing|dns|tcp|udp|5g|wi-?fi|modbus|mqtt,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C10,VulAgent,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,mixed or general software targets,candidate-analysis system,candidate judgment,2025,"Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
