category,label,initial_cohort_count,submission_update_cohort_count,combined_harmonized_count,counting_unit,harmonization_status
lifecycle_coverage,candidate analysis,16,32,48,target-software coded studies,author_confirmed
lifecycle_coverage,execution observation,26,30,56,target-software coded studies,author_confirmed
lifecycle_coverage,patch validation,4,8,12,target-software coded studies,author_confirmed
lifecycle_coverage,path and input exploration,20,26,46,target-software coded studies,author_confirmed
lifecycle_coverage,reporting and audit,7,17,24,target-software coded studies,author_confirmed
lifecycle_coverage,reproduction and validation,15,21,36,target-software coded studies,author_confirmed
cross_stage_capability,context aggregation / rule extraction,20,31,51,target-software coded studies,author_confirmed
cross_stage_capability,failure reuse / strategy update,4,11,15,target-software coded studies,author_confirmed
cross_stage_capability,feedback interpretation / loop adjustment,23,35,58,target-software coded studies,author_confirmed
cross_stage_capability,governance / human gates / disclosure control,0,4,4,target-software coded studies,author_confirmed
cross_stage_capability,long-horizon state management,16,14,30,target-software coded studies,author_confirmed
cross_stage_capability,tool routing / strategy routing,17,27,44,target-software coded studies,author_confirmed
cross_stage_capability,validation organization / evidence packaging,20,35,55,target-software coded studies,author_confirmed
primary_system_shape,candidate-analysis system,4,12,16,target-software coded studies,author_confirmed
primary_system_shape,feedback-driven fuzzing agent,9,8,17,target-software coded studies,author_confirmed
primary_system_shape,long-horizon pentest and CRS agent,9,5,14,target-software coded studies,author_confirmed
primary_system_shape,"reproduction-, validation-, and repair-centered agent",8,12,20,target-software coded studies,author_confirmed
strongest_evidence_output,candidate judgment,3,3,6,target-software coded studies,author_confirmed
strongest_evidence_output,controlled task completion,5,8,13,target-software coded studies,author_confirmed
strongest_evidence_output,externally traceable material,0,4,4,target-software coded studies,author_confirmed
strongest_evidence_output,reproducible validation,14,17,31,target-software coded studies,author_confirmed
strongest_evidence_output,runtime safety signal,8,5,13,target-software coded studies,author_confirmed
governance_boundary,governance boundary case,1,0,1,governance boundary records,author_confirmed
