product_or_system,vendor,snapshot_date,model_or_version,public_capabilities,security_workflow,public_evidence_type,source_url,publication_or_update_date,access_date,manuscript_role,core_eligibility,evidence_caveat,external_traceability,update_required,notes
Codex,OpenAI,2026-06-13,Codex product page; Codex Models page lists gpt-5.5 as the recommended current model,"Repository understanding, multi-file code edits, command execution, tests, code review, background/parallel work, skills, automations, worktrees and cloud environments",General software-engineering agent workflow; can serve as execution substrate for security review when paired with security tools and governance,Official product page; official model documentation,https://openai.com/codex/,Product page has no explicit date; Codex Models page accessed 2026-06-13,2026-06-13,Background,Not Core; product page and model docs only,Vendor product material is not independent vulnerability-mining evidence,Official OpenAI pages; no independent reproduction implied,yes,Local Zotero search returned no matching item. Related model page: https://developers.openai.com/codex/models.
Codex Models,OpenAI,2026-06-13,"gpt-5.5, gpt-5.4, gpt-5.4-mini, gpt-5.3-codex-spark; gpt-5.2 and gpt-5.3-codex marked deprecated for ChatGPT sign-in",Model selection and default-model guidance for Codex coding workflows,Background model/version context for Codex-based agent workflows,Official developer documentation,https://developers.openai.com/codex/models,No explicit page date,2026-06-13,Background,Not Core; model documentation only,Model availability and defaults may change; not evidence of vulnerability-discovery performance,Official OpenAI documentation only,yes,Recorded because product function and default model are time-sensitive.
Codex Security,OpenAI,2026-06-13,Research preview; model not specified on help page,"Identify, validate, and remediate code vulnerabilities; repository-specific threat model; sandbox validation; patch suggestions; human review and PR workflow","Closed-loop repository security workflow: scan repository, discover vulnerabilities, validate in sandbox, generate patch, human review, revalidate after remediation",Official Help Center article; official developer documentation,https://help.openai.com/en/articles/20001107-codex-security,Updated 2026-05-28 by relative page timestamp on access date,2026-06-13,Emerging boundary case,Not Core in this manuscript version; product documentation lacks independent study artifact,Vendor research-preview documentation cannot be treated as independent reproduction or external confirmation,Official OpenAI page; findings would require separate issue/advisory/CVE/maintainer trace to strengthen claims,yes,Local Zotero search returned no matching item; existing BibTeX key openai2026codexSecurity retained.
Codex Security plugin,OpenAI,2026-06-13,Installable Codex plugin; model depends on Codex configuration,"Authorized repository scan, deep scan, diff scan, finding validation, attack-path analysis, Markdown/HTML reports, bounded fix-finding workflow","Plugin workflow for security scan, deep scan, security diff scan, and fix-finding within a Codex thread",Official developer documentation,https://developers.openai.com/codex/security/plugin,No explicit page date,2026-06-13,Supporting,Not Core; workflow documentation only,Workflow capability descriptions are not empirical evaluation results,Official OpenAI docs; outputs must be inspected per target version and evidence package,yes,"Security use cases also checked: deep scan, diff scan, and vulnerability backlog remediation pages."
Codex Security FAQ,OpenAI,2026-06-13,Research preview; model not specified,"Structured ranked findings, proposed patches, sandbox command/test evidence, crash output or reproduction evidence when available","FAQ describes analysis pipeline, validation, patching, and output fields",Official developer FAQ,https://developers.openai.com/codex/security/faq,No explicit page date,2026-06-13,Supporting,Not Core; FAQ only,FAQ language should be cited as vendor documentation rather than independent benchmark evidence,Official OpenAI documentation only,yes,Useful for evidence-object vocabulary but not counted in Core.
Codex Security use cases,OpenAI,2026-06-13,Codex Security plugin workflows,"Deep repository scans, security diff scans, and one-finding remediation with regression evidence",Official use-case pages for authorized security workflows,Official developer use-case documentation,https://developers.openai.com/codex/use-cases/deep-security-scan,No explicit page date,2026-06-13,Supporting,Not Core; use-case documentation only,"Starter prompts are workflow examples, not system evaluation results",Official OpenAI documentation only,yes,Related pages checked: scan-code-changes-for-security and remediate-vulnerability-backlog.
OpenAI Cyber Safety for Codex,OpenAI,2026-06-13,Codex Cyber Safety page discusses GPT-5.3-Codex as high cybersecurity capability and trusted access controls,"Cyber-safety routing, classifier-based monitoring, trusted access for legitimate cyber work",Safety/governance boundary for cyber-capable coding models,Official developer documentation,https://developers.openai.com/codex/concepts/cyber-safety,No explicit page date,2026-06-13,Background,Not Core; safety policy/documentation only,Policy material is not vulnerability-mining performance evidence,Official OpenAI documentation only,yes,Recorded to support governance and dual-use boundary discussion.
Codex for Open Source / Codex OSS,OpenAI,2026-06-13,Open-source components of Codex; selective Codex Security access for eligible OSS maintainers,Open-source Codex components and issue-reporting channels; OSS program can include Codex Security access,Product ecosystem and public maintenance channel,Official developer documentation,https://developers.openai.com/codex/open-source,No explicit page date,2026-06-13,Supporting,Not Core; program and repository documentation only,OSS access/program material is not an evaluated vulnerability-mining system,Official OpenAI docs and linked GitHub repositories,yes,No public vulnerability disclosure page from OpenAI was added as independent evidence in this pass.
Claude Code,Anthropic,2026-06-13,"Product page lists Fable 5, Opus 4.8, Sonnet 4.6, and Haiku 4.5; docs describe multi-surface Claude Code","Reads codebases, edits files, runs commands, tests, creates commits/PRs, integrates with terminal, IDE, desktop, web, Slack, CI/CD, MCP, plugins and skills",General coding-agent workflow that can host security review tasks with permissions and governance,Official product page; official docs,https://claude.com/product/claude-code,Product page has no explicit date,2026-06-13,Background,Not Core; product documentation only,General coding capability is not independent vulnerability-mining evidence,Official Anthropic/Claude pages only,yes,Local Zotero search returned no matching item. Docs overview: https://code.claude.com/docs/en/overview.
Claude Code security controls,Anthropic,2026-06-13,Claude Code security architecture; model not specified,"Read-only defaults, permission prompts, sandboxed bash, write-scope restrictions, prompt-injection safeguards, network approval and cloud execution controls",Operational containment and approval model for coding-agent deployment,Official Claude Code security documentation,https://code.claude.com/docs/en/security,No explicit page date,2026-06-15,Supporting,Not Core; security controls documentation only,"Controls describe deployment safeguards, not vulnerability-discovery outcomes",Official Anthropic documentation only,yes,Current official entry rechecked on 2026-06-15; docs.anthropic.com/en/docs/claude-code/security redirects to this URL. Existing BibTeX key anthropic2026claudeCodeSecurity retained.
