matrix_id,study_title,principal_reported_evidence_output,review_decision,included_in_table_10,reason,local_evidence_locator
C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,reproducible validation,included,yes,The paper states that the public ReForge repository contains example crash inputs and corresponding exploit-generation and analysis outputs; these are system-produced examples tied to the evaluated crash-to-exploit workflow.,"Canonical local material A177.txt, p. 1, Artifacts and Reproducibility."
C07,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,reproducible validation,excluded,no,"The paper reports generated PoC-oriented test cases and public implementation material, but the reviewed local material does not locate a specific public system-generated replay or PoC file.","Canonical local material A147.txt, p. 1."
C21,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,candidate judgment,excluded,no,"The paper reports directly executed PoCs and lists public implementation links, but the local material does not identify a public, system-generated replay/PoC artifact for a specific evaluated finding.","Canonical local material A081.txt, p. 1 and footnote 1."
C25,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,reproducible validation,excluded,no,"SEC-bench releases benchmark instances and evaluator material. Those inputs are task background, not artifacts generated by an evaluated system.","Canonical local material A032.pdf, benchmark and release description."
C28,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,runtime safety signal,excluded,no,"The paper reports fuzzer-reproducible PoCs, but the reviewed local material does not locate a public system-generated replay/PoC artifact; a public paper page alone is insufficient.","Canonical local material A176.pdf, evaluation and artifact statements."
FMS0239,"ATLANTIS: AI-driven Threat Localization, Analysis, and Triage Intelligence System",reproducible validation,excluded,no,"The recorded GitHub URL is truncated and the local technical report describes AIxCC task submissions. It does not locate a public, item-level system-generated replay artifact for this audit.","Canonical local material A191.pdf, pp. 3--6."
FMS0270,AutoPentest: Enhancing Vulnerability Management With Autonomous LLM Agents,controlled task completion,excluded,no,"The public repository supports an autonomous pentesting framework, but the reported endpoint is controlled task completion and no public system-generated replay artifact is located.",Canonical local material A086.pdf.
FMS0281,AWE: Adaptive Agents for Dynamic Web Penetration Testing,controlled task completion,excluded,no,The repository supports the evaluated web-pentesting framework; no public system-generated replay artifact is identified apart from task material.,Canonical local material A001.pdf.
FMS0288,Baselines Before Architecture: Evaluating Coding Agents for Autonomous Penetration Testing,controlled task completion,excluded,no,"The linked validation-benchmarks repository supplies evaluation tasks. It is benchmark input, not a system-produced trigger or replay.",Canonical local material A022.pdf.
FMS0376,CHAINTRIX: A multi-pipeline LLM-augmented framework for automated smart-contract security auditing,candidate judgment,excluded,no,"The linked framework supports candidate auditing and selective checking, but no public system-generated replay package is located for the reported findings.",Canonical local material A103.pdf.
FMS0494,CyberChainBench: Can AI Agents Secure Smart Contracts Against Real-World On-Chain Vulnerabilities?,reproducible validation,excluded,no,CyberChainBench publishes historical-fork benchmark tasks and fail-to-pass oracles. They are task background rather than newly generated public triggers.,Canonical local material A078.pdf.
FMS1095,PoCEvolve: Generating Proof-of-Concept Exploits from Security Patches with Vulnerability-Aware Prompt Evolution,reproducible validation,excluded,no,"PoCEvolve evaluates generated PoCs on SecBench.VFC.js, but the reviewed local material does not locate a released per-instance output set rather than benchmark inputs and source code.","Canonical local material A141.pdf, pp. 1--2."
FMS1098,PoCo: Agentic Proof-of-Concept Exploit Generation for Smart Contracts,reproducible validation,excluded,no,"PoCo reports executable PoC generation for supplied smart-contract audit reports, but the reviewed local material does not locate a released per-instance generated-output set.",Canonical local material A112.pdf.
FMS1239,SEC-bench Pro: Can Language Models Solve Long-Horizon Software Security Tasks?,reproducible validation,excluded,no,"SEC-bench Pro publishes versioned task instances and dynamic evaluators; these are benchmark inputs, not system-generated public replay artifacts.",Canonical local material A100.pdf.
