left_id,left_title,left_proposed_layer,left_screening_recommendation,right_id,right_title,right_layer,right_screening_recommendation,match_basis,title_similarity,manual_decision,decision_note,audit_decision,audit_basis,decision_provenance
FMS0004,A Case Study of LLM for Automated Vulnerability Repair: Assessing Impact of Reasoning and Patch Validation Feedback,,retain_existing_match,CP165,A Case Study of LLM for Automated Vulnerability Repair: Assessing Impact of Reasoning and Patch Validation Feedback,background_reference,existing_corpus,doi;normalized_title;title_similarity,1.000000,pending,,same_study_or_version,"exact match to the existing study by DOI, arXiv identifier, or normalized title",identifier and metadata audit; author confirmation pending
FMS0015,A Contemporary Survey of Large Language Model Assisted Program Analysis,,retain_existing_match,CP121,A Contemporary Survey of Large Language Model Assisted Program Analysis,background_reference,existing_corpus,arxiv;normalized_title;title_similarity,1.000000,pending,,same_study_or_version,"exact match to the existing study by DOI, arXiv identifier, or normalized title",identifier and metadata audit; author confirmation pending
FMS0021,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,,retain_existing_match,CP250,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,study_level_coded,existing_corpus,arxiv;normalized_title;title_similarity,1.000000,pending,,same_study_or_version,"exact match to the existing study by DOI, arXiv identifier, or normalized title",identifier and metadata audit; author confirmation pending
FMS0022,A dual perspective review on large language models and code verification,,retain_existing_match,CP010,A dual perspective review on large language models and code verification,background_reference,existing_corpus,doi;normalized_title;title_similarity,1.000000,pending,,same_study_or_version,"exact match to the existing study by DOI, arXiv identifier, or normalized title",identifier and metadata audit; author confirmation pending
FMS0129,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,,retain_existing_match,CP142,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,background_reference,existing_corpus,arxiv;normalized_title;title_similarity,1.000000,pending,,same_study_or_version,"exact match to the existing study by DOI, arXiv identifier, or normalized title",identifier and metadata audit; author confirmation pending
FMS0149,Agentic Fuzzing: Opportunities and Challenges,,retain_existing_match,CP226,Agentic Fuzzing: Opportunities and Challenges,study_level_coded,existing_corpus,arxiv;normalized_title;title_similarity,1.000000,pending,,same_study_or_version,"exact match to the existing study by DOI, arXiv identifier, or normalized title",identifier and metadata audit; author confirmation pending
FMS0156,AgenticVM: Agentic AI for Adaptive Software Vulnerability Management,,retain_existing_match,CP232,AgenticVM: Agentic AI for Adaptive Software Vulnerability Management,extended_synthesis,existing_corpus,arxiv;normalized_title;title_similarity,1.000000,pending,,same_study_or_version,"exact match to the existing study by DOI, arXiv identifier, or normalized title",identifier and metadata audit; author confirmation pending
FMS0178,All You Need Is A Fuzzing Brain: An LLM-Powered System for Automated Vulnerability Detection and Patching,,retain_existing_match,CP061,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,study_level_coded,existing_corpus,arxiv;normalized_title;title_similarity,1.000000,pending,,same_study_or_version,"exact match to the existing study by DOI, arXiv identifier, or normalized title",identifier and metadata audit; author confirmation pending
FMS0185,"An Empirical Evaluation of LLM-Based Approaches for Code Vulnerability Detection: RAG, SFT, and Dual-Agent Systems",,retain_existing_match,CP018,"An empirical evaluation of LLM-based approaches for code vulnerability detection: RAG, SFT, and dual-agent systems",extended_synthesis,existing_corpus,doi;normalized_title;title_similarity,1.000000,pending,,same_study_or_version,"exact match to the existing study by DOI, arXiv identifier, or normalized title",identifier and metadata audit; author confirmation pending
FMS0208,APIOT: Autonomous Vulnerability Management Across Bare-Metal Industrial OT Networks,,retain_existing_match,CP230,APIOT: Autonomous Vulnerability Management Across Bare-Metal Industrial OT Networks,study_level_coded,existing_corpus,arxiv;normalized_title;title_similarity,1.000000,pending,,same_study_or_version,"exact match to the existing study by DOI, arXiv identifier, or normalized title",identifier and metadata audit; author confirmation pending
