cohort,record_id,title,first_lifecycle,second_lifecycle,first_capability,second_capability,first_primary_shape,second_primary_shape,first_principal_evidence,second_principal_evidence,first_external_traceability,second_external_traceability
released_67,C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,runtime safety signal,no external trace reported,no external trace reported
released_67,C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,execution observation;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,no external trace reported,benchmark ground truth / public material
released_67,C03,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration,long-horizon state management,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,runtime safety signal,no external trace reported,no external trace reported
released_67,C04,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,reproducible validation,reproducible validation,no external trace reported,no external trace reported
released_67,C05,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,execution observation;path and input exploration,execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,externally traceable material,no external trace reported,publicly aligned external trace
released_67,C06,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,execution observation;path and input exploration,execution observation;path and input exploration,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,runtime safety signal,no external trace reported,no external trace reported
released_67,C07,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,candidate-analysis system,candidate-analysis system,reproducible validation,reproducible validation,author-reported external clue,author-reported external clue
released_67,C08,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,reproducible validation,author-reported external clue,author-reported external clue
released_67,C09,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,candidate analysis,candidate analysis;reporting and audit,context aggregation / rule extraction;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,author-reported external clue,author-reported external clue
released_67,C10,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,candidate analysis,candidate analysis;reporting and audit,context aggregation / rule extraction;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,no external trace reported,benchmark ground truth / public material
released_67,C11,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,externally traceable material,author-reported external clue,publicly aligned external trace
released_67,C12,NeTestLLM: automated network protocol testing with LLM agents,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,feedback-driven fuzzing agent,long-horizon pentest and CRS agent,runtime safety signal,controlled task completion,no external trace reported,benchmark ground truth / public material
released_67,C13,PBFuzz: agentic directed fuzzing for PoV generation,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,no external trace reported,benchmark ground truth / public material
released_67,C14,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,no external trace reported,benchmark ground truth / public material
released_67,C15,What makes a good LLM agent for real-world penetration testing?,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,no external trace reported,benchmark ground truth / public material
released_67,C16,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,no external trace reported,author-reported external clue
