record_id,title,year,source_bucket,source_name,source_type,venue_or_source,doi_or_url,corpus_layer,task_category,screening_decision,deduplication_status,source_trace_note
CP001,Leveraging intra- and inter-references in vulnerability detection using multi-agent collaboration based on LLMs,2025,springer,SpringerLink,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1007/s10586-025-05721-2,Supporting,Discovery,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP002,Addressing data leakage and imbalance for robust fine-tuning of pre-trained code language models in program repair and vulnerability detection,2025,zotero,Local Zotero / seed / snowball metadata,thesis,Zotero/FuLei518/project merged candidate,https://www.proquest.com/openview/7dfbd6a7d0eed2abea90a8ce491b8286/1?pq-origsite=gscholar&cbl=18750&diss=y,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP003,ParaVul: a parallel large language model and retrieval-augmented framework for smart contract vulnerability detection,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2510.17919,Supporting,Discovery,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP004,CQLLM: A Framework for Generating CodeQL Security Vulnerability Detection Code Based on Large Language Model,2026-01-04,zotero,Local Zotero / seed / snowball metadata,journalArticle,Zotero/FuLei518/project merged candidate,https://www.mdpi.com/2076-3417/16/1/517,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP005,LLM assisted dual-view awareness framework for smart contract vulnerability detection,2025-10-21,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3503-9302-6,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP006,Solidity meets LLMs: a transformer-based approach to smart contract vulnerability detection,2025,zotero,Local Zotero / seed / snowball metadata,bookSection,Zotero/FuLei518/project merged candidate,urn:isbn:978-3-032-15631-0%20978-3-032-15632-7,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP007,Statistical Implausibility Detection: A Framework for Identifying Evaluation Inconsistencies in Large Language Model Security Assessment,2025-10-22,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6501-5,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP008,FLAMES: fine-tuning LLMs to synthesize invariants for smart contract security,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2510.21401,Background,Remediation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP009,LocVul: line-level vulnerability localization based on a sequence-to-sequence approach,2026,sciencedirect,ScienceDirect / Elsevier,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/pii/S0950584925002794,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP010,A dual perspective review on large language models and code verification,2025,zotero,Local Zotero / seed / snowball metadata,journalArticle,Zotero/FuLei518/project merged candidate,https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2025.1655469/full,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
