review_order,matrix_id,record_id,system_alias,title,year,publication_status,review_scope,official_url,materials_to_review,final_lifecycle_coverage,lifecycle_review_status,final_cross_stage_capabilities,capability_review_status,final_primary_system_shape,shape_review_status,final_strongest_evidence_output,evidence_review_status,final_external_traceability,traceability_review_status,final_claim_boundary,claim_boundary_review_status,material_checked,decision_note,uncertainty_note,row_status
1,C01,CP014,UniFuzz,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,2025,conference,target-software study,urn:isbn:979-8-3315-6687-6,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reporting and audit,newly_code,feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,feedback-driven fuzzing agent,newly_code,runtime safety signal,confirm,no external trace reported,confirm,"The paper supports audit-informed seed generation, EVM execution, coverage measurement, oracle-based vulnerability signals, and a generated detection report on the evaluated smart-contract datasets. A stronger reproducible or externally confirmed claim would require item-level replay artifacts and a public finding-to-record alignment.",newly_code,"Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).",UniFuzz: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,complete
2,C02,CP015,ReForge,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,2025,conference,target-software study,urn:isbn:979-8-3315-5397-5,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,"reproduction-, validation-, and repair-centered agent",newly_code,reproducible validation,confirm,benchmark ground truth / public material,revise,"The paper supports converting AFL++ crash inputs into Python PoCs that are executed against the evaluated vulnerable binaries, including a public-CVE target and custom programs. It does not establish that ReForge independently discovered or publicly disclosed a new vulnerability.",newly_code,"Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion).","ReForge: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
3,C03,CP025,Multi-Agent Collaborative Smart Contract Fuzzing,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,2025,journal,target-software study,https://arxiv.org/abs/2511.12164,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management;failure reuse / strategy update,revise,feedback-driven fuzzing agent,newly_code,runtime safety signal,confirm,no external trace reported,confirm,"The paper supports multi-agent generation and refinement of transaction sequences using EVM runtime errors, execution traces, coverage, and vulnerability-oracle feedback on the evaluated contracts. It does not provide a public replay package or item-level external confirmation for the reported signals.",newly_code,"Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion).",Multi-Agent Collaborative Smart Contract Fuzzing: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,complete
4,C04,CP061,FuzzingBrain,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,2025,preprint,target-software study,https://arxiv.org/abs/2509.07225,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,revise,long-horizon pentest and CRS agent,newly_code,reproducible validation,confirm,no external trace reported,confirm,The public paper and repository support an AIxCC CRS that generates PoVs and patches and validates them through competition-style workflows on the evaluated C/C++ and Java targets. Aggregate zero-day and patch counts are not publicly aligned item by item with external vulnerability records in the reviewed material.,newly_code,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",FuzzingBrain: observable workflow supports long-horizon pentest and CRS agent; strongest output is reproducible validation; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,complete
5,C05,CP066,Mut4All,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,2025,journal,target-software study,https://arxiv.org/abs/2507.19275,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,revise,feedback-driven fuzzing agent,newly_code,externally traceable material,revise,publicly aligned external trace,revise,"The paper supports LLM-synthesized compiler mutators producing reproducible failures and maps specific system findings to public Rust, LLVM, and GCC issue records, including maintainer-confirmed bugs. The externally traceable claim is limited to the individually mapped issues rather than every raw crash.",newly_code,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",Mut4All: observable workflow supports feedback-driven fuzzing agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,complete
6,C06,CP068,LLAMA,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,2026,journal,target-software study,https://doi.org/10.1109/TIFS.2026.3666859,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,path and input exploration;execution observation,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;failure reuse / strategy update,revise,feedback-driven fuzzing agent,newly_code,runtime safety signal,confirm,no external trace reported,confirm,"The paper supports context-aware seed generation, multi-feedback scheduling, stagnation-triggered reseeding, selective symbolic execution, and oracle-based vulnerability signals on smart-contract benchmarks. It does not provide replay artifacts or public item-level external confirmation for those signals.",newly_code,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).",LLAMA: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,complete
7,C07,CP071,ProtocolGuard,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,2026,preprint,target-software study,https://doi.org/10.14722/ndss.2026.240521,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,revise,candidate-analysis system,newly_code,reproducible validation,confirm,author-reported external clue,confirm,"The paper supports RFC-rule extraction, static inconsistency candidates, assertion-backed dynamic verification, and PoC-oriented confirmation for reported protocol non-compliance bugs. Vendor confirmations and CVE counts are reported, but the reviewed public material does not align every system result to a specific public external record.",newly_code,"Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix).","ProtocolGuard: observable workflow supports candidate-analysis system; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: candidate-analysis is primary because rule extraction, slicing, and inconsistency localization organize the contribution; dynamic verification is the downstream confirmation stage rather than the primary system role.",,complete
8,C08,CP072,BSFuzzer,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,2025,preprint,target-software study,https://doi.org/10.14722/ndss.2026.240094,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,revise,feedback-driven fuzzing agent,newly_code,reproducible validation,revise,author-reported external clue,confirm,"The paper supports specification-derived semantic mutations, execution on real BLE implementations, and direct condition tests for PoC confirmation of reported issues. CVE assignments and bounty outcomes are reported, but the public appendix does not provide complete item-level alignment to external records.",newly_code,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",BSFuzzer: observable workflow supports feedback-driven fuzzing agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,complete
9,C09,CP102,RFCAUDIT,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,2025,conference,target-software study,https://ieeexplore.ieee.org/abstract/document/11334718,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing,confirm,candidate-analysis system,newly_code,candidate judgment,confirm,author-reported external clue,revise,"The paper supports retrieval-guided RFC-to-code inconsistency judgments and structured bug reports across six protocol implementations. Developer confirmations and merged or approved patches are reported in aggregate, but the paper does not publicly align each RFCAudit output to a specific external issue or PR.",newly_code,"Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).",RFCAUDIT: observable workflow supports candidate-analysis system; strongest output is candidate judgment; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,complete
10,C10,CP075,VulAgent,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,2025,preprint,target-software study,https://arxiv.org/abs/2509.11523,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,confirm,candidate-analysis system,newly_code,candidate judgment,confirm,benchmark ground truth / public material,revise,"The paper supports multi-view candidate localization, structured hypothesis construction, trigger-path reasoning, and vulnerability judgments on vulnerable/fixed benchmark pairs. It does not execute generated triggers or establish public external confirmation of newly discovered vulnerabilities.",newly_code,"Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).",VulAgent: observable workflow supports candidate-analysis system; strongest output is candidate judgment; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
11,C11,CP076,MALF,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,2025,preprint,target-software study,https://arxiv.org/abs/2510.02694,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management,revise,feedback-driven fuzzing agent,newly_code,externally traceable material,revise,publicly aligned external trace,revise,The paper supports multi-agent protocol fuzzing with anomaly triage and maps a specific newly found PLC denial-of-service result to CNVD-2024-16009. Stronger claims about the other zero-days would require equally specific public external records and replay alignment.,newly_code,"Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13).",MALF: observable workflow supports feedback-driven fuzzing agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,complete
12,C12,CP077,NeTestLLM,NeTestLLM: automated network protocol testing with LLM agents,2025,preprint,target-software study,https://arxiv.org/abs/2510.13248,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,revise,long-horizon pentest and CRS agent,newly_code,controlled task completion,confirm,benchmark ground truth / public material,revise,"The paper supports an end-to-end multi-agent protocol-testing workflow that converts specifications into executable tester scripts, analyzes runtime logs, and covers historical FRRouting bugs under the evaluated conditions. It does not establish independent discovery and public external confirmation of new vulnerabilities.",newly_code,"Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study).","NeTestLLM: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: long-horizon pentest and CRS is primary because the central evaluated contribution is coordination from specification understanding through test generation, executable artifacts, runtime-log analysis, and corrective loops.",,complete
13,C13,CP078,PBFuzz,PBFuzz: agentic directed fuzzing for PoV generation,2025,preprint,target-software study,https://arxiv.org/abs/2512.04611,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,revise,"reproduction-, validation-, and repair-centered agent",newly_code,reproducible validation,confirm,benchmark ground truth / public material,revise,"The paper supports iterative code reasoning, debugger-grounded refinement, and PoV inputs that trigger vulnerabilities in the Magma and additional evaluated benchmark targets. The results reproduce known ground-truth cases and do not establish independent external vulnerability disclosures.",newly_code,"Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion).","PBFuzz: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
14,C14,CP080,Co-RedTeam,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,2025,preprint,target-software study,https://arxiv.org/abs/2602.02164,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,revise,long-horizon pentest and CRS agent,newly_code,controlled task completion,confirm,benchmark ground truth / public material,revise,"The study supports execution-grounded, memory-assisted multi-agent discovery and exploitation with improved success on Cybench, BountyBench, and CyberGym. Those bounded benchmark completions do not establish independently disclosed real-world vulnerabilities.",newly_code,"Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion).",Co-RedTeam: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
