disagreement_id,record_id,cohort,title,field,field_type,coder_x_label,coder_y_label,evidence_status,evidence_location_lead,evidence_excerpt_lead,evidence_summary,codebook_rule,human_final_label,brief_reason,evidence_location_verified,unresolved,reviewer_initials,review_date,row_status,task_id,case_id,third_party_task_id,third_party_case_id,third_party_row_type,third_party_study_title,third_party_material_path,third_party_material_sha256,third_party_final_label,third_party_verified_evidence_locator,third_party_brief_reason,third_party_confidence,third_party_unresolved,third_party_reviewer_initials,third_party_review_date,third_party_original_final_label,decision_provenance
C26__primary_shape,C26,released_67,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,primary system shape,single-label,long-horizon pentest and CRS agent,"reproduction-, validation-, and repair-centered agent",source-linked lead,"https://www.cybergym.io/ | Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis). | excerpt pages 2, 6","[p.2] Target Vulnerability Description Target Vulnerability Reproduced Pre-Patch Executable Post-Patch Executable 0-day Vulnerability Latest Executable Codebase (Pre-Patch) src/ tests/ Makeﬁle doc/ Incomplete Patch Post-Patch Executable Evaluating Agent-Generated PoCs Benchmarking Security Impact Figure 1: CyberGym includes 1,507 instances from real-world vulnerabilities across 188 diverse projects. [p.6] Table 3 shows key statistics of CyberGym: (i) the vulnerability descriptions contain sufficient information for reproduction but have varied granularity, with a median length of 24 words, while a few reach up to 158 words; (ii) the ground truth PoCs exhibit significant size variation, ranging from several bytes to over 1 MB, reflecting the diversity of input formats and attack vectors across different executable types; (iii) the codebases are substantial, with a median of 1,117 files and 387,491 lines of code, spanning from tens of thousands to millions of lines of code across projects; (iv) patches demonstrate considerable variability in scope and complexity, typically consisting of small s",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Choose the dominant locus and objective of agent control in the main evaluated contribution. Use the evaluation task and primary metrics to resolve ties; do not infer from agent count or system name.,"reproduction-, validation-, and repair-centered agent",摘要将主任务限定为：给定漏洞文字描述和代码库，agent 生成能复现漏洞的 PoC；同页说明 PoC 要在修复前、修复后可执行文件上运行以确认复现成功，并将不完整补丁与 zero-day 分析列为平台扩展用途。前两项构成复现与验证中心，后项说明修复状态分析属于系统范围；论文没有声称 agent 自行提交修补代码。,"p.1, Abstract and Fig. 1; papers/A168.txt",no,OY,2026-08-24,ready,R2-001,A168,R2-001,A168,disagreement,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,papers/A168.txt,9CD7A7B57AFBDB36F1D5A61C7A4422F9591E6D007D4BBC9DF96D943EB6DC635F,"reproduction-, validation-, and repair-centered agent","p.1, Abstract and Fig. 1; papers/A168.txt",摘要将主任务限定为：给定漏洞文字描述和代码库，agent 生成能复现漏洞的 PoC；同页说明 PoC 要在修复前、修复后可执行文件上运行以确认复现成功，并将不完整补丁与 zero-day 分析列为平台扩展用途。前两项构成复现与验证中心，后项说明修复状态分析属于系统范围；论文没有声称 agent 自行提交修补代码。,high,no,OY,2026-08-24,,OY external rereview
C12__lifecycle,C12,released_67,NeTestLLM: automated network protocol testing with LLM agents,lifecycle coverage,multi-label,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,source-linked lead,"https://arxiv.org/abs/2510.13248 | Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study). | excerpt pages 6, 1","[p.6] Based on the testing importance and section classification from the high-level protocol analysis results (§ 4.1), we design a threshold-based method to evaluate important sections. [p.1] NeTestLLM employs hierarchical protocol understanding to capture complex specifications, iterative test case generation to improve coverage, a task-specific work- flow for executable artifact generation, and runtime feedback analysis for debugging and refinement.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis; path and input exploration; execution observation; reporting and audit,NeTestLLM 先对协议规范做分层理解，再迭代生成测试用例；Fig. 3 将规范分析、测试用例生成/验证、可执行工件、测试床、Test Report 与 Runtime Logs 连成一条流程。p.9 还说明生成脚本先检查、再进入人工最终审查。因此可以标出候选分析、输入探索、执行观察和报告审计；论文没有把历史 bug 覆盖实验写成系统对特定漏洞的复现验证。,"p.1-2, Abstract and Sec. 3; p.4, Fig. 3; p.9, Sec. 4; papers/A049.pdf",no,OY,2026-08-24,ready,R2-002,A049,R2-002,A049,disagreement,NeTestLLM: automated network protocol testing with LLM agents,papers/A049.pdf,F2B98862E35B365B1E225AF2A34970E52E5F49C2D50E86BB8E02D545099CC766,candidate analysis; path and input exploration; execution observation; reporting and audit,"p.1-2, Abstract and Sec. 3; p.4, Fig. 3; p.9, Sec. 4; papers/A049.pdf",NeTestLLM 先对协议规范做分层理解，再迭代生成测试用例；Fig. 3 将规范分析、测试用例生成/验证、可执行工件、测试床、Test Report 与 Runtime Logs 连成一条流程。p.9 还说明生成脚本先检查、再进入人工最终审查。因此可以标出候选分析、输入探索、执行观察和报告审计；论文没有把历史 bug 覆盖实验写成系统对特定漏洞的复现验证。,high,no,OY,2026-08-24,,OY external rereview
FMS0372__lifecycle,FMS0372,final_multisource_132,Chai: Agentic Discovery of Cryptographic Misuse Vulnerabilities,lifecycle coverage,multi-label,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;reporting and audit;reproduction and validation,source-linked lead,https://arxiv.org/pdf/2606.26933 | role p.2; action p.1; feedback p.1; validation p.1; evaluation p.1,"the dependencies, but the dependency tree quickly explodes, Agent Agent Agent and even then it re-derives a very similar analysis for every project built on the same libra",A source-linked excerpt and locator are supplied as review leads for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis; path and input exploration; execution observation; reproduction and validation; reporting and audit,Chai 的 Fig. 4 明确写出 Plan 用 RAG 取得库源码/CVE 信息，Execute mutation 并构造候选输入，Analyze 对 differential 做最小化、分类和报告，结果再反馈到循环。p.6 的 deterministic replay/minimization 排除不能重现的 differential；p.7 的 Stage 2-3 要在 sandbox 中生成 PoC，并以 genuine programmatic result 晋级。这个链条支持五个所选阶段。p.2 和 p.11 的 maintainer 修补是论文作者与维护者的后续动作，不计为 patch validation。,"p.5, Sec. 3; p.6, Fig. 4 and replay/minimization; p.7, Stage 2-3; papers/A073.pdf",no,OY,2026-08-24,ready,R2-003,A073,R2-003,A073,disagreement,Chai: Agentic Discovery of Cryptographic Misuse Vulnerabilities,papers/A073.pdf,572D0664D28F540FF05EB3391800983578FE899F0DE245AE01056CC988141AC8,candidate analysis; path and input exploration; execution observation; reproduction and validation; reporting and audit,"p.5, Sec. 3; p.6, Fig. 4 and replay/minimization; p.7, Stage 2-3; papers/A073.pdf",Chai 的 Fig. 4 明确写出 Plan 用 RAG 取得库源码/CVE 信息，Execute mutation 并构造候选输入，Analyze 对 differential 做最小化、分类和报告，结果再反馈到循环。p.6 的 deterministic replay/minimization 排除不能重现的 differential；p.7 的 Stage 2-3 要在 sandbox 中生成 PoC，并以 genuine programmatic result 晋级。这个链条支持五个所选阶段。p.2 和 p.11 的 maintainer 修补是论文作者与维护者的后续动作，不计为 patch validation。,high,no,OY,2026-08-24,,OY external rereview
FMS0684__lifecycle,FMS0684,final_multisource_132,From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection,lifecycle coverage,multi-label,candidate analysis;execution observation,candidate analysis;reporting and audit,source-linked lead,https://arxiv.org/pdf/2511.08060 | role p.3; action p.1; feedback p.4; validation p.2; evaluation p.1,"rily relied on rule-based heuristic applications of LLMs in automated patch generation. For methods [40], [41] and traditional machine learning techniques",A source-linked excerpt and locator are supplied as review leads for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis,本文的研究对象是安全补丁检测：比较 Plain LLM、Data-Aug LLM 和利用 thought-action-observation 的 ReAct Agent，并按漏洞类型、提示策略和上下文窗口分析检测性能。论文报告的是识别安全补丁的准确率与误报率，没有把 agent 实际修补、执行补丁前后程序或验证修复效果作为该任务的能力。因此该 lifecycle 字段只保留 candidate analysis。,"p.1, Abstract and Introduction; papers/A166.pdf",no,OY,2026-08-24,ready,R2-006,A166,R2-006,A166,disagreement,From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection,papers/A166.pdf,5CF570E0DA403C6E0A32BA081E595F46825529B6D877FC58210EE2FF631324EC,candidate analysis,"p.1, Abstract and Introduction; papers/A166.pdf",本文的研究对象是安全补丁检测：比较 Plain LLM、Data-Aug LLM 和利用 thought-action-observation 的 ReAct Agent，并按漏洞类型、提示策略和上下文窗口分析检测性能。论文报告的是识别安全补丁的准确率与误报率，没有把 agent 实际修补、执行补丁前后程序或验证修复效果作为该任务的能力。因此该 lifecycle 字段只保留 candidate analysis。,high,no,OY,2026-08-24,,OY external rereview
FMS0347__external_traceability,FMS0347,final_multisource_132,Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities,external traceability,single-label,benchmark ground truth / public material,author-reported external clue,source-linked lead,https://arxiv.org/pdf/2607.12723 | role p.2; action p.1; feedback p.9; validation p.1; evaluation p.2,"tion of generated patches. to be accepted or merged by the mainstream Linux kernel Extensive real-world evaluations demonstrate the efficacy of community. The open-source community adopts the approach this approach, as Bulkhead successfully identified 9 deep- of vulnerability detection and patching case by case, which is seated logic vulnerabilities in mainstream repositories, result- error-prone. A classic example is the evolution of CVE-2018- ing in the",A source-linked excerpt and locator are supplied as review leads for auditability.,Code separately from principal output. Only item-level alignment between a concrete system result and a specific public external record qualifies as publicly aligned external trace.,author-reported external clue,Bulkhead 报告在真实容器生态中发现 9 个此前未公开的漏洞，称每个案例生成了 functional PoC，并已向维护者提交详细报告；同段只说明其中 3 个后来获得 CVE 标识。论文没有为这些结果提供逐项可公开访问且可定位的 trigger/replay/PoC 与外部漏洞记录对应关系，所以这些内容只能作为作者报告的外部线索，不能升级为 publicly aligned external trace。,"p.1-2, Abstract and Introduction; p.8, Detection Results; papers/A127.pdf",no,OY,2026-08-24,ready,R2-007,A127,R2-007,A127,disagreement,Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities,papers/A127.pdf,E045626034B57AC5ECE593D49E04BC8D0DDE595EEEA2031A551544B849CBC520,author-reported external clue,"p.1-2, Abstract and Introduction; p.8, Detection Results; papers/A127.pdf",Bulkhead 报告在真实容器生态中发现 9 个此前未公开的漏洞，称每个案例生成了 functional PoC，并已向维护者提交详细报告；同段只说明其中 3 个后来获得 CVE 标识。论文没有为这些结果提供逐项可公开访问且可定位的 trigger/replay/PoC 与外部漏洞记录对应关系，所以这些内容只能作为作者报告的外部线索，不能升级为 publicly aligned external trace。,medium,no,OY,2026-08-24,,OY external rereview
FMS1261__principal_evidence,FMS1261,final_multisource_132,SecureFixAgent: A Hybrid LLM Agent for Automated Python Static Vulnerability Repair,principal reported evidence output,single-label,reproducible validation,candidate judgment,source-linked lead,https://arxiv.org/pdf/2509.16275 | role p.1; action p.1; feedback p.1; validation p.1; evaluation p.1,"classes of vulnerabilities. However, static analyzers suffer from lack self-validation. We present SecureFixAgent, a hybrid repair notable drawbacks: they tend to generate high false-positive framework integrating Bandit with lightweight local LLMs rates, burdening developers with unnecessary manual triage, (<8B parameters) in an iterati",A source-linked excerpt and locator are supplied as review leads for auditability.,Select the observable result most directly supporting the main finding. Benchmark ground truth or aggregate CVE counts do not automatically establish externally traceable material.,controlled task completion,SecureFixAgent 的主要实验输出是修复任务指标：Table III 报告不同配置的 fix accuracy、false positives、平均收敛迭代次数和解释质量，完整系统的 fine-tuned 配置达到 87.83% fix accuracy 和 8.11% false positives。p.3 的流程说明补丁反复由 Bandit 重分析，但本文主要向读者报告的是受控修复任务的完成表现，不是逐项公开漏洞材料。,"p.1, Abstract; p.3, Sec. III; p.5, Table III; papers/A163.pdf",no,OY,2026-08-24,ready,R2-008,A163,R2-008,A163,disagreement,SecureFixAgent: A Hybrid LLM Agent for Automated Python Static Vulnerability Repair,papers/A163.pdf,EDB38FA2F8BF69E12E8E851E0F5979725E1476DFEA6C673445BB60B9C42F582F,controlled task completion,"p.1, Abstract; p.3, Sec. III; p.5, Table III; papers/A163.pdf",SecureFixAgent 的主要实验输出是修复任务指标：Table III 报告不同配置的 fix accuracy、false positives、平均收敛迭代次数和解释质量，完整系统的 fine-tuned 配置达到 87.83% fix accuracy 和 8.11% false positives。p.3 的流程说明补丁反复由 Bandit 重分析，但本文主要向读者报告的是受控修复任务的完成表现，不是逐项公开漏洞材料。,high,no,OY,2026-08-24,,OY external rereview
FMS0281__principal_evidence,FMS0281,final_multisource_132,AWE: Adaptive Agents for Dynamic Web Penetration Testing,principal reported evidence output,single-label,runtime safety signal,controlled task completion,source-linked lead,https://arxiv.org/pdf/2603.00960 | role p.2; action p.1; feedback p.1; validation p.1; evaluation p.1,"and poor to appear across most real world applications [1]. Despite reproducibility. ongoing advancements in secure development practices, these We introduce AWE, a memory-augmented multi-agent frame- vulnerability classes remain persistent. The widening gap work for autonomous web pe",A source-linked excerpt and locator are supplied as review leads for auditability.,Select the observable result most directly supporting the main finding. Benchmark ground truth or aggregate CVE counts do not automatically establish externally traceable material.,controlled task completion,AWE 的主评估是在 104 个 XBOW challenge 上完成端到端 exploit；p.1 给出 XSS 87% 与 blind SQL injection 66.7% 的成功率，p.6 的 Table I 再报告 AWE 51.9%（54/104）的 solve rate。论文主要报告的是受控基准任务的完成/成功结果；XBOW benchmark 的存在本身不构成逐项公开漏洞记录，因此不选 externally traceable material。,"p.1, Abstract; p.5, XBOW Benchmark; p.6, Table I and Sec. VI; papers/A001.pdf",no,OY,2026-08-24,ready,R2-009,A001,R2-009,A001,disagreement,AWE: Adaptive Agents for Dynamic Web Penetration Testing,papers/A001.pdf,9EE924161E892A297BDFF475A427635921FA7191643D315976F2367638CB033A,controlled task completion,"p.1, Abstract; p.5, XBOW Benchmark; p.6, Table I and Sec. VI; papers/A001.pdf",AWE 的主评估是在 104 个 XBOW challenge 上完成端到端 exploit；p.1 给出 XSS 87% 与 blind SQL injection 66.7% 的成功率，p.6 的 Table I 再报告 AWE 51.9%（54/104）的 solve rate。论文主要报告的是受控基准任务的完成/成功结果；XBOW benchmark 的存在本身不构成逐项公开漏洞记录，因此不选 externally traceable material。,high,no,OY,2026-08-24,,OY external rereview
FMS1024__lifecycle,FMS1024,final_multisource_132,Mystique: Automated Vulnerability Patch Porting with Semantic and Syntactic-Enhanced LLM,lifecycle coverage,multi-label,candidate analysis;patch validation,candidate analysis;execution observation;patch validation;reproduction and validation,source-linked lead,https://chenbihuan.github.io/paper/fse25-wu-mystique.pdf | role p.1; action p.2; feedback p.1; validation p.2; evaluation p.1,"ignatures for both the original patched function and the target vulnerable function. Mystiqe then utilizes a fine-tuned LLM to generate a fixed function, which is further iteratively checked and refined to ensure successful porting. Our evaluation shows",A source-linked excerpt and locator are supplied as review leads for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis; patch validation,Mystique 从原分支 patch function 提取包含 pre-patch 与 post-patch 的漏洞相关 signature，再在目标分支定位对应 vulnerable function；生成 fixed function 后，Sec. 3.5.2 针对 semantic、placeholder 和 syntactic anomalies 做检查，p.11 说明会继续 refine 直到异常消失或达到限制。这是对候选漏洞函数的分析以及对补丁结果的直接检查，故选 candidate analysis 与 patch validation；论文未在此流程中报告输入探索或漏洞复现。,"p.3, Sec. 1 Our Approach; p.10, Sec. 3.5.2; p.11, Sec. 3.5; papers/A025.pdf",no,OY,2026-08-24,ready,R2-010,A025,R2-010,A025,disagreement,Mystique: Automated Vulnerability Patch Porting with Semantic and Syntactic-Enhanced LLM,papers/A025.pdf,FC60C9BB3DD22D736256C17BE5B05F310FD58117F23ABFCA27A73035E7DF6599,candidate analysis; patch validation,"p.3, Sec. 1 Our Approach; p.10, Sec. 3.5.2; p.11, Sec. 3.5; papers/A025.pdf",Mystique 从原分支 patch function 提取包含 pre-patch 与 post-patch 的漏洞相关 signature，再在目标分支定位对应 vulnerable function；生成 fixed function 后，Sec. 3.5.2 针对 semantic、placeholder 和 syntactic anomalies 做检查，p.11 说明会继续 refine 直到异常消失或达到限制。这是对候选漏洞函数的分析以及对补丁结果的直接检查，故选 candidate analysis 与 patch validation；论文未在此流程中报告输入探索或漏洞复现。,high,no,OY,2026-08-24,,OY external rereview
C11__principal_evidence,C11,released_67,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,principal reported evidence output,single-label,runtime safety signal,externally traceable material,source-linked lead,"https://arxiv.org/abs/2510.02694 | Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13). | excerpt pages 5, 19","[p.5] In MALF, RAG retrieves information (e.g., command structures, field formats, vendor-specific constraints) from structured ICP documents (e.g., Modbus/TCP, S7, Ethernet/IP) and vulnerability databases (e.g., CVE, CNVD). [p.19] Device Vulnerability Description Security Issue Reference SIEMENS S7-300 Denial of Service Vulnera- bility Device crashed CVE-2016-3949 Input Validation Vulnerabil- ity Device crashed CVE-2015-2177 Controller Password Protec- tion Vulnerability Device access compro- mised CVE-2015-0004 Plaintext Unverified Proto- col Vulnerability Data leakage or device ex- posure CVE-2015-0019 PLC Memory Read/Write Vulnerability Device memory corrupted CVE-2015-0015 I/O Module Stoppage Device functionality dis- rupted Under review SIEMENS S7-1200 CPU Device CRLF Injec- tion Vulnerability Device crashed CVE-2014-2909 CPU Device Cross-Site Scripting (XSS) Device compromised CVE-2014-2908 Network Server Cross-",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Select the observable result most directly supporting the main finding. Benchmark ground truth or aggregate CVE counts do not automatically establish externally traceable material.,runtime safety signal,MALF 的主要结果围绕测试执行产生的安全信号展开：Table 2 用 TCPR 和 ETN 汇总三类工业协议上的通过率与异常触发数，Table 3 报告协议覆盖率和 Shannon entropy，p.18 的 Sec. 5.5 进一步说明三轮 24 小时测试中由 PLC 触发崩溃、通信丢失和设备功能中断等结果。论文因此主要报告运行时异常/安全信号，而不是逐项可复现材料集合。,"p.1, Abstract; pp.14-17, Sec. 5.2-5.4, Tables 2-4; pp.18-20, Sec. 5.5 and Table 5",no,OY,2026-08-24,ready,R2-011,A104,R2-011,A104,disagreement,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,papers_corrected/A104.pdf,A7DF678843FD83B5C8B397701A1A703B780E8E3E65EA07021D2FD6BCBB178C1A,runtime safety signal,"p.1, Abstract; pp.14-17, Sec. 5.2-5.4, Tables 2-4; pp.18-20, Sec. 5.5 and Table 5",MALF 的主要结果围绕测试执行产生的安全信号展开：Table 2 用 TCPR 和 ETN 汇总三类工业协议上的通过率与异常触发数，Table 3 报告协议覆盖率和 Shannon entropy，p.18 的 Sec. 5.5 进一步说明三轮 24 小时测试中由 PLC 触发崩溃、通信丢失和设备功能中断等结果。论文因此主要报告运行时异常/安全信号，而不是逐项可复现材料集合。,high,no,OY,2026-08-24,,OY external rereview
FMS0945__principal_evidence,FMS0945,final_multisource_132,Locus: Agentic Predicate Synthesis for Directed Fuzzing,principal reported evidence output,single-label,reproducible validation,controlled task completion,source-linked lead,https://obj.umiacs.umd.edu/locus/2508.21302v3.pdf | role p.1; action p.1; feedback p.1; validation p.1; evaluation p.1,"thus difficult to generalize to diverse target states and programs. Concept (PoC) exploits of vulnerabilities [7, 56]. While the original We present Locus, a novel framework to improve the efficiency purpose of directed fuzzing is largely not for discovering new bugs, of directed fuzzing. Our key insight is to synthesize predicates",A source-linked excerpt and locator are supplied as review leads for auditability.,Select the observable result most directly supporting the main finding. Benchmark ground truth or aggregate CVE counts do not automatically establish externally traceable material.,runtime safety signal,"p.1 报告“While the original purpose of directed fuzzing is largely not for discovering new bugs, i.e.,it needs a specified target, it has found numerous impactful zero-day vulnerabilities [9, 53, 68, 78, 93].”。主要结果以覆盖、崩溃、运行时违规或新 bug 等运行信号呈现。",p.1; papers/A153.pdf,no,OY,2026-08-24,ready,R2-012,A153,R2-012,A153,disagreement,Locus: Agentic Predicate Synthesis for Directed Fuzzing,papers/A153.pdf,583B88E4AAB0E9F61527FB5EAF51D22D27CF91AB2355E3364705BCB414857984,runtime safety signal,p.1; papers/A153.pdf,"p.1 报告“While the original purpose of directed fuzzing is largely not for discovering new bugs, i.e.,it needs a specified target, it has found numerous impactful zero-day vulnerabilities [9, 53, 68, 78, 93].”。主要结果以覆盖、崩溃、运行时违规或新 bug 等运行信号呈现。",high,no,OY,2026-08-24,,OY external rereview
