record_id,title,year,authors,source_type,venue_or_source,doi_or_url,corpus_layer,task_category,exclusion_reason,note
CP001,Leveraging intra- and inter-references in vulnerability detection using multi-agent collaboration based on LLMs,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1007/s10586-025-05721-2,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP002,Addressing data leakage and imbalance for robust fine-tuning of pre-trained code language models in program repair and vulnerability detection,2025,NA,thesis,Zotero/FuLei518/project merged candidate,https://www.proquest.com/openview/7dfbd6a7d0eed2abea90a8ce491b8286/1?pq-origsite=gscholar&cbl=18750&diss=y,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP003,ParaVul: a parallel large language model and retrieval-augmented framework for smart contract vulnerability detection,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2510.17919,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP004,CQLLM: A Framework for Generating CodeQL Security Vulnerability Detection Code Based on Large Language Model,2026-01-04,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.mdpi.com/2076-3417/16/1/517,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP005,LLM assisted dual-view awareness framework for smart contract vulnerability detection,2025-10-21,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3503-9302-6,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP006,Solidity meets LLMs: a transformer-based approach to smart contract vulnerability detection,2025,NA,bookSection,Zotero/FuLei518/project merged candidate,urn:isbn:978-3-032-15631-0%20978-3-032-15632-7,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP007,Statistical Implausibility Detection: A Framework for Identifying Evaluation Inconsistencies in Large Language Model Security Assessment,2025-10-22,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6501-5,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP008,FLAMES: fine-tuning LLMs to synthesize invariants for smart contract security,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2510.21401,Background,Remediation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP009,LocVul: line-level vulnerability localization based on a sequence-to-sequence approach,2026,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/pii/S0950584925002794,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP010,A dual perspective review on large language models and code verification,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2025.1655469/full,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
