core_id,system_alias,reference_key,core_type,lifecycle_coverage,traditional_primitives,agent_capabilities,strongest_evidence_output,external_audit_materials,main_claim_boundary,system_archetype,source_location,confidence,manual_review_required,notes
C01,UniFuzz,ngo2025unifuzz,vulnerability-mining core,路径与输入探索; 执行观察与异常解释,fuzzing; seed; coverage; 智能合约 benchmark,反馈解释与闭环调整; 验证组织与证据打包,运行时安全信号,未报告,不能声称UniFuzz在所有漏洞类型上优于CrossFuzz；不能把覆盖率提升等同真实漏洞全面提升。,反馈驱动型 fuzzing Agent,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C02,ReForge,prabhakar2025reforge,vulnerability-mining core,复现与验证; 报告、审计与披露,crash; replay; PoC; C/C++ targets; MCP/tool execution,反馈解释与闭环调整; 验证组织与证据打包,可复现验证,未报告,不能声称其发现所有漏洞或生成真实攻击链；不能直接采信168x速度提升而不说明实验设置。,验证优先型 PoC / PoV Agent,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C03,Multi-Agent Collaborative Smart Contract Fuzzing,chen2025smartfuzz,vulnerability-mining core,路径与输入探索; 执行观察与异常解释,fuzzing; transaction sequence; smart-contract runtime signals,长程编排与状态管理,运行时安全信号,未报告,不能把预印本结果作为稳定事实；不能声称coverage越高必然漏洞更多，论文自身也强调这一点。,反馈驱动型 fuzzing Agent; 多 Agent 编排,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C04,FuzzingBrain,sheng2025fuzzingbrain,vulnerability-mining core,路径与输入探索; 执行观察与异常解释; 复现与验证; 修复验证; 报告、审计与披露,fuzzing; PoV; patch validation; sanitizer; CRS workers; OSS/AIxCC context,反馈解释与闭环调整; 验证组织与证据打包; 长程编排与状态管理; 失败归纳与策略更新,可复现验证,未报告,不能把团队自报的AIxCC结果当作独立可复现实验结论；不能等同一般场景下自动修复可靠。,自动渗透测试、CRS 与多 Agent 工作流; 持续优化,V4 PDF 1021 + artifact core_coding.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C05,Mut4All,mut4all2025,vulnerability-mining core,路径与输入探索; 执行观察与异常解释,fuzzing; compiler bug reports; coverage/bug discovery signals,反馈解释与闭环调整; 验证组织与证据打包,运行时安全信号,未报告,不能声称其发现了96个安全漏洞或CVE；不能把编译器bug直接等同于漏洞挖掘成功。,反馈驱动型 fuzzing Agent,V4 PDF 1042 + artifact core_coding.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C06,LLAMA,gai2026llama,vulnerability-mining core,路径与输入探索; 执行观察与异常解释,fuzzing; smart-contract benchmarks; known-vulnerability detection,反馈解释与闭环调整; 验证组织与证据打包,运行时安全信号,未报告,不能把132/148已知漏洞检测写成新漏洞发现；真实部署合约114 bug instances需注明是论文报告而非独立复现。,反馈驱动型 fuzzing Agent,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C07,ProtocolGuard,protocolguard2026,vulnerability-mining core,候选发现与优先级排序; 执行观察与异常解释; 复现与验证,static slicing; protocol rules; dynamic validation; assertion/replay-like checks,反馈解释与闭环调整; 验证组织与证据打包,可复现验证,作者报告的外部线索,不能把ProtocolGuard写成通用自动渗透Agent；不能忽略它针对非合规逻辑错误而非内存安全crash。,工具增强型分析器; 验证优先型 PoC / PoV Agent,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C08,BSFuzzer,yang2026bsfuzzer,vulnerability-mining core,路径与输入探索; 执行观察与异常解释,fuzzing; BLE devices; runtime protocol signals,反馈解释与闭环调整; 验证组织与证据打包,运行时安全信号,作者报告的外部线索,不能声称完全自动且零人工；不能把LLM验证结果等同于无source-limited的最终漏洞确认。,反馈驱动型 fuzzing Agent,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C09,RFCAUDIT,zheng2025rfcaudit,vulnerability-mining core,候选发现与优先级排序,RFC/specification analysis; static/protocol implementation inspection,上下文聚合与规则提取; 工具选择与策略路由,候选判断,作者报告的外部线索,不能声称RFCAUDIT动态触发所有漏洞；不能把confirmed/fixed之外的报告都当最终真漏洞。,工具增强型分析器,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C10,VulAgent,wang2025vulagent,vulnerability-mining core,候选发现与优先级排序,vulnerability datasets; code context; sensitive-code localization,角色讨论或文本反思; 上下文聚合与规则提取; 工具选择与策略路由,候选判断,未报告,不能声称VulAgent已完成真实漏洞挖掘或exploit验证。,工具增强型分析器,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
