"task_id","sample_id","case_id","record_id","title","field","field_type","allowed_labels","material_path","material_sha256","reviewer_label","evidence_locator","evidence_excerpt","reviewer_reason","reviewer_confidence"
"FMRC-T001","FMRC-001","A185","CP078","PBFuzz: agentic directed fuzzing for PoV generation","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-001.pdf","f676a889a8541bc0f0da6df0ba130b5250d10585a68833ebc11546509019678b","candidate analysis;path and input exploration;execution observation;reproduction and validation","PDF page 6, extracted text line 619","guide the EXECUTE phase to search for the PoV input.","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T002","FMRC-001","A185","CP078","PBFuzz: agentic directed fuzzing for PoV generation","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-001.pdf","f676a889a8541bc0f0da6df0ba130b5250d10585a68833ebc11546509019678b","context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management","PDF page 2, extracted text line 137","LLM agents can seek custom fine-grained feedback to refine their","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T003","FMRC-001","A185","CP078","PBFuzz: agentic directed fuzzing for PoV generation","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-001.pdf","f676a889a8541bc0f0da6df0ba130b5250d10585a68833ebc11546509019678b","feedback-driven fuzzing agent","PDF p.1","Generating a PoV input requires solving two sets of constraints: (1)reachability constraintsfor reach- ing vulnerable code locations, and (2)triggering constraintsfor activating the target vulnerability.","Independent recheck supports feedback-driven fuzzing agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T004","FMRC-001","A185","CP078","PBFuzz: agentic directed fuzzing for PoV generation","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-001.pdf","f676a889a8541bc0f0da6df0ba130b5250d10585a68833ebc11546509019678b","reproducible validation","PDF p.1","Generating a PoV input requires solving two sets of constraints: (1)reachability constraintsfor reach- ing vulnerable code locations, and (2)triggering constraintsfor activating the target vulnerability.","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T005","FMRC-001","A185","CP078","PBFuzz: agentic directed fuzzing for PoV generation","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-001.pdf","f676a889a8541bc0f0da6df0ba130b5250d10585a68833ebc11546509019678b","author-reported external clue","PDF page 12, extracted text line 1430","A4: PBFuzz reproduced all three 2026 FFmpeg CVEs that had no","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T006","FMRC-002","A122","FMS1149","RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-002.pdf","f4410c855a69e2eec978309a36f0b9db42c62b1a7967fdc453babb2c82af62a3","candidate analysis;path and input exploration;execution observation;reproduction and validation","PDF page 12, extracted text line 975","logs, validating the legitimacy of the target environment, and","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T007","FMRC-002","A122","FMS1149","RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-002.pdf","f4410c855a69e2eec978309a36f0b9db42c62b1a7967fdc453babb2c82af62a3","context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management","PDF page 1, extracted text line 13","address. By integrating advanced ReAct-style task planning","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T008","FMRC-002","A122","FMS1149","RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-002.pdf","f4410c855a69e2eec978309a36f0b9db42c62b1a7967fdc453babb2c82af62a3","long-horizon pentest and CRS agent","PDF p.1","Unlike prior approaches that focus primarily on post-exploitation or require ahuman-in-the-loop, RapidPen leverages large language models (LLMs) to autonomously discover and exploit vulnerabilities, starting from a single IP address.","Independent recheck supports long-horizon pentest and CRS agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T009","FMRC-002","A122","FMS1149","RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-002.pdf","f4410c855a69e2eec978309a36f0b9db42c62b1a7967fdc453babb2c82af62a3","controlled task completion","PDF p.1","Unlike prior approaches that focus primarily on post-exploitation or require ahuman-in-the-loop, RapidPen leverages large language models (LLMs) to autonomously discover and exploit vulnerabilities, starting from a single IP address.","Independent recheck supports controlled task completion for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T010","FMRC-002","A122","FMS1149","RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-002.pdf","f4410c855a69e2eec978309a36f0b9db42c62b1a7967fdc453babb2c82af62a3","no external trace reported","PDF page 11, extracted text line 898","intervention. As long as the tasks assigned by the Re module","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
