matrix_id,record_id,canonical_study_id,system_alias,title,analytical_role,coding_round,lifecycle_coverage,strongest_evidence_output,external_traceability,claim_boundary,claim_boundary_original,coding_status,reliability_scope,official_url,primary_system_shape,overlay_tags,cross_stage_capabilities,harmonization_status,legacy_notes
C01,CP014,CS_CP014,UniFuzz,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,target_software_study,initial_frozen_round,candidate analysis,runtime safety signal,no external trace reported,"Supported claim and conditions: The paper supports audit-informed seed generation, EVM execution, coverage measurement, oracle-based vulnerability signals, and a generated detection report on the evaluated smart-contract datasets. Stronger-claim boundary: A stronger reproducible or externally confirmed claim would require item-level replay artifacts and a public finding-to-record alignment.",不能声称UniFuzz在所有漏洞类型上优于CrossFuzz；不能把覆盖率提升等同真实漏洞全面提升。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",urn:isbn:979-8-3315-6687-6,feedback-driven fuzzing agent,,context aggregation / rule extraction,adjudicated_after_independent_double_coding_and_external_rereview,
C02,CP015,CS_CP015,ReForge,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,target_software_study,initial_frozen_round,candidate analysis; execution observation; reporting and audit,reproducible validation,no external trace reported,"Supported claim and conditions: The paper supports converting AFL++ crash inputs into Python PoCs that are executed against the evaluated vulnerable binaries, including a public-CVE target and custom programs. Stronger-claim boundary: It does not establish that ReForge independently discovered or publicly disclosed a new vulnerability.",不能声称其发现所有漏洞或生成真实攻击链；不能直接采信168x速度提升而不说明实验设置。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",urn:isbn:979-8-3315-5397-5,"reproduction-, validation-, and repair-centered agent",,feedback interpretation / loop adjustment,adjudicated_after_independent_double_coding_and_external_rereview,
C03,CP025,CS_CP025,Multi-Agent Collaborative Smart Contract Fuzzing,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,target_software_study,initial_frozen_round,candidate analysis; path and input exploration; execution observation; reproduction and validation,runtime safety signal,no external trace reported,"Supported claim and conditions: The paper supports multi-agent generation and refinement of transaction sequences using EVM runtime errors, execution traces, coverage, and vulnerability-oracle feedback on the evaluated contracts. Stronger-claim boundary: It does not provide a public replay package or item-level external confirmation for the reported signals.",不能把预印本结果作为稳定事实；不能声称coverage越高必然漏洞更多，论文自身也强调这一点。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2511.12164,feedback-driven fuzzing agent,multi-agent orchestration,context aggregation / rule extraction; failure reuse / strategy update,adjudicated_after_independent_double_coding_and_external_rereview,
C04,CP061,CS_CP061,FuzzingBrain,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,target_software_study,initial_frozen_round,candidate analysis; execution observation; reproduction and validation,reproducible validation,no external trace reported,Supported claim and conditions: The public paper and repository support an AIxCC CRS that generates PoVs and patches and validates them through competition-style workflows on the evaluated C/C++ and Java targets. Stronger-claim boundary: Aggregate zero-day and patch counts are not publicly aligned item by item with external vulnerability records in the reviewed material.,不能把团队自报的AIxCC结果当作独立可复现实验结论；不能等同一般场景下自动修复可靠。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2509.07225,long-horizon pentest and CRS agent,iterative optimization;failure-memory reuse,feedback interpretation / loop adjustment,adjudicated_after_independent_double_coding_and_external_rereview,
C05,CP066,CS_CP066,Mut4All,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,target_software_study,initial_frozen_round,execution observation,runtime safety signal,author-reported external clue,"Supported claim and conditions: The paper supports LLM-synthesized compiler mutators producing reproducible failures and maps specific system findings to public Rust, LLVM, and GCC issue records, including maintainer-confirmed bugs. Stronger-claim boundary: The externally traceable claim is limited to the individually mapped issues rather than every raw crash.",不能声称其发现了96个安全漏洞或CVE；不能把编译器bug直接等同于漏洞挖掘成功。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2507.19275,feedback-driven fuzzing agent,,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,adjudicated_after_independent_double_coding_and_external_rereview,
C06,CP068,CS_CP068,LLAMA,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,target_software_study,initial_frozen_round,path and input exploration;execution observation,runtime safety signal,no external trace reported,"Supported claim and conditions: The paper supports context-aware seed generation, multi-feedback scheduling, stagnation-triggered reseeding, selective symbolic execution, and oracle-based vulnerability signals on smart-contract benchmarks. Stronger-claim boundary: It does not provide replay artifacts or public item-level external confirmation for those signals.",不能把132/148已知漏洞检测写成新漏洞发现；真实部署合约114 bug instances需注明是论文报告而非独立复现。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.1109/TIFS.2026.3666859,feedback-driven fuzzing agent,,no qualifying label observed,adjudicated_after_independent_double_coding_and_external_rereview,
C07,CP071,CS_CP071,ProtocolGuard,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,target_software_study,initial_frozen_round,path and input exploration,reproducible validation,author-reported external clue,"Supported claim and conditions: The paper supports RFC-rule extraction, static inconsistency candidates, assertion-backed dynamic verification, and PoC-oriented confirmation for reported protocol non-compliance bugs. Stronger-claim boundary: Vendor confirmations and CVE counts are reported, but the reviewed public material does not align every system result to a specific public external record.",不能把ProtocolGuard写成通用自动渗透Agent；不能忽略它针对非合规逻辑错误而非内存安全crash。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.14722/ndss.2026.240521,candidate-analysis system,,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,adjudicated_after_independent_double_coding_and_external_rereview,
C08,CP072,CS_CP072,BSFuzzer,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,target_software_study,initial_frozen_round,candidate analysis,candidate judgment,author-reported external clue,"Supported claim and conditions: The paper supports specification-derived semantic mutations, execution on real BLE implementations, and direct condition tests for PoC confirmation of reported issues. Stronger-claim boundary: CVE assignments and bounty outcomes are reported, but the public appendix does not provide complete item-level alignment to external records.",不能声称完全自动且零人工；不能把LLM验证结果等同于无source-limited的最终漏洞确认。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.14722/ndss.2026.240094,feedback-driven fuzzing agent,,context aggregation / rule extraction,adjudicated_after_independent_double_coding_and_external_rereview,
C09,CP102,CS_CP102,RFCAUDIT,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,target_software_study,initial_frozen_round,candidate analysis,candidate judgment,author-reported external clue,"Supported claim and conditions: The paper supports retrieval-guided RFC-to-code inconsistency judgments and structured bug reports across six protocol implementations. Stronger-claim boundary: Developer confirmations and merged or approved patches are reported in aggregate, but the paper does not publicly align each RFCAudit output to a specific external issue or PR.",不能声称RFCAUDIT动态触发所有漏洞；不能把confirmed/fixed之外的报告都当最终真漏洞。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://ieeexplore.ieee.org/abstract/document/11334718,candidate-analysis system,,context aggregation / rule extraction;tool routing / strategy routing,adjudicated_after_independent_double_coding_and_external_rereview,
C10,CP075,CS_CP075,VulAgent,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,target_software_study,initial_frozen_round,candidate analysis,candidate judgment,benchmark ground truth / public material,"Supported claim and conditions: The paper supports multi-view candidate localization, structured hypothesis construction, trigger-path reasoning, and vulnerability judgments on vulnerable/fixed benchmark pairs. Stronger-claim boundary: It does not execute generated triggers or establish public external confirmation of newly discovered vulnerabilities.",不能声称VulAgent已完成真实漏洞挖掘或exploit验证。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2509.11523,candidate-analysis system,,context aggregation / rule extraction,adjudicated_after_independent_double_coding_and_external_rereview,role discussion / textual reflection retained from the frozen initial label
