core_id,record_id,system_alias,title,publication_status,boundary_role,materials_to_review,coder2_cross_stage_capability_label,coder2_capability_decision_reason,coder2_capability_uncertainty_note,coder2_external_traceability_label,coder2_external_traceability_decision_reason,coder2_external_traceability_uncertainty_note
C01,CP014,UniFuzz,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP014 / title: UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C02,CP015,ReForge,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP015 / title: ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C03,CP025,Multi-Agent Collaborative Smart Contract Fuzzing,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP025 / title: Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C04,CP061,FuzzingBrain,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP061 / title: All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C05,CP066,Mut4All,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP066 / title: Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C06,CP068,LLAMA,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP068 / title: LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C07,CP071,ProtocolGuard,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP071 / title: ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C08,CP072,BSFuzzer,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP072 / title: BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C09,CP102,RFCAUDIT,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,verified_by_zotero,standard_core_entry,Review the public paper and any public artifact or project materials for record CP102 / title: RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C10,CP075,VulAgent,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,arXiv preprint,standard_core_entry,Review the public paper and any public artifact or project materials for record CP075 / title: VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
