"discovery_id","title","publication_dates","doi","arxiv_id","source_ids","screening_stage","final_analytical_layer","decision_reason","source_location","canonical_search_record_id","existing_canonical_study_id","counting_status","second_coder_required","second_coder_status","second_coder_eligibility","decision_provenance"
"FMS0001","$α^3$-SecBench: A Large-Scale Evaluation Suite of Security, Resilience, and Trust for LLM-based UAV Agents over 6G Networks","2026-01-26","","2601.18754","arxiv","title_abstract","excluded_near_neighbor","The title identifies a non-software or non-target-software use of vulnerability.","title, abstract, and exported source metadata","FMS0001","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0002","50 Shades of Deceptive Patterns: A Unified Taxonomy, Multimodal Detection, and Security Implications","2025-01-23","10.1145/3696410.3714593","2501.13351","arxiv","title_abstract","background_reference","The visible contribution is a benchmark, model evaluation, or adjacent security study outside study-level workflow coding.","title, abstract, and exported source metadata","FMS0002","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0003","A Call to Action for a Secure-by-Design Generative AI Paradigm","2025-10-01","","2510.00451","arxiv","title_abstract","background_reference","Adjacent mechanism or evaluation context was visible at title/abstract screening, but no retrieved full text was available for study-specific extended synthesis.","title, abstract, and exported source metadata","FMS0003","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0004","A Case Study of LLM for Automated Vulnerability Repair: Assessing Impact of Reasoning and Patch Validation Feedback","2024-05-24; 2024-7-10","10.1145/3664646.3664770","2405.15690","acm_crossref; arxiv; crossref","title_abstract","existing_study_or_version","Matched existing study CP165 by exact DOI .","title, abstract, and exported source metadata","FMS0004","CP165","existing_study_match_not_counted","no","not_applicable","","matched_to_pre-integration_retained_study"
"FMS0005","A Comparative Study of Language Models for Khmer Retrieval-Augmented Question Answering","2026-05-21","","2605.22099","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0005","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0006","A Comprehensive Overview of Large Language Models (LLMs) for Cyber Defences: Opportunities and Directions","2024-05-23","","2405.14487","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0006","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0007","A Comprehensive Study of LLM and Evolution, Varieties, and Their Role in Software Engineering and Cybersecurity","2025-07-21","10.20944/preprints202507.1600.v1","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0007","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0008","A Comprehensive Survey of AI-Driven Advancements and Techniques in Automated Program Repair and Code Generation","2024-11-12","","2411.07586","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0008","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0009","A Comprehensive Survey of Attack Techniques, Implementation, and Mitigation Strategies in Large Language Models","2023-12-18","","2312.10982","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0009","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0010","A Comprehensive Survey on Generative AI Solutions in IoT Security","2024-12-17","10.3390/electronics13244965","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0010","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0011","A comprehensive survey on IoT attacks: Taxonomy, detection mechanisms and challenges","2023-12-22","10.1016/j.jiixd.2023.12.001","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0011","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0012","A Comprehensive Survey on the Security of Smart Grid: Challenges, Mitigations, and Future Research Opportunities","2024-07-10","","2407.07966","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0012","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0013","A Comprehensive Survey on Trustworthiness in Reasoning with Large Language Models","2025-09-04","","2509.03871","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0013","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0014","A Concern-Oriented Governance Approach for Securing Agentic AI","2026-06-11","10.21203/rs.3.rs-9632595/v1","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0014","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0015","A Contemporary Survey of Large Language Model Assisted Program Analysis","2025-02-05; 2025-05-26","10.53941/tai.2025.100006","2502.18474","openalex","title_abstract","existing_study_or_version","Matched existing study CP121 by exact arXiv ID .","title, abstract, and exported source metadata","FMS0015","CP121","existing_study_match_not_counted","no","not_applicable","","matched_to_pre-integration_retained_study"
"FMS0016","A conversational agent for creating automations exploiting large language models","2024-7-4","10.1007/s00779-024-01825-5","","springer_crossref","report_retrieval","excluded_near_neighbor","The record is outside target-software vulnerability discovery and validation or uses vulnerability in a non-software sense.","title/abstract and source metadata; https://doi.org/10.1007/s00779-024-01825-5","FMS0016","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0017","A Decompilation-Driven Framework for Malware Detection with Large Language Models","2026-01-14","","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0017","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0018","A Deep Dive Into How Open-Source Project Maintainers Review and Resolve Bug Bounty Reports","2024-09-12","","2409.07670","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0018","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0019","A detailed survey of security vulnerabilities in large language models and LLM-based applications for the information technology industry","2026-01-01","10.1063/5.0298580","","crossref","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0019","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0020","A Differential Fuzzing-Based Evaluation of Functional Equivalence in LLM-Generated Code Refactorings","2026-02-17","","2602.15761","arxiv","title_abstract","background_reference","Adjacent mechanism or evaluation context was visible at title/abstract screening, but no retrieved full text was available for study-specific extended synthesis.","title, abstract, and exported source metadata","FMS0020","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0021","A Dual-Loop Agent Framework for Automated Vulnerability Reproduction","2026-02-05","","2602.05721","arxiv","title_abstract","existing_study_or_version","Matched existing study CP250 by exact arXiv ID .","title, abstract, and exported source metadata","FMS0021","CP250","existing_study_match_not_counted","no","not_applicable","","matched_to_pre-integration_retained_study"
"FMS0022","A dual perspective review on large language models and code verification","2025-11-24","10.3389/fcomp.2025.1655469","","openalex","title_abstract","existing_study_or_version","Matched existing study CP010 by exact DOI .","title, abstract, and exported source metadata","FMS0022","CP010","existing_study_match_not_counted","no","not_applicable","","matched_to_pre-integration_retained_study"
"FMS0023","A Fast, Performant, Secure Distributed Training Framework For Large Language Model","2024-01-18","","2401.09796","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0023","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0024","A Fast, Reliable, and Secure Programming Language for LLM Agents with Code Actions","2025-06-13","","2506.12202","arxiv","title_abstract","background_reference","Adjacent mechanism or evaluation context was visible at title/abstract screening, but no retrieved full text was available for study-specific extended synthesis.","title, abstract, and exported source metadata","FMS0024","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0025","A First Look At Efficient And Secure On-Device LLM Inference Against KV Leakage","2024-09-06","","2409.04040","arxiv","title_abstract","excluded_near_neighbor","The title and abstract do not establish an in-scope target-software vulnerability-mining workflow or a defined synthesis use.","title, abstract, and exported source metadata","FMS0025","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0026","A First Look at GPT Apps: Landscape and Vulnerability","2024-02-23","","2402.15105","arxiv","title_abstract","background_reference","The record informs agent/LLM security, governance, or evaluation context but does not study an Agentic target-software mining workflow.","title, abstract, and exported source metadata","FMS0026","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0027","A First Look at the Security Issues in the Model Context Protocol Ecosystem","2025-10-18","","2510.16558","arxiv","title_abstract","background_reference","The security target is an AI/agent system or generated-code ecosystem rather than an Agentic target-software mining workflow.","title, abstract, and exported source metadata","FMS0027","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0028","A First Measurement Study on Authentication Security in Real-World Remote MCP Servers","2026-05-21","","2605.22333","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0028","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0029","A Formal Framework for Assessing and Mitigating Emergent Security Risks in Generative AI Models: Bridging Theory and Dynamic Risk Mitigation","2024-10-15","","2410.13897","arxiv","title_abstract","background_reference","The visible contribution is a benchmark, model evaluation, or adjacent security study outside study-level workflow coding.","title, abstract, and exported source metadata","FMS0029","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0030","A Formal Security Framework for MCP-Based AI Agents: Threat Taxonomy, Verification Models, and Defense Mechanisms","2026-04-07","","2604.05969","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0030","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0031","A Formula-Driven Survey and Research Agenda for On-Policy Distillation","2026-06-22","","2606.22793","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0031","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0032","A Framework for Formalizing LLM Agent Security","2026-03-19","","2603.19469","arxiv","title_abstract","background_reference","Agent-system security or governance context; the target is not target software.","title, abstract, and exported source metadata","FMS0032","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0033","A Framework for Generating Conversational Recommendation Datasets from Behavioral Interactions","2025-06-14","","2506.17285","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0033","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0034","A Framework to Assess Multilingual Vulnerabilities of LLMs","2025-03-17","","2503.13081","arxiv","title_abstract","background_reference","Agent-system security or governance context; the target is not target software.","title, abstract, and exported source metadata","FMS0034","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0035","A Fuzzy Supervisor Agent Design for Clinical Reasoning Assistance in a Multi-Agent Educational Clinical Scenario Simulation","2025-07-03","","2507.05275","arxiv","title_abstract","excluded_near_neighbor","The title identifies a non-software target domain.","title, abstract, and exported source metadata","FMS0035","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0036","A generative AI cybersecurity risks mitigation model for code generation: using ANN-ISM hybrid approach","2026-01-14","10.1038/s41598-025-34350-3","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0036","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0037","A generative AI-driven cybersecurity framework for small and medium enterprises software development: an ANN-ISM approach","2026-02-07","10.1038/s41598-026-37614-8","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0037","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0038","A Large Language Model Approach to Generating Bypass Rules for Malware Evasion in Analysis Sandbox","2026-05-20","","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0038","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0039","A Large Language Model Enhanced Conversational Recommender System","2023-08-11","","2308.06212","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0039","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0040","A large scale analysis of code security in public repositories","2026-01-06","10.1007/s10207-025-01187-w","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0040","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0041","A Lifecycle and Application-Stack Survey of Large Language Model Vulnerabilities: Attacks, Risks, Defenses, and Open Problems","2026-06-30","","2606.31639","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0041","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0042","A Literature Review on Simulation in Conversational Recommender Systems","2025-06-25","","2506.20291","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0042","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0043","A LLM-based Controllable, Scalable, Human-Involved User Simulator Framework for Conversational Recommender Systems","2024-05-13","","2405.08035","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0043","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0044","A Multi-Agent Conversational Recommender System","2024-02-02","","2402.01135","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0044","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0045","A multi-agent LLM framework for severity classification of complaint events: Probabilistic reasoning with scene uncertainty","2026-1-01","10.1016/j.aei.2025.104135","","crossref; elsevier_crossref","title_abstract","excluded_near_neighbor","The title identifies a non-software target domain.","title, abstract, and exported source metadata","FMS0045","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0046","A Next-Generation Cyber-Range Framework for O-RAN and 6G Security Validation","2026-01-04","10.3390/fi18010029","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0046","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0047","A Penalty Goes a Long Way: Measuring Lexical Diversity in Synthetic Texts Under Prompt-Influenced Length Variations","2025-07-20","","2507.15092","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0047","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0048","A Preliminary Study on Using Large Language Models in Software Pentesting","2024-01-30","","2401.17459","arxiv","full_text","extended_synthesis","The study contributes an adjacent mechanism, benchmark, evaluation, or one-way LLM-assisted analysis, but does not establish the observable Agentic workflow control required for study-level coding.","public full text pp. 1, 2; https://arxiv.org/pdf/2401.17459","FMS0048","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0049","A Prompt-Based Framework for Loop Vulnerability Detection Using Local LLMs","2026-01-21","","2601.15352","arxiv","full_text","extended_synthesis","The contribution is prompt-based vulnerability detection; the reviewed workflow does not show an LLM decision changing a later security-tool or execution action.","public full text pp. 1, 3, 4; https://arxiv.org/pdf/2601.15352","FMS0049","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0050","A Qualitative Study on Using ChatGPT for Software Security: Perception vs. Practicality","2024-08-01","","2408.00435","arxiv","title_abstract","background_reference","The title and abstract indicate adjacent target-software relevance, but no retrieved full text was available for study-specific extended synthesis.","title, abstract, and exported source metadata","FMS0050","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0051","A Quasi-Experimental Developer Study of Security Training in LLM-Assisted Web Application Development","2026-04-20","","2604.17763","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0051","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0052","A Red Teaming Framework for Evaluating Robustness of AI-enabled Security Orchestration, Automation, and Response Systems","2026-05-16","","2605.17075","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0052","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0053","A Review of Hydrogen-Enabled Resilience Enhancement for Multi-Energy Systems","2024-12-26","","2412.19374","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0053","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0054","A Safety and Security Framework for Real-World Agentic Systems","2025-11-27","","2511.21990","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0054","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0055","A Security Analysis of the OpenClaw AI Agent Framework","2026-03-29","","2603.27517","arxiv","title_abstract","background_reference","The security target is an AI/agent system or generated-code ecosystem rather than an Agentic target-software mining workflow.","title, abstract, and exported source metadata","FMS0055","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0056","A Smart Contract Vulnerability Detection Manner Based on Large Language Model","2025-10-20","10.1007/978-981-95-2113-5_2","","springer_crossref","title_abstract","background_reference","Adjacent mechanism or evaluation context was visible at title/abstract screening, but no retrieved full text was available for study-specific extended synthesis.","title, abstract, and exported source metadata","FMS0056","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0057","A Standardized Re-evaluation of Conversational Recommender Systems on the ReDial Dataset","2026-05-13","10.1145/3805712.3808573","2605.13053","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0057","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
