review_order,matrix_id,record_id,system_alias,title,year,publication_status,review_scope,official_url,materials_to_review,final_lifecycle_coverage,lifecycle_review_status,final_cross_stage_capabilities,capability_review_status,final_primary_system_shape,shape_review_status,final_strongest_evidence_output,evidence_review_status,final_external_traceability,traceability_review_status,final_claim_boundary,claim_boundary_review_status,material_checked,decision_note,uncertainty_note,row_status
1,C01,CP014,UniFuzz,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,2025,conference,target-software study,urn:isbn:979-8-3315-6687-6,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
2,C02,CP015,ReForge,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,2025,conference,target-software study,urn:isbn:979-8-3315-5397-5,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
3,C03,CP025,Multi-Agent Collaborative Smart Contract Fuzzing,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,2025,journal,target-software study,https://arxiv.org/abs/2511.12164,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
4,C04,CP061,FuzzingBrain,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,2025,preprint,target-software study,https://arxiv.org/abs/2509.07225,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
5,C05,CP066,Mut4All,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,2025,journal,target-software study,https://arxiv.org/abs/2507.19275,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
6,C06,CP068,LLAMA,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,2026,journal,target-software study,https://doi.org/10.1109/TIFS.2026.3666859,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
7,C07,CP071,ProtocolGuard,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,2026,preprint,target-software study,https://doi.org/10.14722/ndss.2026.240521,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
8,C08,CP072,BSFuzzer,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,2025,preprint,target-software study,https://doi.org/10.14722/ndss.2026.240094,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
9,C09,CP102,RFCAUDIT,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,2025,conference,target-software study,https://ieeexplore.ieee.org/abstract/document/11334718,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
10,C10,CP075,VulAgent,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,2025,preprint,target-software study,https://arxiv.org/abs/2509.11523,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
11,C11,CP076,MALF,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,2025,preprint,target-software study,https://arxiv.org/abs/2510.02694,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
12,C12,CP077,NeTestLLM,NeTestLLM: automated network protocol testing with LLM agents,2025,preprint,target-software study,https://arxiv.org/abs/2510.13248,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
13,C13,CP078,PBFuzz,PBFuzz: agentic directed fuzzing for PoV generation,2025,preprint,target-software study,https://arxiv.org/abs/2512.04611,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
14,C14,CP080,Co-RedTeam,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,2025,preprint,target-software study,https://arxiv.org/abs/2602.02164,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
15,C15,CP081,Real-world Pentest Agent Study,What makes a good LLM agent for real-world penetration testing?,2025,preprint,target-software study,https://arxiv.org/abs/2602.17622,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
16,C16,CP082,LLMVD.js,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,2026,journal,target-software study,https://arxiv.org/abs/2604.20179,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
17,C17,CP083,Multi-Agent Harnesses,Synthesizing multi-agent harnesses for vulnerability discovery,2025,journal,target-software study,https://arxiv.org/abs/2604.20801,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
18,C18,CP084,PentestAgent,PentestAgent: incorporating LLM agents to automated penetration testing,2025,conference,target-software study,urn:isbn:979-8-4007-1410-8,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
19,C19,CP085,LIVA,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,2025,journal,target-software study,https://doi.org/10.1109/TDSC.2026.3665343,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
20,C20,CP089,FirmAgent,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,2026,preprint,target-software study,https://doi.org/10.14722/ndss.2026.231943,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
21,C21,CP094,PANGOLIN,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,2026,preprint,target-software study,https://www.usenix.org/conference/usenixsecurity26/presentation/jia,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
22,C22,CP095,TransferFuzz-Pro,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,2025,journal,target-software study,https://doi.org/10.1109/TSE.2025.3584774,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
23,C23,CP130,Cybench,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,2025,benchmark/system report,target-software study,https://proceedings.iclr.cc/paper_files/paper/2025/hash/3e9412a9c1d93810ef3ef7825115016b-Abstract-Conference.html,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
24,C24,CP131,BountyBench,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,2025,benchmark/system report,target-software study,https://bountybench.github.io/,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
