batch,discovery_id,title,first_eligibility,second_eligibility,eligibility_exact,jointly_included,first_shape,second_shape,first_evidence,second_evidence,first_trace,second_trace,first_lifecycle,second_lifecycle,first_capabilities,second_capabilities
main,FMS0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,include_study_level,include_study_level,true,true,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;reporting and audit,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,include_study_level,include_study_level,true,true,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;reporting and audit,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0134,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;patch validation;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,author-reported external clue,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0212,APT-Agent: Automated Penetration Testing using Large Language Models,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,no external trace reported,execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0214,ARACNE: An LLM-Based Autonomous Shell Pentesting Agent,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0226,Artificial Intelligence as the New Hacker: Developing Agents for Offensive Security,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0254,Automated Penetration Testing with LLM Agents and Classical Planning,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0257,Automated Vulnerability Validation and Verification: A Large Language Model Approach,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging
main,FMS0267,AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;patch validation,candidate analysis;patch validation;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0269,AutoPenBench: Benchmarking Generative Agents for Penetration Testing,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0270,AutoPentest: Enhancing Vulnerability Management With Autonomous LLM Agents,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0271,AutoPentester: An LLM Agent-based Framework for Automated Pentesting,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0272,AutoPT: How Far Are We from the End2End Automated Web Penetration Testing?,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0281,AWE: Adaptive Agents for Dynamic Web Penetration Testing,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,runtime safety signal,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0284,BACFuzz: Exposing the Silence on Broken Access Control Vulnerabilities in Web Applications,include_study_level,include_study_level,true,true,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,reproducible validation,author-reported external clue,benchmark ground truth / public material,execution observation;path and input exploration;reproduction and validation,execution observation;path and input exploration;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
