matrix_id,system,primitive_tags,named_tools,source_location,extraction_note
FMS0090,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large,fuzzing_input_harness;symbolic_constraint;runtime_oracle;replay_poc_pov,not specified,"Public full text, extracted pages 1, 2, 7, 11, 12, 13; https://arxiv.org/abs/2510.10148","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: fuzzing, symbolic execution, sanitizer, execution feedback, PoC, Proof-of-Concept. Tags do not imply dynamic agent selection."
FMS0100,ACFIX,static_taint_specification;symbolic_constraint;patch_build_test,foundry;Slither,"Public full text, extracted pages 1, 4, 6, 10, 18; https://arxiv.org/abs/2403.06838","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: taint analysis, static analysis, symbolic reasoning, unit test, Patch Validation. Tags do not imply dynamic agent selection."
FMS0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,static_taint_specification;symbolic_constraint,CodeQL;Docker;slither;Slither,"Public full text, extracted pages 2, 3, 20; https://arxiv.org/abs/2505.15242","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analysis, symbolic execution. Tags do not imply dynamic agent selection."
FMS0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst,static_taint_specification;symbolic_constraint,Slither,"Public full text, extracted pages 2, 8; https://doi.org/10.1109/tse.2025.3597319","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Slither, static analysis, formal verification. Tags do not imply dynamic agent selection."
FMS0120,AEGIS,static_taint_specification,Joern,"Public full text, extracted pages 2, 6; https://arxiv.org/abs/2603.20637",Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Joern. Tags do not imply dynamic agent selection.
FMS0134,Agent That Debugs,static_taint_specification;symbolic_constraint;runtime_oracle;replay_poc_pov;patch_build_test,GDB,"Public full text, extracted pages 2, 3, 8, 9, 11, 12, 13; https://arxiv.org/abs/2504.07634","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analysis, symbolic execution, Sanitizer, sanitizer, Proof of Concept, POC, patch validation, test suite. Tags do not imply dynamic agent selection."
FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,static_taint_specification;fuzzing_input_harness;symbolic_constraint;runtime_oracle;replay_poc_pov,Angr,"Public full text, extracted pages 1, 2, 7, 9, 10, 12; https://arxiv.org/abs/2605.05000","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analyzer, static analysis, fuzzing, Angr, concolic execution, execution feedback, proof-of-concept, PoC. Tags do not imply dynamic agent selection."
FMS0206,Antiproof,static_taint_specification;fuzzing_input_harness;symbolic_constraint;runtime_oracle;replay_poc_pov,AddressSanitizer;AFL;CodeQL;Docker;joern;Joern;Memorysanitizer;semgrep;Semgrep,"Public full text, extracted pages 1, 2, 4, 6; https://arxiv.org/abs/2607.12316","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Static analysis, fuzzing, Fuzzing, symbolic execution, runtime monitor, PoC, PoV. Tags do not imply dynamic agent selection."
FMS0212,APT-Agent,runtime_oracle;recon_scan_pentest,metasploit;Metasploit;Nmap;nmap,"Public full text, extracted pages 1, 6; https://arxiv.org/abs/2605.24949","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: execution result, Penetration Testing, Penetration testing. Tags do not imply dynamic agent selection."
FMS0214,ARACNE,recon_scan_pentest,Docker;Metasploit;Nmap,"Public full text, extracted pages 1, 3; https://arxiv.org/abs/2502.18528","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Penetration Test, shell command. Tags do not imply dynamic agent selection."
