discovery_id,title,publication_dates,doi,arxiv_id,source_ids,access_status,assessment_status,ai_assisted_proposed_decision,ai_assisted_proposed_layer,decision_reason,source_location,version_status,version_target,second_coder_required,author_final_decision,author_final_reason,human_confirmation_status
FMS0016,A conversational agent for creating automations exploiting large language models,2024-7-4,10.1007/s00779-024-01825-5,,springer_crossref,not_available,title_abstract_reviewed_ai_assisted,exclude_near_neighbor,excluded_near_neighbor,The record is outside target-software vulnerability discovery and validation or uses vulnerability in a non-software sense.,title/abstract and source metadata; https://doi.org/10.1007/s00779-024-01825-5,,,no,,,pending
FMS0048,A Preliminary Study on Using Large Language Models in Software Pentesting,2024-01-30,,2401.17459,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,"The study contributes an adjacent mechanism, benchmark, evaluation, or one-way LLM-assisted analysis, but does not establish the observable Agentic workflow control required for study-level coding.","public full text pp. 1, 2; https://arxiv.org/pdf/2401.17459",,,no,,,pending
FMS0049,A Prompt-Based Framework for Loop Vulnerability Detection Using Local LLMs,2026-01-21,,2601.15352,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,The contribution is prompt-based vulnerability detection; the reviewed workflow does not show an LLM decision changing a later security-tool or execution action.,"public full text pp. 1, 3, 4; https://arxiv.org/pdf/2601.15352",,,no,,,pending
FMS0090,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large Language Models,2025-10-11,,2510.10148,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,Two execution validators return payload and path feedback to an adaptive prompting loop that iteratively revises generated web-vulnerability PoCs.,"public full text pp. 1, 2; https://arxiv.org/pdf/2510.10148",,,yes_after_author_inclusion,,,pending
FMS0100,ACFIX: Guiding LLMs with Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts,2024-03-11,,2403.06838,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,A generator and validator form a bounded repair loop; validator feedback revises the role-permission patch until it passes or the attempt limit is reached.,"public full text pp. 1, 4, 2; https://arxiv.org/pdf/2403.06838",,,yes_after_author_inclusion,,,pending
FMS0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,2025-05-21,,2505.15242,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 2, 1; https://arxiv.org/pdf/2505.15242",,,yes_after_author_inclusion,,,pending
FMS0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,2025-10-01,10.1109/tse.2025.3597319,,ieee_crossref,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 1, 2; https://daoyuan14.github.io/papers/TSE25_LLM-SmartAudit.pdf",,,yes_after_author_inclusion,,,pending
FMS0120,AEGIS: From Clues to Verdicts -- Graph-Guided Deep Vulnerability Reasoning via Dialectics and Meta-Auditing,2026-03-21,,2603.20637,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"AEGIS uses a clue detector, on-demand code-property-graph slicing, a verifier agent, and an audit agent so intermediate hypotheses determine later repository evidence retrieval and verdict review.","public full text pp. 1, 9, 2; https://arxiv.org/pdf/2603.20637",,,yes_after_author_inclusion,,,pending
FMS0128,Agent-Fence: Mapping Security Vulnerabilities Across Deep Research Agents,2026-02-07,,2602.07652,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,background_reference_candidate,background_reference,Agent-Fence evaluates the security of deep-research agents and therefore contributes governance and agent-security context rather than target-software vulnerability mining.,"public full text pp. 1, 4; https://arxiv.org/pdf/2602.07652",,,no,,,pending
FMS0134,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,2025-04-10,,2504.07634,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 1, 3; https://arxiv.org/pdf/2504.07634",,,yes_after_author_inclusion,,,pending
FMS0135,Agent4Vul: multimodal LLM agents for smart contract vulnerability detection,2025-5-19,10.1007/s11432-024-4402-2,,springer_crossref,not_available,manual_full_text_review_needed,study_level_candidate,target_software_study,"The title indicates a multimodal smart-contract vulnerability-detection agent, but no public full text was retrieved; do not count or code it without full-text review.",title/abstract and source metadata; https://doi.org/10.1007/s11432-024-4402-2,,,pending_full_text_and_author_inclusion,,,pending
FMS0140,Agentic Adversarial Rewriting Exposes Architectural Vulnerabilities in Black-Box NLP Pipelines,2026-04-26,,2604.23483,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,background_reference_candidate,background_reference,"The work studies agentic adversarial rewriting against black-box NLP pipelines, outside the target-software vulnerability-mining denominator.","public full text pp. 1, 2; https://arxiv.org/pdf/2604.23483",,,no,,,pending
FMS0143,Agentic AI for Autonomous Defense in Software Supply Chain Security: Beyond Provenance to Vulnerability Mitigation,2025-12-29,,2512.23480,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,"The study contributes an adjacent mechanism, benchmark, evaluation, or one-way LLM-assisted analysis, but does not establish the observable Agentic workflow control required for study-level coding.","public full text pp. 1, 2, 4; https://arxiv.org/pdf/2512.23480",,,no,,,pending
FMS0145,"Agentic AI for Cybersecurity: Orchestrating Specialised Large Language Model Agents for Autonomous, Safe, and Scalable Penetration Testing",2025-11-01,10.1109/icih67754.2025.11608756,,crossref; ieee_crossref,not_available,manual_full_text_review_needed,study_level_candidate,target_software_study,"Title/abstract indicates a potentially eligible Agentic target-software workflow, but public full text was not retrieved; do not count or code until full-text review is completed.",title/abstract and source metadata; https://doi.org/10.1109/icih67754.2025.11608756,,,pending_full_text_and_author_inclusion,,,pending
FMS0146,"Agentic AI Security in 6G Networks: A Survey of Emerging Attack Vectors, Vulnerabilities, and Defenses",2026-01-29,10.36227/techrxiv.176972133.38919604/v1,,openalex,not_available,title_abstract_reviewed_ai_assisted,background_reference_candidate,background_reference,"The record supplies background on agent security, evaluation, traditional mechanisms, or governance rather than target-software Agentic vulnerability discovery or validation.",title/abstract and source metadata; https://doi.org/10.36227/techrxiv.176972133.38919604/v1,,,no,,,pending
FMS0148,Agentic and Generative AI for Intelligent Autonomous Vulnerability Assessment and Penetration Testing: A Systematic Analysis,2026-01-01,10.2139/ssrn.6804400,,crossref,not_available,title_abstract_reviewed_ai_assisted,background_reference_candidate,background_reference,"The record supplies background on agent security, evaluation, traditional mechanisms, or governance rather than target-software Agentic vulnerability discovery or validation.",title/abstract and source metadata; https://doi.org/10.2139/ssrn.6804400,,,no,,,pending
FMS0151,Agentic Penetration Testing using Secure Shell: Context-Aware Command Generation and Analysis Using Open-Source LLMs,2025-9-1,10.1109/cyber-ai66431.2025.11233438,,crossref; ieee_crossref,not_available,manual_full_text_review_needed,study_level_candidate,target_software_study,"Title/abstract indicates a potentially eligible Agentic target-software workflow, but public full text was not retrieved; do not count or code until full-text review is completed.",title/abstract and source metadata; https://doi.org/10.1109/cyber-ai66431.2025.11233438,,,pending_full_text_and_author_inclusion,,,pending
FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,2026-05-06,,2605.05000,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.",public full text pp. 1; https://arxiv.org/pdf/2605.05000,,,yes_after_author_inclusion,,,pending
