"sample_id","case_id","record_id","title","benchmark_cve_public_dataset_used","evidence_locator","evidence_excerpt","reviewer_reason","reviewer_confidence"
"FMRC-001","A185","CP078","PBFuzz: agentic directed fuzzing for PoV generation","yes","PDF page 1, extracted text line 1","iments on the Magma benchmark show strong results. PBFuzz","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-002","A122","FMS1149","RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents","yes","PDF page 1, extracted text line 1","ploitation on a vulnerable target from the Hack The Box (HTB)","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-003","A012","FMS1227","SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis","yes","PDF page 1, extracted text line 1","risks when these libraries contain known vulnerabilities. Ex-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-004","A150","FMS0648","FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI","yes","PDF page 1, extracted text line 1","tion efforts like OSS-Fuzz-Gen, as reporting false positive crashes","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-005","A139","CP221","Quality-Assured Fuzz Harness Generation via the Four Principles Framework","yes","PDF page 1, extracted text line 1","from OSS-Fuzz. To conduct a comprehensive investigation, we adopt three modern LLMs and five prompt","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-006","A157","CP068","LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation","yes","TXT paragraph 1, character offset 2975","known vulnerabilities involved [10]. Moreover, multi-transaction workflows make across diverse categories. Ablation studies further evidence that bugs highly sequence-dependent and only manifest after spe- the proposed multi-feedback","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-007","A064","FMS1338","Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering","yes","PDF page 1, extracted text line 1","vulnerabilities from the OWASP Benchmark and real-world open-source Java projects. We further conduct a","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-008","A128","FMS0541","Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE","yes","PDF page 1, extracted text line 1","generates LLM-based markings from benchmark code and uses them to guide distance computation and","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-009","A110","CP084","PentestAgent: incorporating LLM agents to automated penetration testing","yes","TXT paragraph 1, character offset 3252","benchmark, demonstrating superior performance in task comple- own exploits, master public domain tools, and perform numerous tion and overall efficiency. tedious and time-consuming tasks. [43] According to Rapid7’s Un- der the Ho","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-010","A056","FMS0509","Decoupling Reconnaissance and Exploitation: Measuring the Capability Boundaries of LLM-Based Web Penetration Testing","yes","PDF page 1, extracted text line 1","benchmarking protocol and an empirical basis for designing next-generation au-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
