core_id,record_id,system_alias,title,publication_status,boundary_role,materials_to_review,coder2_strongest_evidence_output,coder2_decision_reason,coder2_uncertainty_note
C01,CP014,UniFuzz,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP014 / title: UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,"Public paper describes a fuzzing framework that executes smart-contract tests, tracks coverage, and reports vulnerability detection across benchmark and production-scale contract datasets.",No item-level reproducible vulnerability artifacts or external confirmations were checked; coding is limited to runtime coverage/detection evidence in the paper.
C02,CP015,ReForge,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP015 / title: ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,"Materials describe crash inputs flowing into validated ready-to-run exploits and reports, with public GitHub artifacts, Dockerfiles, scripts, example validation artifacts and corresponding generation/analysis outputs.",Examples were not rerun; classification rests on the public reproducibility package described by the paper.
C03,CP025,Multi-Agent Collaborative Smart Contract Fuzzing,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP025 / title: Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,"SmartFuzz is evaluated as a smart-contract fuzzer with execution feedback, EVM/log/runtime error oracles, and vulnerable transaction sequences that trigger detected vulnerabilities.","I did not find a public per-finding replay package or external disclosure mapping, so I kept this below reproducible validation."
C04,CP061,FuzzingBrain,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP061 / title: All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,"FuzzingBrain is tied to CRS-style PoV and patch validation: generated PoVs act as concrete evidence, and patches are checked by compilation, tests, and mitigation of known PoVs.","External competition or zero-day claims were treated as aggregate context, not as item-level external trace evidence."
C05,CP066,Mut4All,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP066 / title: Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,"Mut4All integrates synthesized mutators into compiler fuzzing and uses crash, hang, and differential-testing oracles to find unique compiler failures.",Developer confirmations and fixes are reported only in aggregate in the reviewed windows; no item-level public issue/commit alignment or replay set was independently checked.
C06,CP068,LLAMA,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP068 / title: LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,"LLAMA reports smart-contract fuzzing results grounded in runtime rewards, coverage stagnation signals, symbolic-execution assistance, instruction coverage, and known-vulnerability detection.",No public replay artifacts or external vulnerability records were reviewed for individual findings.
C07,CP071,ProtocolGuard,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP071 / title: ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,"ProtocolGuard converts suspected protocol non-compliance into generated assertions, dynamically tests instrumented code, and generates proof-of-concept test cases for confirmed bugs.",The reported developer confirmations were not treated as external trace evidence because I did not verify item-level public records.
C08,CP072,BSFuzzer,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP072 / title: BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,"BSFuzzer sends semantic/state-aware BLE test sequences to real devices, collects responses, checks deviations from expected behavior, and reports crash-level and logic flaws.",CVE and bug-bounty counts are aggregate in the reviewed material; no concrete CVE/vendor record was checked against a system output.
C09,CP102,RFCAUDIT,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,verified_by_zotero,standard_core_entry,Review the public paper and any public artifact or project materials for record CP102 / title: RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,candidate judgment,"RFCAUDIT's strongest visible output is LLM-assisted comparison of protocol specifications and implementation logic, producing functional bug reports and conformance judgments.","Some fixes/confirmations are mentioned, but I did not find item-level public external records or runtime replay evidence in the reviewed windows."
C10,CP075,VulAgent,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,arXiv preprint,standard_core_entry,Review the public paper and any public artifact or project materials for record CP075 / title: VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,candidate judgment,"VulAgent primarily emits vulnerability hypotheses/detection reports through multi-agent reasoning over code and evaluation datasets, without visible runtime triggering or replay material.","Reported benchmark accuracy and possible report release do not by themselves establish runtime, reproducible, or external trace evidence."
C11,CP076,MALF,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP076 / title: MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,"MALF is evaluated through protocol fuzzing of ICS targets with generated test cases, execution exceptions, coverage, and runtime bug-triggering signals.",CNVD/zero-day references are aggregate and not mapped to item-level public records in the reviewed material.
C12,CP077,NeTestLLM,NeTestLLM: automated network protocol testing with LLM agents,arXiv preprint,standard_core_entry,Review the public paper and any public artifact or project materials for record CP077 / title: NeTestLLM: automated network protocol testing with LLM agents. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,controlled task completion,"NeTestLLM generates protocol test cases and executable testing artifacts, uses runtime feedback to refine them, and measures coverage of historical FRRouting bugs in a controlled testing setting.",The output is stronger than a static judgment but is mainly a protocol-testing benchmark/workflow result rather than public vulnerability replay material.
C13,CP078,PBFuzz,PBFuzz: agentic directed fuzzing for PoV generation,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP078 / title: PBFuzz: agentic directed fuzzing for PoV generation. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,"PBFuzz's core output is Proof-of-Vulnerability input generation, using debugging feedback and property-based testing to trigger benchmark vulnerabilities within a fixed budget.",Evidence is benchmark-based; I did not inspect individual generated PoV files.
C14,CP080,Co-RedTeam,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP080 / title: Co-RedTeam: orchestrated security discovery and exploitation with LLM agents. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,controlled task completion,"Co-RedTeam is evaluated on cybersecurity benchmarks with discovery/exploitation stages, isolated execution feedback, and measured exploitation success rates.",The paper reports benchmark success rather than public per-finding replay artifacts or external disclosure alignment.
C15,CP081,Real-world Pentest Agent Study,What makes a good LLM agent for real-world penetration testing?,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP081 / title: What makes a good LLM agent for real-world penetration testing?. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,controlled task completion,"PentestGPT V2 is evaluated by task completion on CTF, VulnHub/HTB-style machines, and GOAD Active Directory hosts, including measured compromise/solving outcomes.",These are controlled benchmark or lab environments; no public item-level vulnerability disclosure or replay package was checked.
C16,CP082,LLMVD.js,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP082 / title: Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,"LLMVD.js scans Node.js packages, proposes vulnerabilities, generates proof-of-concept exploits, and validates them through lightweight execution oracles.",Some newly found package vulnerabilities are reported only as validated exploit counts; no external records were checked item by item.
C17,CP083,Multi-Agent Harnesses,Synthesizing multi-agent harnesses for vulnerability discovery,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP083 / title: Synthesizing multi-agent harnesses for vulnerability discovery. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,"AgentFlow reads runtime signals from target programs, uses instrumented execution/sanitizer-style feedback, and reports real-crash vulnerability discovery in Chrome plus benchmark performance.","Specific CVE IDs are named, but I did not find an independent public CVE/vendor record in the quick external check, so I did not code this as externally traceable."
C18,CP084,PentestAgent,PentestAgent: incorporating LLM agents to automated penetration testing,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP084 / title: PentestAgent: incorporating LLM agents to automated penetration testing. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,controlled task completion,"PentestAgent is evaluated on a VulHub/CTF-style penetration-testing benchmark with measured completion of intelligence gathering, vulnerability analysis, and exploitation tasks.","The public framework/benchmark supports controlled evaluation, but not item-level external vulnerability evidence."
C19,CP085,LIVA,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP085 / title: LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,candidate judgment,LIVA uses LLM-assisted taint/source-sink analysis and a vulnerability inference agent to produce IoT vulnerability findings; the reviewed evidence is primarily static/inference-based reporting.,"CVE/CNVD identifiers and a public dataset are reported, but I did not verify item-level external records or runtime PoC validation for the findings."
C20,CP089,FirmAgent,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP089 / title: FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,"FirmAgent combines fuzzing-collected runtime input points, LLM taint analysis, and refinement of fuzzing-generated test cases into PoC test cases for IoT firmware vulnerabilities.",CVE counts are aggregate and not used for the label; the classification rests on PoC generation/validation evidence.
C21,CP094,PANGOLIN,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP094 / title: PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,PANGOLIN fuzzes physical multilingual IoT devices using LLM-generated interface/parameter specifications and response-based feedback to uncover vulnerabilities.,Vendor confirmations and assigned IDs are aggregate; no public item-level external or replay evidence was checked.
C22,CP095,TransferFuzz-Pro,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,journal article,standard_core_entry,Review the public paper and any public artifact or project materials for record CP095 / title: TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,"TransferFuzz-Pro verifies propagated vulnerabilities by generating PoCs with LLM-driven debugging and binary-level instrumentation, automatically validating triggerability across targets.","Although CVE-listed seeds are involved, the label is based on PoC/validation behavior rather than external record alignment."
C23,CP130,Cybench,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP130 / title: Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,controlled task completion,"Cybench provides public CTF-style cybersecurity tasks with executable environments, observations, submissions, and binary success/failure evaluators for agent task completion.",It measures benchmark capability rather than producing new vulnerability evidence or external disclosure artifacts.
C24,CP131,BountyBench,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP131 / title: BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,"BountyBench includes real-code benchmark environments for Detect, Exploit, and Patch tasks, public code/run logs, and evaluator-scored submissions including exploit and patch outcomes.","The evidence is reproducible within benchmark infrastructure, not an item-level public bug-bounty disclosure trace."
C25,CP132,SEC-bench,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP132 / title: SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,"SEC-bench constructs repositories, harnesses, reproduced vulnerabilities, gold patches, and public datasets for PoC generation and vulnerability patching evaluation.",This is benchmark-contained reproducibility; it does not by itself show external disclosure confirmation for agent outputs.
C26,CP133,CyberGym,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,preprint/project page,standard_core_entry,Review the public paper and any public artifact or project materials for record CP133 / title: CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,CyberGym gives agents codebases and vulnerability descriptions and evaluates generated PoC tests against pre/post-patch executables for vulnerability reproduction at scale.,Zero-day and incomplete-patch claims were not used as external trace evidence because item-level public records were not checked.
C27,GB001,AgentFuzz,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-Based Agents,peer_reviewed,governance_boundary_case,Review the public USENIX Security 2025 paper and public Open Science artifact for GB001 / AgentFuzz. C27 is included as a governance boundary case rather than the target-software vulnerability-evidence main line; independently judge whether the strongest evidence output should be coded as governance boundary case under evidence_output_codebook.md. Do not consult original labels or adjudication files before independent coding.,governance boundary case,"AgentFuzz targets taint-style vulnerabilities in LLM-based agents themselves, making the study primarily about governance/safety boundaries of agentic systems rather than ordinary target-software vulnerability mining.","It also has fuzzing/runtime and CVE-style evidence, but the boundary role dominates for this corpus coding decision."
C28,CP206,FuzzingBrain V2,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP206 / title: FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,"FuzzingBrain V2 is built on OSS-Fuzz-style dynamic analysis, emphasizes fuzzer-reproducible vulnerabilities, and claims 100% reproducibility for confirmed findings plus submission-ready reports.",Maintainer confirmations and CVE IDs are aggregate; I used the fuzzing reproduction evidence rather than external trace claims.
C29,CP207,DrillAgent,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP207 / title: Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,DrillAgent is explicitly a Proof-of-Vulnerability generation system that uses concrete execution-state feedback to produce deterministic PoVs for validation and patch-verification workflows.,Evaluation is on SEC-bench; individual generated PoVs were not inspected.
C30,CP208,OSS-CRS,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP208 / title: OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,OSS-CRS ports AIxCC CRS capabilities into a public local framework where bug finding produces PoVs and bug fixing validates patches by rebuilding and rerunning tests.,Reported newly found bugs are not treated as external trace evidence; the label rests on public CRS PoV/patch validation workflow.
C31,CP209,GONDAR,Contextualizing Sink Knowledge for Java Vulnerability Discovery,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP209 / title: Contextualizing Sink Knowledge for Java Vulnerability Discovery. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,Public GONDAR materials describe exploration plus exploitation agents that synthesize proof-of-concept inputs and use runtime feedback to validate Java vulnerability triggering on real-world benchmarks.,Local Zotero full text was unavailable during the formal pass; coding relies on the public paper page/abstract rather than inspecting a released artifact or item-level external disclosure.
