field,label,count,denominator,share,unresolved,reportable_point_estimate,interpretation_scope
lifecycle coverage,candidate analysis,153,199,0.768844,0,yes,adjudicated distribution
lifecycle coverage,path and input exploration,77,199,0.386935,0,yes,adjudicated distribution
lifecycle coverage,execution observation,115,199,0.577889,0,yes,adjudicated distribution
lifecycle coverage,reproduction and validation,79,199,0.396985,0,yes,adjudicated distribution
lifecycle coverage,patch validation,33,199,0.165829,0,yes,adjudicated distribution
lifecycle coverage,reporting and audit,43,199,0.216080,0,no,adjudicated descriptive outcome only
lifecycle coverage,no qualifying label observed,10,199,0.050251,0,yes,adjudicated distribution
cross-stage capability,context aggregation / rule extraction,97,199,0.487437,0,yes,adjudicated distribution
cross-stage capability,tool routing / strategy routing,59,199,0.296482,0,yes,adjudicated distribution
cross-stage capability,feedback interpretation / loop adjustment,92,199,0.462312,0,yes,adjudicated distribution
cross-stage capability,validation organization / evidence packaging,69,199,0.346734,0,yes,adjudicated distribution
cross-stage capability,long-horizon state management,41,199,0.206030,0,yes,adjudicated distribution
cross-stage capability,failure reuse / strategy update,27,199,0.135678,0,yes,adjudicated distribution
cross-stage capability,governance / human gates / disclosure control,9,199,0.045226,0,yes,adjudicated distribution
cross-stage capability,no qualifying label observed,65,199,0.326633,0,yes,adjudicated distribution
primary system shape,candidate-analysis system,41,199,0.206030,0,yes,adjudicated distribution
primary system shape,feedback-driven fuzzing agent,33,199,0.165829,0,yes,adjudicated distribution
primary system shape,"reproduction-, validation-, and repair-centered agent",70,199,0.351759,0,yes,adjudicated distribution
primary system shape,long-horizon pentest and CRS agent,55,199,0.276382,0,yes,adjudicated distribution
principal reported evidence output,candidate judgment,51,199,0.256281,0,yes,adjudicated distribution
principal reported evidence output,controlled task completion,56,199,0.281407,0,yes,adjudicated distribution
principal reported evidence output,runtime safety signal,19,199,0.095477,0,yes,adjudicated distribution
principal reported evidence output,reproducible validation,70,199,0.351759,0,yes,adjudicated distribution
principal reported evidence output,externally traceable material,3,199,0.015075,0,yes,adjudicated distribution
external traceability,no external trace reported,26,199,0.130653,0,yes,adjudicated distribution
external traceability,author-reported external clue,41,199,0.206030,0,yes,adjudicated distribution
external traceability,benchmark ground truth / public material,128,199,0.643216,0,yes,adjudicated distribution
external traceability,publicly aligned external trace,4,199,0.020101,0,yes,adjudicated distribution
