task_id,case_id,study_title,field,field_type,allowed_labels,source_url,included_local_file,evidence_location_lead,evidence_excerpt_lead,final_label,verified_evidence_locator,brief_reason,confidence,unresolved,reviewer_initials,review_date,completion_check
R2-001,A168,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,primary system shape,single-label,"candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent",https://www.cybergym.io/,papers/A168.txt,"https://www.cybergym.io/ | Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis). | excerpt pages 2, 6","[p.2] Target Vulnerability Description Target Vulnerability Reproduced Pre-Patch Executable Post-Patch Executable 0-day Vulnerability Latest Executable Codebase (Pre-Patch) src/ tests/ Makeﬁle doc/ Incomplete Patch Post-Patch Executable Evaluating Agent-Generated PoCs Benchmarking Security Impact Figure 1: CyberGym includes 1,507 instances from real-world vulnerabilities across 188 diverse projects. [p.6] Table 3 shows key statistics of CyberGym: (i) the vulnerability descriptions contain sufficient information for reproduction but have varied granularity, with a median length of 24 words, while a few reach up to 158 words; (ii) the ground truth PoCs exhibit significant size variation, ranging from several bytes to over 1 MB, reflecting the diversity of input formats and attack vectors across different executable types; (iii) the codebases are substantial, with a median of 1,117 files and 387,491 lines of code, spanning from tens of thousands to millions of lines of code across project","reproduction-, validation-, and repair-centered agent","p.1, Abstract and Fig. 1; papers/A168.txt",摘要将主任务限定为：给定漏洞文字描述和代码库，agent 生成能复现漏洞的 PoC；同页说明 PoC 要在修复前、修复后可执行文件上运行以确认复现成功，并将不完整补丁与 zero-day 分析列为平台扩展用途。前两项构成复现与验证中心，后项说明修复状态分析属于系统范围；论文没有声称 agent 自行提交修补代码。,high,no,OY,2026-08-24,ready
R2-002,A049,NeTestLLM: automated network protocol testing with LLM agents,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/abs/2510.13248,papers/A049.pdf,"https://arxiv.org/abs/2510.13248 | Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study). | excerpt pages 6, 1","[p.6] Based on the testing importance and section classification from the high-level protocol analysis results (§ 4.1), we design a threshold-based method to evaluate important sections. [p.1] NeTestLLM employs hierarchical protocol understanding to capture complex specifications, iterative test case generation to improve coverage, a task-specific work- flow for executable artifact generation, and runtime feedback analysis for debugging and refinement.",candidate analysis; path and input exploration; execution observation; reporting and audit,"p.1-2, Abstract and Sec. 3; p.4, Fig. 3; p.9, Sec. 4; papers/A049.pdf",NeTestLLM 先对协议规范做分层理解，再迭代生成测试用例；Fig. 3 将规范分析、测试用例生成/验证、可执行工件、测试床、Test Report 与 Runtime Logs 连成一条流程。p.9 还说明生成脚本先检查、再进入人工最终审查。因此可以标出候选分析、输入探索、执行观察和报告审计；论文没有把历史 bug 覆盖实验写成系统对特定漏洞的复现验证。,high,no,OY,2026-08-24,ready
R2-003,A073,Chai: Agentic Discovery of Cryptographic Misuse Vulnerabilities,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2606.26933,papers/A073.pdf,action p.1; validation p.1,"[action p.1] iques from to be a single protocol is in fact a composition of several static analysis and fuzzing to end-to-end penetration test- specifications for signing, encryption, algorithms, and key ing. Historically, defenders have benefited from the scarce handling, realized independently across dozens of libraries expertise need [validation p.1] JWA node:crypto JWK/JWKS that discovers and validates cryptographic misuse vulnera- (RFC 7518) (RFC 7517) bilities through naturally occurring signals. To achieve this, RSA",candidate analysis; path and input exploration; execution observation; reproduction and validation; reporting and audit,"p.5, Sec. 3; p.6, Fig. 4 and replay/minimization; p.7, Stage 2-3; papers/A073.pdf",Chai 的 Fig. 4 明确写出 Plan 用 RAG 取得库源码/CVE 信息，Execute mutation 并构造候选输入，Analyze 对 differential 做最小化、分类和报告，结果再反馈到循环。p.6 的 deterministic replay/minimization 排除不能重现的 differential；p.7 的 Stage 2-3 要在 sandbox 中生成 PoC，并以 genuine programmatic result 晋级。这个链条支持五个所选阶段。p.2 和 p.11 的 maintainer 修补是论文作者与维护者的后续动作，不计为 patch validation。,high,no,OY,2026-08-24,ready
R2-004,A188,Argus: Reorchestrating Static Analysis via a Multi-Agent Ensemble for Full-Chain Security Vulnerability Detection,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/abs/2604.06633,papers/A188.pdf,"paper p.4, Fig.2; p.6, Re3 retrieval, recursion, and review workflow",The multi-agent workflow routes retrieved evidence through recursive analysis and review stages; inspect whether prior outputs alter later actions.,context aggregation / rule extraction; validation organization / evidence packaging,"p.4-5, Sec. 3.2.1; p.6, Sec. 3.2.2; papers/A188.pdf",Argus 先解析项目依赖和源码中的实际用法，再把依赖信息传给后续分析；RAG 将 NVD、OSV、GHSA、Snyk 等结果整理成含描述、严重性、受影响版本和 CVE ID 的结构化对象。Re3 的 Review 阶段随后核查候选数据流，最后把 data-flow results、verification outcomes 和 structured vulnerability report 导出供专家审查。这里存在“依赖/检索信息 -> 后续分析与证据打包”的明确链条，故只选两个对应标签。,high,no,OY,2026-08-24,ready
R2-005,A192,Can LLMs Patch Security Issues?,principal reported evidence output,single-label,candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material,https://arxiv.org/pdf/2312.00024,papers/A192.pdf,validation p.1; evaluation p.1,"[validation p.1] websites, and operating systems. We empir- ically validate that FDSP outperforms prior work that uses self-feedback from LLMs by posed a self-debugging technique, wherein LLMs up to 17.6% through our procedure that injects [evaluation p.1] k to the same available at https://github.com/Kamel773/ LLMs for evaluation and further refinement. LLM-code-refine However, code generated by LLMs could in- clude security vulnerabilities. Vulnerabilities in 1 Introduction",controlled task completion,"p.1, Abstract and Fig. 1; p.6-7, Sec. 5 and Table 2; p.8, Table 3; papers/A192.pdf",FDSP 以 Bandit 反馈驱动生成、测试、方案生成和代码细化；实验在 LLMSecEval、SecurityEval 和 PythonSecurityEval 上报告各方法剩余漏洞比例，Table 3 进一步比较单方案、单迭代与完整 FDSP。论文主要呈现的是受控数据集上的修复/细化任务完成表现，而不是逐项公开漏洞记录或公开 PoC 对齐材料。,high,no,OY,2026-08-24,ready
R2-006,A166,From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2511.08060,papers/A166.pdf,action p.1; validation p.2,"[action p.1] ecurity patches is often LLM-based agents for security patch detection. Specifically, we subjective [3], [4], as software vendors may release security investigate three methods: Plain LLM (a single LLM with a updates silently, without sufficient public disclosure [5]. Given system prompt), Data-Aug LLM ( [validation p.2] hieve their highest precision in the relationships among multiple code changes. CWE-20 (Input Validation) category, their highest accuracy In recent years, Large Language Models (LLMs) have and F1 score in the CWE-264 (Authorization Management) achieved remarkable success across a wide range of domains category. 5) In most cases, the CoT prompting strategy is the [18], including code generation [19]–[21], code repair [22]–",candidate analysis,"p.1, Abstract and Introduction; papers/A166.pdf",本文的研究对象是安全补丁检测：比较 Plain LLM、Data-Aug LLM 和利用 thought-action-observation 的 ReAct Agent，并按漏洞类型、提示策略和上下文窗口分析检测性能。论文报告的是识别安全补丁的准确率与误报率，没有把 agent 实际修补、执行补丁前后程序或验证修复效果作为该任务的能力。因此该 lifecycle 字段只保留 candidate analysis。,high,no,OY,2026-08-24,ready
R2-007,A127,Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities,external traceability,single-label,no external trace reported | author-reported external clue | benchmark ground truth / public material | publicly aligned external trace,https://arxiv.org/pdf/2607.12723,papers/A127.pdf,evaluation p.2; validation p.1,"[evaluation p.2] tion of generated patches. to be accepted or merged by the mainstream Linux kernel Extensive real-world evaluations demonstrate the efficacy of community. The open-source community adopts the approach this approach, as Bulkhead successfully identified 9 deep- of vulnerability detection and patching case by case, which is seated logic vulnerabilities in mainstream repositories, result- error-prone. A classic example is the evolution of CVE-2018- ing in the [validation p.1] as GPUs and agent workspaces, into containers to support AI through direct, unvalidated path resolution or by exploiting workloads. Existing defenses remain inadequate. Kernel-level the brief time window between validation and actual resource protections are intrusive, can destabilize system calls, and have utilization [4], [5].",author-reported external clue,"p.1-2, Abstract and Introduction; p.8, Detection Results; papers/A127.pdf",Bulkhead 报告在真实容器生态中发现 9 个此前未公开的漏洞，称每个案例生成了 functional PoC，并已向维护者提交详细报告；同段只说明其中 3 个后来获得 CVE 标识。论文没有为这些结果提供逐项可公开访问且可定位的 trigger/replay/PoC 与外部漏洞记录对应关系，所以这些内容只能作为作者报告的外部线索，不能升级为 publicly aligned external trace。,medium,no,OY,2026-08-24,ready
R2-008,A163,SecureFixAgent: A Hybrid LLM Agent for Automated Python Static Vulnerability Repair,principal reported evidence output,single-label,candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material,https://arxiv.org/pdf/2509.16275,papers/A163.pdf,validation p.1; evaluation p.1,"[validation p.1] classes of vulnerabilities. However, static analyzers suffer from lack self-validation. We present SecureFixAgent, a hybrid repair notable drawbacks: they tend to generate high false-positive framework integrating Bandit with lightweight local LLMs rates, burdening developers with unnecessary manual triage, (<8B parameters) in an iterati [evaluation p.1] promise in automating code repair. Code-specialized and reduce cloud reliance. Experiments show SecureFixAgent reduces false positives by 10.8% over static analysis, improves LLMs can analyze vulnerable snippets, reason about flaws, fix accuracy by 13.51%, and lowers false positives by 5.46% and generate candidate fixes [18]. Industry tools such as",controlled task completion,"p.1, Abstract; p.3, Sec. III; p.5, Table III; papers/A163.pdf",SecureFixAgent 的主要实验输出是修复任务指标：Table III 报告不同配置的 fix accuracy、false positives、平均收敛迭代次数和解释质量，完整系统的 fine-tuned 配置达到 87.83% fix accuracy 和 8.11% false positives。p.3 的流程说明补丁反复由 Bandit 重分析，但本文主要向读者报告的是受控修复任务的完成表现，不是逐项公开漏洞材料。,high,no,OY,2026-08-24,ready
R2-009,A001,AWE: Adaptive Agents for Dynamic Web Penetration Testing,principal reported evidence output,single-label,candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material,https://arxiv.org/pdf/2603.00960,papers/A001.pdf,validation p.1; evaluation p.1,"[validation p.1] and poor to appear across most real world applications [1]. Despite reproducibility. ongoing advancements in secure development practices, these We introduce AWE, a memory-augmented multi-agent frame- vulnerability classes remain persistent. The widening gap work for autonomous web pe [evaluation p.1] ted, explainable, and scalable vulnerability and general-purpose architectures. Our results demonstrate that discovery in modern web applications. architecture matters as much as model reasoning capabilities: integrating LLMs into principled, vulnerability-aware pipelines II. T HREAT M ODEL yields substantial gain",controlled task completion,"p.1, Abstract; p.5, XBOW Benchmark; p.6, Table I and Sec. VI; papers/A001.pdf",AWE 的主评估是在 104 个 XBOW challenge 上完成端到端 exploit；p.1 给出 XSS 87% 与 blind SQL injection 66.7% 的成功率，p.6 的 Table I 再报告 AWE 51.9%（54/104）的 solve rate。论文主要报告的是受控基准任务的完成/成功结果；XBOW benchmark 的存在本身不构成逐项公开漏洞记录，因此不选 externally traceable material。,high,no,OY,2026-08-24,ready
R2-010,A025,Mystique: Automated Vulnerability Patch Porting with Semantic and Syntactic-Enhanced LLM,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://chenbihuan.github.io/paper/fse25-wu-mystique.pdf,papers/A025.pdf,action p.2; validation p.2,"[action p.2] nd increasing vulnerability exposure [20, 41]. Existing Approaches. Various approaches have been proposed to automatically port patches for mitigating this problem. Pattern-based approaches, such as FixMorph [41] and TSBPORT [62], rely on predefined patch patterns to automatically port patches within local code hunks. FixMorph [41] primarily utilizes syntactic information to port patches. However, its heavy reliance on syntactic patterns often leads to the [validation p.2] ink functions, limiting its applicability to certain types of vulnerabilities. PatchWeave [42] utilizes the exploitable test cases to guide patch porting. However, the vulnerability may lack exploitable test cases, limiting the practical effectiveness. Challenges. We summarize two main challenges of the existing approaches. (C1) Pattern-based approaches work at the hunk level, often missing vulnerability-relevant semantic information outside the modified code segment, and LLM-based",candidate analysis; patch validation,"p.3, Sec. 1 Our Approach; p.10, Sec. 3.5.2; p.11, Sec. 3.5; papers/A025.pdf",Mystique 从原分支 patch function 提取包含 pre-patch 与 post-patch 的漏洞相关 signature，再在目标分支定位对应 vulnerable function；生成 fixed function 后，Sec. 3.5.2 针对 semantic、placeholder 和 syntactic anomalies 做检查，p.11 说明会继续 refine 直到异常消失或达到限制。这是对候选漏洞函数的分析以及对补丁结果的直接检查，故选 candidate analysis 与 patch validation；论文未在此流程中报告输入探索或漏洞复现。,high,no,OY,2026-08-24,ready
