matrix_id,record_id,coding_round,field,original_label,current_codebook_candidate_label,change_required,evidence_basis,source_location,uncertainty,author_review_status,final_harmonized_label
C01,CP014,initial_frozen_round,lifecycle_coverage,path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation,yes,包含Code Analysis Agent、Input Generation Agent、Feedback Agent，分别负责分析、策略生成和执行反馈/种群演化。,data/v13_core_synthesis_matrix.csv:C01; data/core_coding.csv:C01,medium; secondary stage inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,candidate analysis;path and input exploration;execution observation
C01,CP014,initial_frozen_round,primary_system_shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C01; data/core_coding.csv:C01,none,not_required_schema_normalization,feedback-driven fuzzing agent
C01,CP014,initial_frozen_round,overlay_tags,feedback-driven fuzzing agent,,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C01; data/core_coding.csv:C01,none,not_required_schema_normalization,
C01,CP014,initial_frozen_round,cross_stage_capabilities,feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,yes,包含Code Analysis Agent、Input Generation Agent、Feedback Agent，分别负责分析、策略生成和执行反馈/种群演化。,data/v13_core_synthesis_matrix.csv:C01; data/core_coding.csv:C01,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging
C01,CP014,initial_frozen_round,strongest_evidence_output,runtime safety signal,runtime safety signal,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C01; data/core_coding.csv:C01,none,not_required,runtime safety signal
C01,CP014,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C01; data/core_coding.csv:C01,none,not_required,no external trace reported
C02,CP015,initial_frozen_round,lifecycle_coverage,reproduction and validation;reporting and audit,execution observation;reproduction and validation;reporting and audit,yes,包含AI-ExploitGen和AI-Analyzer两个LLM驱动组件，并通过MCP服务器协调候选exploit生成、验证、反馈和报告。,data/v13_core_synthesis_matrix.csv:C02; data/core_coding.csv:C02,medium; secondary stage inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,execution observation;reproduction and validation;reporting and audit
C02,CP015,initial_frozen_round,primary_system_shape,PoC/PoV validation agent,"reproduction-, validation-, and repair-centered agent",schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C02; data/core_coding.csv:C02,none,not_required_schema_normalization,"reproduction-, validation-, and repair-centered agent"
C02,CP015,initial_frozen_round,overlay_tags,PoC/PoV validation agent,,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C02; data/core_coding.csv:C02,none,not_required_schema_normalization,
C02,CP015,initial_frozen_round,cross_stage_capabilities,feedback interpretation / loop adjustment;validation organization / evidence packaging,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,yes,包含AI-ExploitGen和AI-Analyzer两个LLM驱动组件，并通过MCP服务器协调候选exploit生成、验证、反馈和报告。,data/v13_core_synthesis_matrix.csv:C02; data/core_coding.csv:C02,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging
C02,CP015,initial_frozen_round,strongest_evidence_output,reproducible validation,reproducible validation,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C02; data/core_coding.csv:C02,none,not_required,reproducible validation
C02,CP015,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C02; data/core_coding.csv:C02,none,not_required,no external trace reported
C03,CP025,initial_frozen_round,lifecycle_coverage,path and input exploration;execution observation,path and input exploration;execution observation,no,Existing label already uses the current controlled vocabulary.,data/v13_core_synthesis_matrix.csv:C03; data/core_coding.csv:C03,none,not_required,path and input exploration;execution observation
C03,CP025,initial_frozen_round,primary_system_shape,feedback-driven fuzzing agent;multi-agent orchestration overlay,feedback-driven fuzzing agent,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C03; data/core_coding.csv:C03,none,not_required_schema_normalization,feedback-driven fuzzing agent
C03,CP025,initial_frozen_round,overlay_tags,feedback-driven fuzzing agent;multi-agent orchestration overlay,multi-agent orchestration,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C03; data/core_coding.csv:C03,none,not_required_schema_normalization,multi-agent orchestration
C03,CP025,initial_frozen_round,cross_stage_capabilities,long-horizon state management,long-horizon state management,no,Legacy textual-reflection label removed from the formal controlled field and retained in legacy_notes.,data/v13_core_synthesis_matrix.csv:C03; data/core_coding.csv:C03,none,not_required,long-horizon state management
C03,CP025,initial_frozen_round,strongest_evidence_output,runtime safety signal,runtime safety signal,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C03; data/core_coding.csv:C03,none,not_required,runtime safety signal
C03,CP025,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C03; data/core_coding.csv:C03,none,not_required,no external trace reported
