field,label,scope_n,author_harmonized_count,coder2_substitution_count,absolute_difference,direction
lifecycle_coverage,candidate analysis,67,48,62,14,coder2_higher
lifecycle_coverage,execution observation,67,56,59,3,coder2_higher
lifecycle_coverage,patch validation,67,12,13,1,coder2_higher
lifecycle_coverage,path and input exploration,67,46,55,9,coder2_higher
lifecycle_coverage,reporting and audit,67,24,57,33,coder2_higher
lifecycle_coverage,reproduction and validation,67,36,51,15,coder2_higher
cross_stage_capabilities,context aggregation / rule extraction,67,51,60,9,coder2_higher
cross_stage_capabilities,failure reuse / strategy update,67,15,25,10,coder2_higher
cross_stage_capabilities,feedback interpretation / loop adjustment,67,58,60,2,coder2_higher
cross_stage_capabilities,governance / human gates / disclosure control,67,4,5,1,coder2_higher
cross_stage_capabilities,long-horizon state management,67,30,27,3,coder2_lower
cross_stage_capabilities,tool routing / strategy routing,67,44,60,16,coder2_higher
cross_stage_capabilities,validation organization / evidence packaging,67,55,60,5,coder2_higher
primary_system_shape,candidate-analysis system,67,16,11,5,coder2_lower
primary_system_shape,feedback-driven fuzzing agent,67,17,17,0,same
primary_system_shape,long-horizon pentest and CRS agent,67,14,17,3,coder2_higher
primary_system_shape,"reproduction-, validation-, and repair-centered agent",67,20,22,2,coder2_higher
strongest_evidence_output,candidate judgment,67,6,6,0,same
strongest_evidence_output,controlled task completion,67,13,13,0,same
strongest_evidence_output,externally traceable material,67,4,11,7,coder2_higher
strongest_evidence_output,reproducible validation,67,31,31,0,same
strongest_evidence_output,runtime safety signal,67,13,6,7,coder2_lower
external_traceability,author-reported external clue,67,22,18,4,coder2_lower
external_traceability,benchmark ground truth / public material,67,23,29,6,coder2_higher
external_traceability,no external trace reported,67,17,8,9,coder2_lower
external_traceability,not reported,67,1,0,1,coder2_lower
external_traceability,publicly aligned external trace,67,4,12,8,coder2_higher
