"case_id","matrix_id","system_alias","title","fang_label","zhao_label","independent_agreement","rong_final_label","final_label","final_mismatch_dimension","final_confidence","adjudicator_reason","evidence_locator","material_availability","fang_evidence_locator_status","zhao_evidence_locator_status","final_principal_output","final_external_traceability"
"F001","U22","Automation-Exploit","Automation-Exploit: A Multi-Agent LLM Framework for Adaptive Offensive Security with Digital Twin-Based Risk-Mitigated Exploitation","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.22427","full_public_source","located","located","controlled task completion","no external trace reported"
"F002","U25","V2E","V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.13611","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F003","FMS1149","RapidPen","RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2502.16730","full_public_source","located","located","controlled task completion","no external trace reported"
"F004","U27","Argus","Argus: Reorchestrating Static Analysis via a Multi-Agent Ensemble for Full-Chain Security Vulnerability Detection","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.06633","full_public_source","located","located","candidate judgment","author-reported external clue"
"F005","U26","COBALT-TLA","COBALT-TLA: A Neuro-Symbolic Verification Loop for Cross-Chain Bridge Vulnerability Discovery","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.12172","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F006","U29","Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco","Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Discovery","aligned","overclaim","no","overclaim","overclaim","scope;novelty;external_confirmation","high","The central claim adds a material scope, novelty, external-confirmation, comparative, or generalization implication that is not established by the directly reported evidence. The reported result is retained, but the stronger implication is not.","https://arxiv.org/abs/2604.06506","full_public_source","located","located","reproducible validation","author-reported external clue"
"F007","U28","PoC-Adapt","PoC-Adapt: Semantic-Aware Automated Vulnerability Reproduction with LLM Multi-Agents and Reinforcement Learning-Driven Adaptive Policy","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.06618","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F008","FMS0509","Decoupling Reconnaissance and Exploitation","Decoupling Reconnaissance and Exploitation: Measuring the Capability Boundaries of LLM-Based Web Penetration Testing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.25332","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F009","U41","Multi-Agent Taint Specification Extraction for Vulnerability Detection","Multi-Agent Taint Specification Extraction for Vulnerability Detection","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2601.10865","full_public_source","located","located","candidate judgment","author-reported external clue"
"F010","U40","VulnResolver","VulnResolver: A Hybrid Agent Framework for LLM-Based Automated Vulnerability Issue Resolution","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2601.13933","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F011","FMS1161","Red-MIRROR","Red-MIRROR: Agentic LLM-based Autonomous Penetration Testing with Reflective Verification and Knowledge-augmented Interaction","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2603.27127","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F012","FMS0500","D-CIPHER","D-CIPHER: Dynamic Collaborative Intelligent Multi-Agent System with Planner and Heterogeneous Executors for Offensive Security","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2502.10931","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F013","FMS0598","Environment-Grounded Multi-Agent Workflow for Autonomous Penetration Testing","Environment-Grounded Multi-Agent Workflow for Autonomous Penetration Testing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2603.24221","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F014","FMS0913","LLM-based Vulnerability Detection at Project Scale","LLM-based Vulnerability Detection at Project Scale: An Empirical Study","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2601.19239","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F015","FMS1261","SecureFixAgent","SecureFixAgent: A Hybrid LLM Agent for Automated Python Static Vulnerability Repair","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1109/icmla66185.2025.00212","partial_public_source","abstract_only","located","controlled task completion","author-reported external clue"
"F016","FMS0916","LLM-Driven SAST-Genius","LLM-Driven SAST-Genius: A Hybrid Static Analysis Framework for Comprehensive and Actionable Security","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2509.15433","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F017","FMS0904","LLM Agents for Automated Web Vulnerability Reproduction","LLM Agents for Automated Web Vulnerability Reproduction: Are We There Yet?","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2510.14700","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F018","FMS0389","CKG-LLM","CKG-LLM: LLM-Assisted Detection of Smart Contract Access Control Vulnerabilities Based on Knowledge Graphs","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2512.06846","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F019","FMS0914","LLM-BSCVM","LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2505.17416","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F020","FMS0226","Artificial Intelligence as the New Hacker","Artificial Intelligence as the New Hacker: Developing Agents for Offensive Security","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2406.07561","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F021","FMS0254","Automated Penetration Testing with LLM Agents and Classical Planning","Automated Penetration Testing with LLM Agents and Classical Planning","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2512.11143","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F022","FMS0257","Automated Vulnerability Validation and Verification","Automated Vulnerability Validation and Verification: A Large Language Model Approach","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2509.24037","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F023","FMS0297","Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for","Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2503.03586","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F024","FMS0443","ContractTinker","ContractTinker: LLM-Empowered Vulnerability Repair for Real-World Smart Contracts","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3691620.3695349","partial_public_source","abstract_only","located","controlled task completion","benchmark ground truth / public material"
"F025","C26","CyberGym","CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://www.cybergym.io/","partial_public_source","abstract_only","located","reproducible validation","author-reported external clue"
"F026","C25","SEC-bench","SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2506.11791","full_public_source","located","located","reproducible validation","author-reported external clue"
"F027","FMS0842","Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs","Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://orcid.org/0009-0004-1073-526X","partial_public_source","abstract_only","located","controlled task completion","benchmark ground truth / public material"
"F028","C24","BountyBench","BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://bountybench.github.io/","partial_public_source","abstract_only","located","candidate judgment","benchmark ground truth / public material"
"F029","FMS0927","LLM4CVE","LLM4CVE: Enabling Iterative Automated Vulnerability Repair with Large Language Models","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2501.03446","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F030","C23","Cybench","Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://proceedings.iclr.cc/paper_files/paper/2025/hash/3e9412a9c1d93810ef3ef7825115016b-Abstract-Conference.html","partial_public_source","abstract_only","located","controlled task completion","no external trace reported"
"F031","FMS0258","Automatic, Expressive, and Scalable Fuzzing with Stitching","Automatic, Expressive, and Scalable Fuzzing with Stitching","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2602.18689","full_public_source","located","located","externally traceable material","publicly aligned external trace"
