matrix_id,system,primitive_family,use_role,named_tools,source_location,role_assignment_basis,extraction_note
C01,UniFuzz,static_taint_specification,workflow-active use,Slither;EVM execution;vulnerability oracles,"Reviewed full text, p.1, 2",Explicit matches: Static analysis; static analysis; Static Analysis; slither; Slither.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C01,UniFuzz,fuzzing_input_harness,workflow-active use,Slither;EVM execution;vulnerability oracles,"Reviewed full text, p.1, 2, 3, 4, 5, 6",Explicit matches: Fuzzing; fuzzing; input generation.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C01,UniFuzz,runtime_oracle,both,Slither;EVM execution;vulnerability oracles,"Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C02,ReForge,fuzzing_input_harness,workflow-active use,AFL++;Python PoC execution,"Reviewed full text, p.1, 2, 3, 4, 5, 6",Explicit matches: Fuzzing; AFL; fuzzing.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C02,ReForge,runtime_oracle,both,AFL++;Python PoC execution,"Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C02,ReForge,replay_poc_pov,workflow-active use,AFL++;Python PoC execution,"Reviewed full text, p.1, 2, 3, 4, 5, 6",Explicit matches: proof-of-concept; PoC.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C03,Multi-Agent Collaborative Smart Contract Fuzzing,fuzzing_input_harness,both,EVM execution;testing oracle,"Reviewed full text, p.1, 2, 3, 4, 5, 6, 7, 8",Explicit matches: Fuzzing; fuzzer; fuzzing.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C03,Multi-Agent Collaborative Smart Contract Fuzzing,runtime_oracle,workflow-active use,EVM execution;testing oracle,"Reviewed full text, p.4, 6",Explicit matches: execution trace; execution feedback; runtime feedback; test oracle.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C04,FuzzingBrain,fuzzing_input_harness,both,libFuzzer;Jazzer;sanitizers;PoV and patch validation,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C04,FuzzingBrain,runtime_oracle,both,libFuzzer;Jazzer;sanitizers;PoV and patch validation,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C04,FuzzingBrain,replay_poc_pov,both,libFuzzer;Jazzer;sanitizers;PoV and patch validation,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C04,FuzzingBrain,patch_build_test,both,libFuzzer;Jazzer;sanitizers;PoV and patch validation,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C05,Mut4All,fuzzing_input_harness,both,compiler execution;unit-test feedback,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
