matrix_id,system,primitive_tags,named_tools,source_location,extraction_note
C01,UniFuzz,static_taint_specification;fuzzing_input_harness;runtime_oracle,Slither;EVM execution;vulnerability oracles,"Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C02,ReForge,fuzzing_input_harness;runtime_oracle;replay_poc_pov,AFL++;Python PoC execution,"Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C03,Multi-Agent Collaborative Smart Contract Fuzzing,fuzzing_input_harness;runtime_oracle,EVM execution;testing oracle,"Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C04,FuzzingBrain,fuzzing_input_harness;runtime_oracle;replay_poc_pov;patch_build_test,libFuzzer;Jazzer;sanitizers;PoV and patch validation,"Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C05,Mut4All,fuzzing_input_harness;runtime_oracle;patch_build_test,compiler execution;unit-test feedback,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C06,LLAMA,fuzzing_input_harness;symbolic_constraint;runtime_oracle,smart-contract fuzzer;selective symbolic execution;bug oracles,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C07,ProtocolGuard,static_taint_specification;runtime_oracle,RFC rule extraction;static analysis;dynamic assertions,"Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C08,BSFuzzer,static_taint_specification;fuzzing_input_harness;runtime_oracle,specification extraction;BLE test execution;stateful oracle,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C09,RFCAUDIT,static_taint_specification,RFC retrieval;static code analysis,"Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C10,VulAgent,static_taint_specification,code analysis and hypothesis validation,"Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C11,MALF,fuzzing_input_harness;runtime_oracle,protocol fuzzer;PLC execution feedback,"Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C12,NeTestLLM,fuzzing_input_harness;runtime_oracle,protocol test generation;test-result feedback,"Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C13,PBFuzz,fuzzing_input_harness;runtime_oracle;replay_poc_pov,AFL++;libFuzzer;AddressSanitizer;PoV replay,"Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C14,Co-RedTeam,runtime_oracle;replay_poc_pov;recon_scan_pentest,interactive target execution;exploit validation;reconnaissance tools,"Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C15,Real-world Pentest Agent Study,runtime_oracle;replay_poc_pov;recon_scan_pentest,Nmap;Metasploit;interactive exploit execution,"Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C16,LLMVD.js,static_taint_specification;runtime_oracle;replay_poc_pov,taint-style analysis;package execution;PoC exploits,"Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C17,Multi-Agent Harnesses,fuzzing_input_harness;runtime_oracle;replay_poc_pov,AFL++;sanitizers;generated harnesses and PoC inputs,"Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C18,PentestAgent,runtime_oracle;replay_poc_pov;recon_scan_pentest,Nmap;Metasploit;exploit execution,"Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C19,LIVA,static_taint_specification,binary taint and control-flow analysis,"Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C20,FirmAgent,static_taint_specification;fuzzing_input_harness;runtime_oracle;replay_poc_pov,taint propagation;firmware fuzzing;QEMU;PoC execution,"Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C21,PANGOLIN,static_taint_specification;fuzzing_input_harness;runtime_oracle;replay_poc_pov,entry-map analysis;protocol fuzzing;PoC execution,"Paper pp. 1–5 (Abstract and design), pp. 5–10 (specification generation/correction and fuzzing), pp. 10–14 (evaluation/disclosure), and Appendix C pp. 18–20 (IDs).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
C22,TransferFuzz-Pro,fuzzing_input_harness;runtime_oracle;replay_poc_pov,directed fuzzing;Valgrind;GDB;PoC verification,"Paper pp. 1–3 (Abstract/motivation), pp. 4–9 (LLM debugging and PoC workflow), and pp. 9–14 (RQ1–RQ5 and CVE-to-binary tables).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent."
