matrix_id,title,disagreement_direction,first_assignment,second_assignment,boundary_basis
C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C05,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C07,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C08,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C09,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C10,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C11,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C13,PBFuzz: agentic directed fuzzing for PoV generation,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C14,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C15,What makes a good LLM agent for real-world penetration testing?,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
