core_id,record_id,system_alias,title,original_a_level,original_primary_evidence_stage,original_strongest_evidence_output,original_e4_profile,original_evidence_object,original_task_category,original_artifact_note,original_environment_note,publication_status,boundary_role,coder2_strongest_evidence_output,coder2_decision_reason,coder2_uncertainty_note,coder2_a_level,coder2_primary_evidence_stage,coder2_e4_profile,coder2_evidence_object,coder2_orchestration_flag,coder2_adaptation_flag,coder2_external_confirmation_level,coder2_reproducibility_level,coder2_publication_confidence,disagreement_note,adjudication_result
C01,CP014,UniFuzz,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,A3,E2,runtime safety signal,NA,系统输出,second_coder_to_code,论文称提供open-source implementation；public metadata status recorded; ,SoliAudit 348个智能合约；Etherscan 503个生产合约。,not_publicly_available,standard_core_entry,runtime safety signal,论文报告在 SoliAudit 与 Etherscan 数据集上进行 fuzzing 评估，依据覆盖率、检测准确率和专家确认的漏洞结果形成运行期安全信号。,未检查到可公开逐项复现的 PoC/issue 链，Etherscan 部分依赖论文所述专家确认。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C02,CP015,ReForge,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,A3,E3,reproducible validation,NA,系统输出,second_coder_to_code,论文给出GitHub：https://github.com/Sohan245/ReForge；public metadata status recorded; ,C/C++目标，包括CVE-2019-13288 XPDF、buffer overflow、command injection、reverse shell等。,not_publicly_available,standard_core_entry,reproducible validation,ReForge 从 AFL++ crash 输入出发生成并验证 Python PoC exploit，论文称 GitHub artifact 包含 Docker、demo、crash 输入和对应报告材料。,未实际运行 artifact；判定依据为论文/公开 artifact 对复现实验材料的描述。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C03,CP025,Multi-Agent Collaborative Smart Contract Fuzzing,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,A4,E2,runtime safety signal,NA,系统输出,second_coder_to_code,public metadata status recorded; ,真实智能合约、DApp项目、与Oyente/Mythril/sFuzz/ConFuzzius/Smartian/MuFuzz比较。,preprint_or_arxiv_from_local_metadata,standard_core_entry,runtime safety signal,SmartFuzz/多智能体合约 fuzzing 通过 EVM 执行器、test oracles、runtime errors 和 vulnerability signals 反馈触发攻击交易序列。,未检查到逐项公开 replay artifact；源码链接在正文抽取中不完整，故保守停留在运行时信号。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C04,CP061,FuzzingBrain,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,A3 + A4 + A5,E3,reproducible validation,NA,系统输出,second_coder_to_code,论文给出GitHub仓库：github.com/o2lab/afc-crs-all-you-need-is-a-fuzzing-brain；public metadata status recorded; ,DARPA AIxCC任务与真实开源C/Java项目；具体任务集需复核。,preprint_or_arxiv_from_local_metadata,standard_core_entry,reproducible validation,FuzzingBrain 面向 AIxCC CRS 生成 PoV 触发 sanitizer error，并生成通过构建、功能测试和 PoV 回归的补丁；系统和 leaderboard 公开。,零日发现未逐项外部追踪；本标签主要依据 PoV/patch validation 工作流。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C05,CP066,Mut4All,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,A3,E2,runtime safety signal,NA,系统输出,Fuzzing/bug discovery；安全漏洞相关性待复核,论文给出artifact：https://github.com/sososopy/Mut4All-Artifacts；public metadata status recorded; ,1000个bug报告：500 Rust与500 C++；编译器目标包括rustc、gccrs、GCC、Clang。,preprint_or_arxiv_from_local_metadata,standard_core_entry,externally traceable material,Mut4All 使用 crash/hang oracle 与差分测试发现编译器 bug，公开 artifact，并报告多项 bug 已被开发者确认或修复。,未逐个核验外部 issue/修复链接；未记录任何触发 testcase 或敏感输入。,,,,,,,,,,needs adjudication: original_strongest_evidence_output=runtime safety signal; coder2_strongest_evidence_output=externally traceable material,
C06,CP068,LLAMA,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,A3,E2,runtime safety signal,NA,系统输出,智能合约fuzzing与漏洞检测,public metadata status recorded; 全文未在摘录中看到明确公开artifact声明。,多组智能合约benchmark；Dataset 4含真实部署合约抽样100个。,not_publicly_available,standard_core_entry,runtime safety signal,LLAMA 报告智能合约 fuzzing 覆盖率和已知漏洞检测结果，基于多反馈 runtime fuzzing 与行为信号。,未发现公开 replay/PoC 或外部确认链；仅按论文全文支持的运行时检测信号编码。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C07,CP071,ProtocolGuard,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,A3,E4a,reproducible validation,E4a,系统输出,second_coder_to_code,论文给出Zenodo和GitHub：https://github.com/songxpu/ProtocolGuard；public metadata status recorded; ,11个真实协议实现，覆盖6类网络协议；附加artifact包含规则抽取、切片和动态验证组件。,not_publicly_available,standard_core_entry,reproducible validation,ProtocolGuard 将协议不一致转为 assertion failures，并用 directed fuzzing 动态验证潜在 bug、生成 PoC test cases。,开发者确认未逐项外部追踪；未写入任何 PoC 细节。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C08,CP072,BSFuzzer,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,A3,E4a,runtime safety signal,E4a,系统输出,BLE协议逻辑漏洞检测与验证,论文声明公开：BSFuzzer is publicly available at GitHub；specific URL not assigned in public metadata; public metadata status recorded; ,19个真实BLE设备：9个SoC模块和10部智能手机。,not_publicly_available,standard_core_entry,externally traceable material,BSFuzzer 在真实 BLE 设备上发现问题，论文报告 9 个 CVE 和两个厂商 bug bounty 确认。,未逐个打开 CVE 或 bounty 页面；公开论文只提供汇总性外部追踪信息。,,,,,,,,,,needs adjudication: original_strongest_evidence_output=runtime safety signal; coder2_strongest_evidence_output=externally traceable material,
C09,CP074,RFCAUDIT,RFCAUDIT: AI agent for auditing protocol implementations against RFC specifications,A2,E4a,candidate judgment,E4a,系统输出,second_coder_to_code,论文给出artifact：https://github.com/zmw12306/RFCAudit；public metadata status recorded; ,6个真实网络协议实现；附加评估aws-c-http和Linux TCP/IP stack。,preprint_or_arxiv_from_local_metadata,standard_core_entry,externally traceable material,RFCAUDIT 检测 RFC/实现不一致 bug，论文报告 47 个 bug 中 20 个已由开发者确认或修复，并给出修复示例。,未逐个核验开发者记录；其主要输出仍是规范一致性 bug 报告。,,,,,,,,,,needs adjudication: original_strongest_evidence_output=candidate judgment; coder2_strongest_evidence_output=externally traceable material,
C10,CP075,VulAgent,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,A1 + A2,E0,candidate judgment,NA,模型判断,软件漏洞检测、敏感代码定位、漏洞假设验证。,public metadata status recorded; 当前全文未确认artifact链接。,PrimeVul、SVEN。,arXiv preprint,standard_core_entry,candidate judgment,VulAgent 输出经多智能体 hypothesis validation 过滤的漏洞报告，证据主要是候选报告、触发条件和程序上下文推理。,虽释放报告/提示/系统逻辑，但未看到运行时 PoC、外部确认或复现链；按候选判断保守编码。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C11,CP076,MALF,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,A4,E4a,runtime safety signal,E4a,系统输出,second_coder_to_code,论文称Data available on request；public metadata status recorded; ,Modbus/TCP、S7Comm、Ethernet/IP；真实电厂工控攻防靶场；三轮24小时fuzzing。,preprint_or_arxiv_from_local_metadata,standard_core_entry,externally traceable material,MALF 报告工业协议 fuzzing 的异常触发和三项零日，其中一项已被 CNVD 确认/登记。,CNVD 记录未逐项核验；工业靶场材料限制了公开复现性。,,,,,,,,,,needs adjudication: original_strongest_evidence_output=runtime safety signal; coder2_strongest_evidence_output=externally traceable material,
C12,CP077,NeTestLLM,NeTestLLM: automated network protocol testing with LLM agents,A4,E2,runtime safety signal,NA,系统输出,second_coder_to_code,public metadata status recorded; ,OSPF、RIP、BGP；4632个测试用例；FRRouting历史bug覆盖；专家用户研究。,arXiv preprint,standard_core_entry,controlled task completion,NeTestLLM 自动生成协议测试用例和可执行 artifacts，覆盖历史 FRRouting bug，并在生产测试场景中使用，主要支撑有界测试任务完成。,其目标偏网络协议测试自动化，不是逐项目标软件漏洞复现；未检查每个历史 bug 的 replay。,,,,,,,,,,needs adjudication: original_strongest_evidence_output=runtime safety signal; coder2_strongest_evidence_output=controlled task completion,
C13,CP078,PBFuzz,PBFuzz: agentic directed fuzzing for PoV generation,A3 + A4 + A5,E3,reproducible validation,NA,系统输出,PoV generation、directed fuzzing、漏洞复现/验证。,public metadata status recorded; 全文含workflow和prompt模板。,Magma benchmark。,preprint_or_arxiv_from_local_metadata,standard_core_entry,reproducible validation,PBFuzz 的核心输出是 PoV input，论文在 Magma 等 benchmark 上报告触发 57 个漏洞并用运行反馈验证。,未逐个检查生成的 PoV 文件；判定依据为公开论文中的 benchmark validation 描述。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C14,CP080,Co-RedTeam,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,A4,E1,controlled task completion,NA,任务完成,second_coder_to_code,public metadata status recorded; ,报告使用CyBench、BountyBench、CyberGym。,preprint_or_arxiv_from_local_metadata,standard_core_entry,controlled task completion,Co-RedTeam 在 CyBench、BountyBench、CyberGym 等有界安全 benchmark 上报告发现/利用成功率，证据主线是任务完成。,未看到独立外部漏洞追踪或公开复现链；不因多 agent 编排提高标签。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C15,CP081,Real-world Pentest Agent Study,What makes a good LLM agent for real-world penetration testing?,A4,E1,controlled task completion,NA,任务完成,second_coder_to_code,public metadata status recorded; ,报告使用CTF、HackTheBox/VulnHub、GOAD等环境；具体配置需复核。,preprint_or_arxiv_from_local_metadata,standard_core_entry,controlled task completion,PentestGPT V2 在 CTF benchmark 与 GOAD 环境中报告任务完成率和主机 compromise 数，属于受控渗透测试任务成功。,未检查公开 exploit 链；证据限于 benchmark/靶场任务边界。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C16,CP082,LLMVD.js,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,A3,E3,reproducible validation,NA,系统输出,Node.js包漏洞检测、PoC生成与确认,public metadata status recorded; 敏感PoC可能不公开。,SecBench.js、VulcaN、private real-world dataset、260个近期npm包。,preprint_or_arxiv_from_local_metadata,standard_core_entry,reproducible validation,LLMVD.js 生成 PoC exploits 并通过轻量 execution oracles 验证，在公开 benchmark 和新近 npm 包上报告 validated exploits。,未记录 exploit 内容，也未核验外部 advisory；按公开材料中的 PoC/执行验证编码。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C17,CP083,Multi-Agent Harnesses,Synthesizing multi-agent harnesses for vulnerability discovery,A4 + A5,E3,reproducible validation,NA,系统输出,多agent漏洞发现harness优化；真实软件漏洞发现,论文声明开源https://github.com/berabuddies/agentflow；Chrome PoC/配置因披露限制不公开。,TerminalBench-2；Google Chrome campaign。,preprint_or_arxiv_from_local_metadata,standard_core_entry,externally traceable material,AgentFlow/多智能体 harnesses 报告发现 Google Chrome 零日，并列出具体 CVE ID，包括 critical sandbox escape。,未打开 CVE 页面逐项核验；标签依据论文公开的外部 CVE 追踪材料。,,,,,,,,,,needs adjudication: original_strongest_evidence_output=reproducible validation; coder2_strongest_evidence_output=externally traceable material,
C18,CP084,PentestAgent,PentestAgent: incorporating LLM agents to automated penetration testing,A4,E1,controlled task completion,NA,任务完成,second_coder_to_code,论文给出GitHub仓库：https://github.com/nbshenxm/pentest-agent；public metadata status recorded; ,VulHub Docker漏洞环境与HackTheBox CTF挑战。,not_publicly_available,standard_core_entry,controlled task completion,PentestAgent 在 VulHub 与 HackTheBox/CTF 构成的 benchmark 上完成情报收集、漏洞分析和利用任务，公开框架与数据集。,证据主线是 benchmark 完成和效率，不是公开的逐项漏洞复现链。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C19,CP085,LIVA,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,A2,E4a,candidate judgment,E4a,系统输出,IoT固件taint-style漏洞检测,论文声明公开https://github.com/RingBDStack/LIVA；public metadata status recorded; ,64个IoT firmware samples，11个厂商，含SaTC/Karonte数据集和15个新增固件。,not_publicly_available,standard_core_entry,externally traceable material,LIVA 报告 64 个未知 IoT 漏洞，其中 39 个获得 CVE/CNVD，且公开代码、数据集和文档。,未逐个核验 CVE/CNVD；闭源 firmware 也限制完全复现。,,,,,,,,,,needs adjudication: original_strongest_evidence_output=candidate judgment; coder2_strongest_evidence_output=externally traceable material,
C20,CP089,FirmAgent,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,A3,E4a,reproducible validation,E4a,系统输出,second_coder_to_code,public metadata status recorded; ,14个真实世界IoT固件。,not_publicly_available,standard_core_entry,externally traceable material,FirmAgent 结合 fuzzing 与 LLM taint/PoC agent，报告 140 个未知 IoT 漏洞和 17 个 CVE，且 PoC 有效性有统计结果。,未逐项打开 CVE；不写入任何 PoC 或设备细节。,,,,,,,,,,needs adjudication: original_strongest_evidence_output=reproducible validation; coder2_strongest_evidence_output=externally traceable material,
C21,CP094,PANGOLIN,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,A3,E4a,runtime safety signal,E4a,系统输出,IoT固件漏洞发现与fuzzing,论文声明Open Science DOI:10.6084/m9.figshare.30904379；另有GitHub链接https://github.com/vul337/PANGOLIN.git，public metadata status recorded; ,12个多语言IoT设备，来自8个厂商。,not_publicly_available,standard_core_entry,externally traceable material,PANGOLIN 在 12 个多语言 IoT 设备上发现 68 个零日，论文称漏洞均已报告并获厂商确认/acknowledgment。,未逐个核验厂商公告；公开材料主要提供汇总性外部追踪。,,,,,,,,,,needs adjudication: original_strongest_evidence_output=runtime safety signal; coder2_strongest_evidence_output=externally traceable material,
C22,CP095,TransferFuzz-Pro,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,A3,E3,reproducible validation,NA,系统输出,漏洞验证、PoC生成、代码复用导致的漏洞传播确认,public metadata status recorded; ,AFLGo、SelectFuzz、DAFL相关传播漏洞实例和OCTOPOCs尽可能收集的案例。,journal article,standard_core_entry,reproducible validation,TransferFuzz-Pro 面向 CVE 传播验证，自动生成 PoC 并用二进制级 instrumentation 验证目标软件中漏洞可触发性。,未实际复现 PoC；判定依据为论文对 PoC 生成、target binary 和验证流程的公开描述。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C23,CP130,Cybench,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,A4,E1,controlled task completion,NA,任务完成,CTF/cyber range任务求解；漏洞识别与利用能力评估。,可得；论文声明code/data公开于cybench.github.io。,Cybench：40个专业级CTF任务，含subtasks。,preprint_or_arxiv_from_local_metadata,standard_core_entry,controlled task completion,Cybench 是开放 CTF/网络安全任务 benchmark，agent 行动由 evaluator 给出成功/失败与子任务评分。,这是能力 benchmark，不等同于目标软件漏洞挖掘的复现或外部披露证据。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
C24,CP131,BountyBench,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,A4,E4b,controlled task completion,E4b,系统输出,Detect、Exploit、Patch三类任务。,可得；论文声明code和run logs在bountybench.github.io。,BountyBench：25个系统、40个bounties、120个任务。,preprint_or_arxiv_from_local_metadata,standard_core_entry,reproducible validation,BountyBench 公开代码和实验运行日志，系统包含 exploit、patch 文件和 invariants，并通过手工与 CI 验证 exploitable/patchable。,未运行 CI 或核验每个 bounty；理由不含 exploit 细节。,,,,,,,,,,needs adjudication: original_strongest_evidence_output=controlled task completion; coder2_strongest_evidence_output=reproducible validation,
C25,CP132,SEC-bench,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,A3,E3,reproducible validation,NA,系统输出,PoC generation、vulnerability patching；也包含benchmark自动构建。,可得；论文给出GitHub、HuggingFace dataset和leaderboard。,SEC-bench：200个已验证真实CVE实例。,preprint_or_arxiv_from_local_metadata,standard_core_entry,reproducible validation,SEC-bench 自动构造带 harness 的仓库，在隔离环境中复现漏洞，并提供 verified PoC artifacts 与 validated patches、代码和数据集。,未执行 artifact；依据公开论文的自动复现/补丁验证流程。,,,,,,,,,,agreement; no adjudication needed unless author chooses to recheck rationale,
