system,citation_key,dimension,reported_observation,unit_or_comparison,source_location,synthesis_use
RFCAUDIT,zheng2025rfcaudit,cost_and_runtime,"Across six protocol implementations, the full two-phase analysis averages 1123K input tokens, 90K output tokens, USD 5.03, and 81 minutes per protocol.","tokens, USD per protocol, minutes per protocol","Paper Sec. IV-D and Table V, pp. 10--11","Shows that repository semantic indexing and retrieval incur measurable per-target cost rather than a model-only accuracy effect."
RFCAUDIT,zheng2025rfcaudit,ablation,"Removing semantic indexing lowers precision from 81.9% to 51.4% and detected bugs from 47 to 26; removing retrieval lowers precision to 47.1% and detected bugs to 36.","precision and detected-bug count","Paper Sec. IV-E and Table VI, pp. 11--12","Attributes performance to context construction and retrieval interfaces, not only to the backbone model."
LLAMA,gai2026llama,ablation,"Hierarchical seed generation reaches 92%/81% instruction coverage on small/large contracts versus 65%/56% for random-seed GA and 87%/77% for flat LLM generation; throughput falls from 125 to 98 transactions/s relative to GA.","coverage and transactions per second","Paper Sec. V-C and Table VII, p. 3293","Shows a coverage-throughput tradeoff from workflow structure and hierarchical prompting."
LLAMA,gai2026llama,ablation,"The full dual-channel recovery reaches 92%/81% coverage, compared with 79%/71% for LLM reseeding without selective symbolic execution and 89%/78% for symbolic execution without LLM reseeding.","coverage on small/large contracts","Paper Sec. V-C and Table IX, pp. 3293--3294","Separates the contribution of semantic reseeding from fixed symbolic recovery."
PBFuzz,zeng2025pbfuzz,cost,"The paper reports an average LLM cost of USD 1.83 per PoV under its benchmark configuration.","USD per PoV","Paper Sec. 6.4, cost analysis, p. 13","Provides a per-result cost unit but is not directly comparable with per-package or per-protocol reporting."
PBFuzz,zeng2025pbfuzz,failure_recovery,"The REFLECT phase separates non-reaching executions from reach-but-no-trigger cases, using deviation detection for the former and debugger-assisted backward dependency analysis for the latter.","qualitative failure categories and recovery actions","Paper Sec. 4.5, pp. 8--9","Shows that failure reuse depends on preserving constraint and execution state, not merely retrying."
ReForge,prabhakar2025reforge,cost,"AI-ExploitGen averages about 656 tokens per exploit, compared with 1650 for Gemini-1.5-Pro and 2392 for Claude Opus 4 in the reported evaluation.","tokens per generated exploit","Paper Sec. IV and Fig. 2, p. 85","Illustrates token reporting at exploit level; no cross-study cost conversion is attempted."
LLMVD.js,ni2026llmvdjs,cost,"The reported average is USD 0.089 per package, USD 0.084 per successfully exploited package, and an amortized USD 0.050 per valid exploit.","USD per package or valid exploit","Paper Sec. 5.3 and Fig. 5, p. 11","Shows that one study can expose several cost denominators that should not be collapsed."
LLMVD.js,ni2026llmvdjs,failure_analysis,"Manual review rejects some oracle-passing PoCs because they rely on unrealistic stubs, files, environment changes, internal APIs, or external user interaction; large irrelevant context also contributes to misses.","qualitative false-positive and miss categories","Paper Sec. 5.1.3 and 5.4.3--5.4.4, pp. 8 and 11--12","Separates automated oracle success from valid exploitability and identifies context-selection failures."
PentestAgent,shen2025pentestagent,ablation_and_cost,"Across a 13-target subset, backbone comparisons show stage-specific completion differences and substantial time/cost variation; the paper reports all models at 100% vulnerability-analysis completion but divergent reconnaissance and exploitation results.","stage completion, seconds, and USD by model","Paper Sec. 4.4 and Fig. 9, pp. 384--385","Shows that model choice affects stages differently inside a fixed multi-agent workflow."
PentestAgent,shen2025pentestagent,failure_analysis,"Failures cluster in intelligence gathering and exploitation and include coarse service identification, missing domain knowledge, required user interaction, and hallucination cascades.","qualitative stage-specific failure categories","Paper Sec. 4.7, pp. 385--386","Connects persistent execution history and human intervention points to concrete long-horizon failure modes."
OSS-CRS,chin2026osscrs,resource_control,"The framework treats CPU, memory, and LLM spending as bounded runtime resources; LiteLLM enforces per-CRS budgets and rejects requests beyond the configured allowance.","budget controls rather than a normalized evaluation cost","Paper Sec. 2.3 and 3.5, pp. 2 and 6","Shows that deployment cost can be a runtime control interface even when a study does not report comparable per-result cost."
