matrix_id,study_title,principal_reported_evidence_output,target_domain,controlled_task_only_excluded,decision_reason,domain_source_location
C01,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,runtime safety signal,smart contract and blockchain,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results)."
C02,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion)."
C03,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,runtime safety signal,smart contract and blockchain,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion)."
C04,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation)."
C05,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,runtime safety signal,"native binary, compiler, or operating system",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion)."
C06,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,runtime safety signal,smart contract and blockchain,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation)."
C07,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,reproducible validation,protocol and networked service,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix)."
C08,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,candidate judgment,"firmware, embedded, IoT, or OT",no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table)."
C09,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,candidate judgment,protocol and networked service,no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity)."
C10,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,candidate judgment,mixed or general software targets,no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations)."
C11,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,runtime safety signal,"firmware, embedded, IoT, or OT",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13)."
C12,NeTestLLM: automated network protocol testing with LLM agents,candidate judgment,protocol and networked service,no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study)."
C13,PBFuzz: agentic directed fuzzing for PoV generation,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion)."
C14,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,controlled task completion,mixed or general software targets,no,"Retained: principal output is controlled task completion, but the author-audited target domain is mixed or general software targets.","Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion)."
C15,What makes a good LLM agent for real-world penetration testing?,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment)."
C16,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations)."
C17,Synthesizing multi-agent harnesses for vulnerability discovery,candidate judgment,mixed or general software targets,no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs)."
C18,PentestAgent: incorporating LLM agents to automated penetration testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations)."
C19,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,candidate judgment,"firmware, embedded, IoT, or OT",no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table)."
C20,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,reproducible validation,"firmware, embedded, IoT, or OT",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure)."
C21,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,candidate judgment,"firmware, embedded, IoT, or OT",no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–5 (Abstract and design), pp. 5–10 (specification generation/correction and fuzzing), pp. 10–14 (evaluation/disclosure), and Appendix C pp. 18–20 (IDs)."
C22,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–3 (Abstract/motivation), pp. 4–9 (LLM debugging and PoC workflow), and pp. 9–14 (RQ1–RQ5 and CVE-to-binary tables)."
C23,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Paper pp. 1–7 (Abstract, task framework and agent), pp. 7–11 (evaluation and reproducibility discussion), and task appendices (representative solution traces/scripts)."
C24,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,candidate judgment,"web application, API, or database",no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–3 (Abstract/framework), pp. 3–7 (Detect/Exploit/Patch evaluators), pp. 7–10 (agent evaluation), and public benchmark/run-log description."
C25,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–3 (Abstract and benchmark construction), pp. 3–6 (SECVerifier and task criteria), pp. 7–10 (agent evaluation), and released code/dataset URLs on p. 1."
C26,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis)."
C28,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,runtime safety signal,"native binary, compiler, or operating system",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study)."
