reference_key,title,current_source_type,doi_status,evidence,manual_action_required,notes
CP002,Addressing data leakage and imbalance for robust fine-tuning of pre-trained code language models in program repair and vulnerability detection,thesis,doi_not_assigned,publication_status=project_or_benchmark_page_from_local_metadata; official_url=https://www.proquest.com/openview/7dfbd6a7d0eed2abea90a8ce491b8286/1?pq-origsite=gscholar&cbl=18750&diss=y; current doi=NA; Zotero DOI field search found no DOI,no,Thesis/dissertation landing page in current metadata; no DOI recorded.
CP011,Vulnerability assessment of LLM-generated smart contracts in ethereum,conferencePaper,doi_not_assigned,publication_status=verified_by_official_source; official_url=https://ceur-ws.org/Vol-4075/paper1.pdf; current doi=NA; Zotero DOI field search found no DOI,no,Official venue/ISBN/anthology page recorded; no DOI in current source metadata.
CP023,Examining the feasibility and influencing factors of large language models in source code security analysis,thesis,doi_not_assigned,publication_status=verified_by_official_source; official_url=https://stars.library.ucf.edu/etd2024/340/; current doi=NA; Zotero DOI field search found no DOI,no,Thesis/dissertation landing page in current metadata; no DOI recorded.
CP094,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,journalArticle,doi_not_assigned,publication_status=verified_by_official_source; official_url=https://www.usenix.org/conference/usenixsecurity26/presentation/jia; current doi=NA; Zotero DOI field search found no DOI,no,Official venue/ISBN/anthology page recorded; no DOI in current source metadata.
CP097,PANGOLIN: Fuzzing Multilingual IoT Firmware with LLM-Driven Code Analysis,conferencePaper,doi_not_assigned,publication_status=verified_by_official_source; official_url=https://www.usenix.org/conference/usenixsecurity26/presentation/jia; current doi=NA; local fragment replaced by official page during canonical deduplication pass,no,Canonical duplicate of CP094; official USENIX page recorded for source traceability; not counted separately.
CP114,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-based Agents,conferencePaper,doi_not_assigned,publication_status=verified_by_official_source; official_url=https://www.usenix.org/conference/usenixsecurity25/presentation/liu-fengyu; current doi=NA; Zotero DOI field search found no DOI,no,Official venue/ISBN/anthology page recorded; no DOI in current source metadata.
CP116,Hybrid Language Processor Fuzzing via LLM-Based Constraint Solving,conferencePaper,doi_not_assigned,publication_status=verified_by_official_source; official_url=https://www.usenix.org/conference/usenixsecurity25/presentation/yang-yupeng; current doi=NA; Zotero DOI field search found no DOI,no,Official venue/ISBN/anthology page recorded; no DOI in current source metadata.
CP134,PATCHAGENT: A Practical Program Repair Agent Mimicking Human Expertise,conferencePaper,doi_not_assigned,publication_status=verified_by_official_source; official_url=https://www.usenix.org/conference/usenixsecurity25/presentation/yu-zheng; current doi=NA; Zotero DOI field search found no DOI,no,Official venue/ISBN/anthology page recorded; no DOI in current source metadata.
CP136,SIVA: Self Improving Vulnerability Agent,preprint,doi_pending_publication,publication_status=preprint_or_arxiv_from_local_metadata; official_url=https://research.ibm.com/publications/siva-self-improving-vulnerability-agent; current doi=NA; Zotero DOI field search found no DOI,yes,Preprint/project-page record; DOI may appear after venue publication.
PE001,Codex,product_page,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://openai.com/codex/; access_date=2026-06-13,no,Product page; not a corpus/Core row; local Zotero search found no matching item.
