source_id,query_id,interface,query,attempted_at_utc,status,http_status,raw_file,records_returned,total_reported,notes
arxiv,agent_task,official API,"submittedDate:[202301010000 TO 202607302359] AND (ti:vulnerability OR ti:fuzzing OR ti:pentest OR ti:""penetration testing"" OR ti:""cyber reasoning"" OR ti:security) AND (all:""large language model"" OR all:LLM) AND (all:agent OR all:agentic OR all:""multi-agent"")",2026-07-31T08:57:53.692572+00:00,ok,200,data/final_multisource_search_20260730_raw/arxiv/agent_task_0000.xml,100,505,
arxiv,agent_task,official API,"submittedDate:[202301010000 TO 202607302359] AND (ti:vulnerability OR ti:fuzzing OR ti:pentest OR ti:""penetration testing"" OR ti:""cyber reasoning"" OR ti:security) AND (all:""large language model"" OR all:LLM) AND (all:agent OR all:agentic OR all:""multi-agent"")",2026-07-31T08:57:59.601595+00:00,ok,200,data/final_multisource_search_20260730_raw/arxiv/agent_task_0001.xml,100,505,
arxiv,agent_task,official API,"submittedDate:[202301010000 TO 202607302359] AND (ti:vulnerability OR ti:fuzzing OR ti:pentest OR ti:""penetration testing"" OR ti:""cyber reasoning"" OR ti:security) AND (all:""large language model"" OR all:LLM) AND (all:agent OR all:agentic OR all:""multi-agent"")",2026-07-31T08:58:05.370399+00:00,ok,200,data/final_multisource_search_20260730_raw/arxiv/agent_task_0002.xml,100,505,
arxiv,agent_task,official API,"submittedDate:[202301010000 TO 202607302359] AND (ti:vulnerability OR ti:fuzzing OR ti:pentest OR ti:""penetration testing"" OR ti:""cyber reasoning"" OR ti:security) AND (all:""large language model"" OR all:LLM) AND (all:agent OR all:agentic OR all:""multi-agent"")",2026-07-31T08:58:11.109613+00:00,ok,200,data/final_multisource_search_20260730_raw/arxiv/agent_task_0003.xml,100,505,
arxiv,agent_task,official API,"submittedDate:[202301010000 TO 202607302359] AND (ti:vulnerability OR ti:fuzzing OR ti:pentest OR ti:""penetration testing"" OR ti:""cyber reasoning"" OR ti:security) AND (all:""large language model"" OR all:LLM) AND (all:agent OR all:agentic OR all:""multi-agent"")",2026-07-31T08:58:18.789415+00:00,ok,200,data/final_multisource_search_20260730_raw/arxiv/agent_task_0004.xml,100,505,
arxiv,agent_task,official API,"submittedDate:[202301010000 TO 202607302359] AND (ti:vulnerability OR ti:fuzzing OR ti:pentest OR ti:""penetration testing"" OR ti:""cyber reasoning"" OR ti:security) AND (all:""large language model"" OR all:LLM) AND (all:agent OR all:agentic OR all:""multi-agent"")",2026-07-31T08:58:24.121387+00:00,ok,200,data/final_multisource_search_20260730_raw/arxiv/agent_task_0005.xml,5,505,
openalex,agent_task,OpenAlex API,"""large language model"" agent agentic multi-agent vulnerability fuzzing penetration testing cyber reasoning",2026-07-31T08:58:32.491039+00:00,ok,200,data/final_multisource_search_20260730_raw/openalex/agent_task_0000.json,130,130,
crossref,agent_task,Crossref REST API,"""large language model"" agent agentic multi-agent vulnerability fuzzing penetration testing cyber reasoning",2026-07-31T08:58:35.028891+00:00,ok,200,data/final_multisource_search_20260730_raw/crossref/agent_task_0000.json,500,186866,ranked supplementary metadata lookup capped at 500 records
acm_crossref,agent_task,Crossref REST API,"""large language model"" agent agentic multi-agent vulnerability fuzzing penetration testing cyber reasoning",2026-07-31T08:58:37.424475+00:00,ok,200,data/final_multisource_search_20260730_raw/acm_crossref/agent_task_0000.json,500,6603,publisher DOI prefix=10.1145; ranked supplementary metadata lookup capped at 500 records
ieee_crossref,agent_task,Crossref REST API,"""large language model"" agent agentic multi-agent vulnerability fuzzing penetration testing cyber reasoning",2026-07-31T08:58:39.464262+00:00,ok,200,data/final_multisource_search_20260730_raw/ieee_crossref/agent_task_0000.json,500,29111,publisher DOI prefix=10.1109; ranked supplementary metadata lookup capped at 500 records
springer_crossref,agent_task,Crossref REST API,"""large language model"" agent agentic multi-agent vulnerability fuzzing penetration testing cyber reasoning",2026-07-31T08:58:41.645405+00:00,ok,200,data/final_multisource_search_20260730_raw/springer_crossref/agent_task_0000.json,500,19534,publisher DOI prefix=10.1007; ranked supplementary metadata lookup capped at 500 records
elsevier_crossref,agent_task,Crossref REST API,"""large language model"" agent agentic multi-agent vulnerability fuzzing penetration testing cyber reasoning",2026-07-31T08:58:43.585074+00:00,ok,200,data/final_multisource_search_20260730_raw/elsevier_crossref/agent_task_0000.json,500,22946,publisher DOI prefix=10.1016; ranked supplementary metadata lookup capped at 500 records
acm_web,agent_task,Bing source-restricted web search,"site:dl.acm.org (""large language model"" OR LLM) (agent OR agentic OR ""multi-agent"") (vulnerability OR fuzzing OR ""penetration testing"" OR ""cyber reasoning"") after:2022-12-31 before:2026-07-31",2026-07-31T08:58:45.151680+00:00,supplementary_web_check_no_exportable_results,200,data/final_multisource_search_20260730_raw/acm_web/agent_task_0000.html,0,,Supplementary source-restricted web discovery; this is not represented as a complete publisher-database export.
ieee_web,agent_task,Bing source-restricted web search,"site:ieeexplore.ieee.org (""large language model"" OR LLM) (agent OR agentic OR ""multi-agent"") (vulnerability OR fuzzing OR ""penetration testing"" OR ""cyber reasoning"") after:2022-12-31 before:2026-07-31",2026-07-31T08:58:46.588977+00:00,supplementary_web_check_no_exportable_results,200,data/final_multisource_search_20260730_raw/ieee_web/agent_task_0000.html,0,,Supplementary source-restricted web discovery; this is not represented as a complete publisher-database export.
springer_web,agent_task,Bing source-restricted web search,"site:link.springer.com (""large language model"" OR LLM) (agent OR agentic OR ""multi-agent"") (vulnerability OR fuzzing OR ""penetration testing"" OR ""cyber reasoning"") after:2022-12-31 before:2026-07-31",2026-07-31T08:58:48.127456+00:00,supplementary_web_check_no_exportable_results,200,data/final_multisource_search_20260730_raw/springer_web/agent_task_0000.html,0,,Supplementary source-restricted web discovery; this is not represented as a complete publisher-database export.
sciencedirect_web,agent_task,Bing source-restricted web search,"site:sciencedirect.com (""large language model"" OR LLM) (agent OR agentic OR ""multi-agent"") (vulnerability OR fuzzing OR ""penetration testing"" OR ""cyber reasoning"") after:2022-12-31 before:2026-07-31",2026-07-31T08:58:49.555026+00:00,supplementary_web_check_no_exportable_results,200,data/final_multisource_search_20260730_raw/sciencedirect_web/agent_task_0000.html,0,,Supplementary source-restricted web discovery; this is not represented as a complete publisher-database export.
usenix_web,agent_task,Bing source-restricted web search,"site:usenix.org (""large language model"" OR LLM) (agent OR agentic OR ""multi-agent"") (vulnerability OR fuzzing OR ""penetration testing"" OR ""cyber reasoning"") after:2022-12-31 before:2026-07-31",2026-07-31T08:58:50.908325+00:00,supplementary_web_check_no_exportable_results,200,data/final_multisource_search_20260730_raw/usenix_web/agent_task_0000.html,0,,Supplementary source-restricted web discovery; this is not represented as a complete publisher-database export.
