system,citation_key,primary_shape,evaluation_setting,reported_scale_or_result,validation_material,source_location,extraction_note
RFCAUDIT,zheng2025rfcaudit,candidate-analysis system,RFC-guided analysis of six network-protocol implementations,Reports 47 functional bugs with 81.9% precision,"RFC-to-code inconsistency reports, developer responses, and patch records",Paper pp. 1 and 7–11; abstract and evaluation/case-study results,Values retain the study's aggregate reporting and are not treated as item-level external confirmation.
QRS,update2026u37,candidate-analysis system,Neuro-symbolic rule synthesis for vulnerability discovery,Reports at least five disclosed findings with CVE or maintainer-patch alignment,Candidate-to-PoC evidence and public external-process traces,Evaluation/results and disclosure discussion; disclosed finding alignment,Count is used only for representative descriptive reporting.
Multi-Agent Taint Specification,update2026u41,candidate-analysis system,LLM-generated taint specifications for CodeQL,Reports four novel vulnerabilities manually PoC-confirmed and reported,"Taint specifications, CodeQL findings, and reported PoC confirmation",Evaluation/results section; novel-vulnerability and PoC-confirmation statement,Descriptive source-reported count; not treated as item-level external confirmation.
LLAMA,gai2026llama,feedback-driven fuzzing agent,Smart-contract known-vulnerability evaluation,Reports 132/148 known vulnerabilities and 114 deployed-contract bug instances,"Seed guidance, execution behavior, and known-case comparison",Evaluation/results section; reported aggregate known-vulnerability and deployed-contract counts,Descriptive reported values retained from the study definition; not normalized across systems.
NeTestLLM,netestllm2025,feedback-driven fuzzing agent,Network-protocol testing,Uses 41 historical FRRouting bugs as evaluation cases,Generated protocol tests and execution artifacts,Evaluation section; historical FRRouting bug evaluation set,The value is recorded as evaluation-set size rather than per-bug public reproduction count.
Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,update2026u34,feedback-driven fuzzing agent,Java library harness generation,Reports 12-hour campaigns and three production bugs,"Generated harnesses, coverage feedback, and runtime bug signals",Evaluation/results section; campaign duration and production-bug result,Descriptive source-reported evaluation setting and result.
LLMVD.js,ni2026llmvdjs,"reproduction-, validation-, and repair-centered agent",Node.js package vulnerability validation,Reports 36 validated exploits,Generated PoCs and execution oracles,Evaluation/results section; validated exploit count,Descriptive source-reported validation count.
TransferFuzz-Pro,li2025transferfuzzpro,"reproduction-, validation-, and repair-centered agent",Propagated-vulnerability verification,Reports 38 previously unreported affected binary/software instances,Transfer-based reproduction evidence,Evaluation/results section; propagated-vulnerability verification results,Descriptive source-reported count; no cross-system normalization.
Revelio,update2026u02,"reproduction-, validation-, and repair-centered agent",Repository-scale memory-safety analysis,Reports 19 findings as previously unknown,Sanitizer-confirmed PoV generation and reporting material,Evaluation/results section; previously unknown finding count,Descriptive source-reported finding count.
BountyBench,bountybench2025,long-horizon pentest and CRS agent,Bounty-derived real-world task benchmark,Uses 40 bounty tasks,Scoped benchmark tasks and task outcomes,Benchmark construction/evaluation setup section; task count,"The value is benchmark scale, not a vulnerability-discovery yield."
CyberGym,cybergym2025,long-horizon pentest and CRS agent,Cyber-range tasks from real-world vulnerabilities,Reports about 20% task success in the studied setting,Generated tasks and replayable artifacts,Evaluation/results section; task-success rate reported by the study,No denominator is inferred here; the manuscript preserves the source-reported approximate success rate.
FuzzingBrain,sheng2025fuzzingbrain,long-horizon pentest and CRS agent,AIxCC-style OSS vulnerability discovery and patching,Reports 28 security vulnerabilities including six previously unknown findings and 14 successful patches,"PoVs, patch-validation checks, and the public CRS repository",Paper pp. 1–2 and 10–13; abstract and evaluation results,Aggregate study-reported counts are presented descriptively without item-level external alignment.

